自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
日産,フェアレディZ,Z33,2002/7～2008/12,バージョンS/バージョンST/バージョンT,FR/3500,167768,,241379,251-64S-CN-qq-e-f1-87,251-64S-CN-qq-e-d-87,4996338074195,251 64S CN,CUSCO,SPORT S,強化ゴム固定式/-,10k(9・11・12)/7k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-55～0/-25～0,-30～0/-25～0,-20/-20,65/専用形状,180/専用形状,全長調整式/ネジスペーサー,単筒式,リヤはショックアブソーバー本体を車両から取り外さないと減衰力調整ができません<br>オプションをご希望の場合、事前にお問合せください,,218000,174200
日産,フェアレディZ,Z34,2008/12～,,FR/3700,167768,,241859,252-64S-CN-qq-e-f1-90,252-64S-CN-qq-e-d-90,4996338074553,252 64S CN,CUSCO,SPORT S,強化ゴム固定式/強化ゴム固定式,12k(10・11・14・16)/11k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-35～0/-45～0,-35～0/-40～0,-25/-25,65/専用形状,200/専用形状,全長調整式/全長調整式,単筒式,リヤはショックアブソーバー本体を車両から取り外さないと減衰力調整ができません<br>オプションをご希望の場合、事前にお問合せください,,218000,174200
ホンダ,CR-Z,ZF1/ZF2,2010/2～2017/1,α,FF/1500,167768,,241399,309-64S-CB-qq-e-f1-162,309-64S-CB-qq-e-d-162,4996338074362,309 64S CB,CUSCO,SPORT S,,6k(7・8・9)/4k(3.5・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-55～0/-55～-25,-45～0/-55～-25,-40/-40,65/65,200/200,全長調整式/スペーサー調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,218000,174200
ホンダ,フィット,GE6/GE8,2007/10～2013/9,G/L/X/RS(GE8),FF/1300・1500,167768,,241411,386-64S-CB-qq-e-f1-229,386-64S-CB-qq-e-d-229,4996338074317,386 64S CB,CUSCO,SPORT S,,6k(7・8・9)/3k(3.5・4・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-60～0/-65～-40,-55～-5/-55～-40,-35/-45,65/65,200/200,全長調整式/スペーサー調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,218000,174200
ホンダ,フィット,GK3/GK5,2013/9～,F/L/S/RS,FF/1300・1500,167768,,241431,3A2-64S-CB-qq-e-f1-281,3A2-64S-CB-qq-e-d-281,4996338058584,3A2 64S CB,CUSCO,SPORT S,,7k(6・8・9・10・11)/6k(4・5・7・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-65～0/-45～-10,-45～0/-45～0,-30/-30,65/65,180/180,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能(参考車高時キャンバー参考値-2.0～-4.5°)<br>オプションをご希望の場合、事前にお問合せください,,218000,174200
マツダ,デミオ,DE3FS/DE5FS,2007/7～2014/9,13C/13F/13V/13S/15C/スポルト,FF/1300・1500,183058,,241448,438-64S-CN-qq-e-f1-346,438-64S-CN-qq-e-d-346,4996338074492,438 64S CN,CUSCO,SPORT S,ピロボール固定式/強化ゴム固定式,6k(7・8・9・10)/3k専用(4・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-75～0/-45～-30,-65～-25/-45～-30,-40/-40,65/65,180/180(変更スプリング),全長調整式/スペーサー調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>リヤ標準スプリングは黒色(変更可能スプリングは青色)<br>オプションをご希望の場合、事前にお問合せください,,238000,188800
マツダ,ロードスター,NA6CE/NA8C,1989/9～1998/1,1.6/1.8/Vスペシャル/Sスペシャル,FR/1600・1800,152478,,241441,404-64S-CN-qq-e-f1-305,404-64S-CN-qq-e-d-305,4996338074614,404 64S CN,CUSCO,SPORT S,強化ゴム固定式/強化ゴム固定式,8k(6・7・9・10・11・12・14)/6k(5・7・8・9・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-65～0/-50～0,-60～0/-50～0,-45/-35,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,198000,159600
マツダ,ロードスター,NB6C/NB8C,1998/1～2005/8,1.6/1.8/S/RS/VS,FR/1600・1800,152478,,241676,404-64S-CN-qq-e-f1-306,404-64S-CN-qq-e-d-306,4996338074614,404 64S CN,CUSCO,SPORT S,強化ゴム固定式/強化ゴム固定式,8k(6・7・9・10・11・12・14)/6k(5・7・8・9・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-65～0/-50～0,-60～0/-50～0,-45/-35,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,198000,159600
マツダ,ロードスター,NCEC,2005/8～2015/5,RS/VS,FR/2000,163946,,241683,428-64S-CN-qq-e-f1-319,428-64S-CN-qq-e-d-319,4996338074386,428 64S CN,CUSCO,SPORT S,強化ゴム固定式/強化ゴム固定式,7k(8・9・10・11・12)/4k(5・6・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-90～-15/-50～-20,-55～-25/-45～-25,-40/-30,65/専用形状,200/専用形状,全長調整式/全長調整式,単筒式,リアスプリングは黒色<br>オプションをご希望の場合、事前にお問合せください,,213000,170500
マツダ,ロードスター,ND5RC,2015/5～,S/Sスペシャルパッケージ/Sレザーパッケージ,FR/1500,152478,,241199,429-64S-CN-qq-e-f1-333,429-64S-CN-qq-e-d-333,4996338073501,429 64S CN,CUSCO,SPORT S,強化ゴム固定式/強化ゴム固定式,8k(7・9・10・11・12)/4k(5・6・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-82～0/-81～0,-50～0/-50～0,-40/-40,65/65,200/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,198000,159600
マツダ,ロードスターRF,NDERC,2016/12～,S/VS/RS,FR/2000,152478,,241200,429-64S-CN-qq-e-f1-334,429-64S-CN-qq-e-d-334,4996338073501,429 64S CN,CUSCO,SPORT S,強化ゴム固定式/強化ゴム固定式,8k(7・9・10・11・12)/4k(5・6・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-77～0/-91～0,-50～0/-50～0,-35/-50,65/65,200/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,198000,159600
三菱,ランサーエボリューションV/VI,CP9A,1998/1～2001/1,GSR/RS,4WD/2000T<br>Evo.5/6,175413,,241216,561-64S-CN-qq-e-f1-384,561-64S-CN-qq-e-d-384,4996338074355,561 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,8k(7・9・10・11・12)/5k(6・7・8・9・10・11)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-80～0/-70～0,-60～-20/-70～0,-50/-30,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,トミ・マキネン仕様含む<br>オプションをご希望の場合、事前にお問合せください,,228000,181500
三菱,ランサーエボリューションVII,CT9A,2001/2～2003/1,GSR/RS/GT-A,4WD/2000T<br>Evo.7,175413,,241219,564-64S-CN-qq-e-f1-401,564-64S-CN-qq-e-d-401,4996338073570,564 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,8k(6・7・9・10・11・12)/5k(6・7・8・9・10・11)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-70～0,-60～0/-70～0,-55/-30,65/65,200/200,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
三菱,ランサーエボリューションVIII/VIII MR/IX/IX MR,CT9A,2003/1～2007/1,GSR/RS/GT,4WD/2000T<br>Evo.8/Evo.8MR/Evo.9/Evo.9MR,175413,,241702,564-64S-CN-qq-e-f1-402,564-64S-CN-qq-e-d-402,4996338073570,564 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,8k(6・7・9・10・11・12)/5k(6・7・8・9・10・11)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-70～0,-60～0/-70～0,-55/-30,65/65,200/200,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
三菱,ランサーエボリューションX,CZ4A,2007/10～2015/9,GRS-X/RS-X,4WD/2000T<br>Evo.10,175413,,241705,566-64S-CN-qq-e-f1-410,566-64S-CN-qq-e-d-410,4996338074768,566 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,9k(7・8・10・11・12)/7k(6・8・9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-120～0,-60～0/-60～0,-45/-40,65/65,レートによる/200,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
