自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スバル,インプレッサ,GC8,1996/9～2000/8,EJ20T,アプライドD～G,ディスク,23117,,292910,00C-022-R660N-qq-e-f1-559k,4996338084200,00C 022 R660N,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサ,GDA,2000/8～2005/5,EJ20T,アプライドA～E,ディスク＋カバー,44362,,292988,660-022-FN-qq-e-f1-565k,4996338080325,660 022 FN,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサ,GDA,2000/8～2005/5,EJ20T,アプライドA～E,ディスク,23117,,292911,00C-022-R660N-qq-e-f1-566k,4996338084200,00C 022 R660N,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサ,GDA,2005/6～2007/6,EJ20T,アプライドF/G,ディスク＋カバー,42944,,292759,666-022-F-qq-e-f1-572k,4996338080738,666 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10600/1080(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,59000,0
スバル,インプレッサ,GDA,2005/6～2007/6,EJ20T,アプライドF/G,ディスク,23117,,292582,00C-022-R666-qq-e-f1-573k,4996338080707,00C 022 R666,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサ,GDB,2000/10～2007/6,EJ20T,アプライドA～G,ディスク＋カバー,44362,,292998,667-022-F-qq-e-f1-577k,4996338080356,667 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサ,GDB,2000/10～2007/6,EJ20T,アプライドA～G,ディスク,23117,,292585,00C-022-R667-qq-e-f1-578k,4996338084217,00C 022 R667,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサ,GH8,2007/6～2011/12,EJ20T,,ディスク＋カバー,42944,,292760,666-022-F-qq-e-f1-586k,4996338080738,666 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10600/1080(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,59000,0
スバル,インプレッサ,GH8,2007/6～2011/12,EJ20T,,ディスク,23117,,292917,00C-022-R666-qq-e-f1-587k,4996338080707,00C 022 R666,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサ,GRB,2007/10～2014/8,EJ20T,,ディスク＋カバー,44362,,292777,667-022-F-qq-e-f1-591k,4996338080356,667 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサ,GRB,2007/10～2014/8,EJ20T,,ディスク,23117,,292921,00C-022-R667-qq-e-f1-592k,4996338084217,00C 022 R667,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサ,GVB,2010/7～2014/8,EJ20T,,ディスク＋カバー,44362,,292999,667-022-F-qq-e-f1-600k,4996338080356,667 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサ,GVB,2010/7～2014/8,EJ20T,,ディスク,23117,,292922,00C-022-R667-qq-e-f1-601k,4996338084217,00C 022 R667,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサスポーツワゴン,GF8,1993/10～1996/8,EJ20T,アプライドB/C,ディスク＋カバー,44362,,292729,660-022-FN-qq-e-f1-609k,4996338080325,660 022 FN,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ225<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサスポーツワゴン,GF8,1993/10～1996/8,EJ20T,アプライドB/C,ディスク,23117,,292912,00C-022-R660N-qq-e-f1-610k,4996338084200,00C 022 R660N,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ225<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサスポーツワゴン,GF8,1996/9～2000/8,EJ20T,アプライドD～G,ディスク＋カバー,44362,,292730,660-022-FN-qq-e-f1-616k,4996338080325,660 022 FN,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサスポーツワゴン,GF8,1996/9～2000/8,EJ20T,アプライドD～G,ディスク,23117,,292578,00C-022-R660N-qq-e-f1-617k,4996338084200,00C 022 R660N,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサスポーツワゴン,GGA,2000/8～2005/5,EJ20T,アプライドA～E,ディスク＋カバー,44362,,292731,660-022-FN-qq-e-f1-632k,4996338080325,660 022 FN,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサスポーツワゴン,GGA,2000/8～2005/5,EJ20T,アプライドA～E,ディスク,23117,,292579,00C-022-R660N-qq-e-f1-633k,4996338084200,00C 022 R660N,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサスポーツワゴン,GGA,2005/6～2007/6,EJ20T,アプライドF/G,ディスク＋カバー,42944,,292761,666-022-F-qq-e-f1-639k,4996338080738,666 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10600/1080(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,59000,0
スバル,インプレッサスポーツワゴン,GGA,2005/6～2007/6,EJ20T,アプライドF/G,ディスク,23117,,292918,00C-022-R666-qq-e-f1-640k,4996338080707,00C 022 R666,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,インプレッサスポーツワゴン,GGB,2000/10～2002/10,EJ20T,,ディスク＋カバー,44362,,292778,667-022-F-qq-e-f1-623k,4996338080356,667 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサスポーツワゴン,GGB,2000/10～2002/10,EJ20T,,ディスク,23117,,292586,00C-022-R667-qq-e-f1-624k,4996338084217,00C 022 R667,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,フォレスター,SF5,1997/2～2002/1,EJ20T,,ディスク＋カバー,44362,,292732,660-022-FN-qq-e-f1-644k,4996338080325,660 022 FN,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,フォレスター,SF5,1997/2～2002/1,EJ20T,,ディスク,23117,,292580,00C-022-R660N-qq-e-f1-645k,4996338084200,00C 022 R660N,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
