自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スズキ,スイフトスポーツ,ZC33S,2017/9～,K14C,6MT車,ディスク,24082,,292491,00C-022-C60JS-qq-e-f1-519k,4996338085504,00C 022 C60JS,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ215<br>スプライン径:22.35<br>歯数:20,,,30800,1100
スズキ,セルボ・モード,CN21S/CN22S,1991/9～1998/10,F6A,DOHCターボ,ディスク,21113,,292489,00C-022-C606S-qq-e-f1-525k,4996338085412,00C 022 C606S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,必ずクスコクラッチカバーとセットでご使用ください。(純正ディスク外形はφ180),26800,1100
スズキ,セルボ・モード,CN31S/CP31S,1990/7～1998/10,F6B,DOHCターボ,ディスク,21113,,292866,00C-022-C606S-qq-e-f1-522k,4996338085412,00C 022 C606S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,必ずクスコクラッチカバーとセットでご使用ください。(純正ディスク外形はφ180),26800,1100
スズキ,セルボ・モード,CN32S/CP32S,1991/9～1998/10,F6B,DOHCターボ,ディスク,21113,,292867,00C-022-C606S-qq-e-f1-528k,4996338085412,00C 022 C606S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,必ずクスコクラッチカバーとセットでご使用ください。(純正ディスク外形はφ180),26800,1100
スズキ,ワゴンR,CT21S/CV21S,1993/9～1998/10,F6A,DOHCターボ,ディスク,21113,,292490,00C-022-C606S-qq-e-f1-531k,4996338085412,00C 022 C606S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,必ずクスコクラッチカバーとセットでご使用ください。(純正ディスク外形はφ180),26800,1100
スズキ,ワゴンR,CT51S/CV51S,1997/4～1998/10,K6A,DOHCターボ,ディスク,21113,,292868,00C-022-C606S-qq-e-f1-534k,4996338085412,00C 022 C606S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,必ずクスコクラッチカバーとセットでご使用ください。(純正ディスク外形はφ180),26800,1100
スバル,BRZ,ZC6,2012/3～,FA20,前期・後期,ディスク＋カバー,46418,,292801,965-022-G-qq-e-f1-538k,4996338080868,965 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:6000/610(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,BRZ,ZC6,2012/3～,FA20,前期・後期,ディスク,25567,,292494,00C-022-C666F-qq-e-f1-539k,4996338080714,00C 022 C666F,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,必ずクスコクラッチカバーとセットでご使用ください。,32800,1100
スバル,WRX STI,VAB,2014/8～,EJ20T,,ディスク＋カバー,44362,,293002,667-022-G-qq-e-f1-544k,4996338080363,667 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),メタルディスク&クスコクラッチカバー,,61000,0
スバル,WRX STI,VAB,2014/8～,EJ20T,,ディスク,24824,,292500,00C-022-C667F-qq-e-f1-545k,4996338083258,00C 022 C667F,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,31800,1100
