自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
ホンダ,フィット,GK3/GK5,2013/9～,F/L/S/RS,FF/1300・1500,175413,,241188,3A2-64R-CB-qq-e-f1-280,3A2-64R-CB-qq-e-d-280,4996338058591,3A2 64R CB,CUSCO,SPORT R,,12k(9・10・11・14・16)/14k(6・7・8・9・10・11・12・14・16・18)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-75～0/-65～-25,-50～-15/-50～-25,-35/-35,65/65,150/レートによる,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能(参考車高時キャンバー参考値-2.0～-4.5°)<br>オプションをご希望の場合、事前にお問合せください,,228000,181500
マツダ,RX-7,FD3S,1991/12～2003/4,X/S/R/RZ/RS/RB/RBバサースト,FR/(654X2)T,175413,,241195,422-64R-CP-qq-e-f1-315,422-64R-CP-qq-e-d-315,4996338074379,422 64R CP,CUSCO,SPORT R,ピロボール固定式/ピロボール固定式,16k(12・13・14・15・18・20・22・24)/16k(12・13・14・15・18・20・22・24)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-90～0/-75～-5,-55～0/-60～-10,-30/-35,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
マツダ,デミオ,DE3FS/DE5FS,2007/7～2014/9,13C/13F/13V/13S/15C/スポルト,FF/1300・1500,190703,,241205,438-64R-CN-qq-e-f1-345,438-64R-CN-qq-e-d-345,4996338074669,438 64R CN,CUSCO,SPORT R,ピロボール固定式/強化ゴム固定式,12k(8・9・10・11・13・14)/7k(4・5・6・8・9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-75～-55,-60～-35/-70～-55,-55/-55,65/65,150/レートによる,全長調整式/スペーサー調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,248000,196100
マツダ,デミオ,DJ5FS/DJLFS,2014/9～,XD/XDツーリング/XDツーリングLパッケージ/15MB,FF/1500,190703,,241450,446-64R-CN-qq-e-f1-350,446-64R-CN-qq-e-d-350,4996338068637,446 64R CN,CUSCO,SPORT R,ピロボール調整式/強化ゴム固定式,12k(8・9・10・11・13・14・15・16)/10k(7・8・9・11・12・13・14・15・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-80～0/-67～-35,-65～-20/-65～-35,-50/-50,65/65,レートによる/150,全長調整式/スペーサー調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,248000,196100
マツダ,ロードスター,NA6CE/NA8C,1989/9～1998/1,1.6/1.8/Vスペシャル/Sスペシャル,FR/1600・1800,175413,,241896,404-64R-CP-qq-e-f1-303,404-64R-CP-qq-e-d-303,4996338074621,404 64R CP,CUSCO,SPORT R,ピロボール固定式/ピロボール固定式,12k(8・9・10・11・13・14・15・16)/10k(7・8・9・11・12・13・14・15)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-100～0/-75～-20,-60～-15/-60～-20,-35/-30,65/65,150/150,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
マツダ,ロードスター,NB6C/NB8C,1998/1～2005/8,1.6/1.8/S/RS/VS,FR/1600・1800,175413,,241675,404-64R-CP-qq-e-f1-304,404-64R-CP-qq-e-d-304,4996338074621,404 64R CP,CUSCO,SPORT R,ピロボール固定式/ピロボール固定式,12k(8・9・10・14・16)/10k(7・8・9・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-100～0/-75～-20,-60～-15/-60～-20,-35/-30,65/65,150/150,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
マツダ,ロードスター,ND5RC,2015/5～,S/Sスペシャルパッケージ/Sレザーパッケージ,FR/1500,175413,,241198,429-64R-CP-qq-e-f1-330,429-64R-CP-qq-e-d-330,4996338073518,429 64R CP,CUSCO,SPORT R,ピロボール固定式/ピロボール固定式,12k(9・10・11・13・14・15・16・18)/8k(6・7・9・10・11・12・13・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-86～0/-84～0,-50～0/-50～0,-40/-40,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
マツダ,ロードスターRF,NDERC,2016/12～,S/VS/RS,FR/2000,175413,,241443,429-64R-CP-qq-e-f1-331,429-64R-CP-qq-e-d-331,4996338073518,429 64R CP,CUSCO,SPORT R,ピロボール固定式/ピロボール固定式,12k(9・10・11・13・14・15・16・18)/8k(6・7・9・10・11・12・13・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-81～0/-94～0,-50～0/-50～0,-35/-50,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,181500
三菱,ランサーエボリューションV/VI,CP9A,1998/1～2001/1,GSR/RS,4WD/2000T<br>Evo.5/6,190703,,241695,561-64R-CP-qq-e-f1-383,561-64R-CP-qq-e-d-383,4996338074140,561 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール固定式,11k(9・10・12・14・16)/10k(8・9・11・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-60～0,-70～-10/-60～0,-50/-30,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,トミ・マキネン仕様含む<br>オプションをご希望の場合、事前にお問合せください,,248000,196100
三菱,ランサーエボリューションVII,CT9A,2001/2～2003/1,GSR/RS/GT-A,4WD/2000T<br>Evo.7,190703,,241464,564-64R-CP-qq-e-f1-399,564-64R-CP-qq-e-d-399,4996338073563,564 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール固定式,12k(9・10・11・14・16)/11k(8・9・10・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-85～0,-70～0/-50～0,-50/-45,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,248000,196100
三菱,ランサーエボリューションVIII/VIII MR/IX/IX MR,CT9A,2003/1～2007/1,GSR/RS/GT,4WD/2000T<br>Evo.8/Evo.8MR/Evo.9/Evo.9MR,190703,,241218,564-64R-CP-qq-e-f1-400,564-64R-CP-qq-e-d-400,4996338073563,564 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール固定式,12k(9・10・11・14・16)/11k(8・9・10・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-85～0,-70～0/-50～0,-50/-45,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,248000,196100
三菱,ランサーエボリューションX,CZ4A,2007/10～2015/9,GRS-X/RS-X,4WD/2000T<br>Evo.10,190703,,241466,566-64R-CP-qq-e-f1-409,566-64R-CP-qq-e-d-409,4996338068620,566 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール固定式,14k(10・11・12・16・18)/9k(7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-80～0/-80～0,-70～0/-60～0,-50/-40,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,248000,196100
