自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
スズキ,ワゴンR/ワゴンRスティングレー,MH21S/MH22S,2004/12～2007/2<br>2007/2～2008/8,FA/FX/FT<br>X/T/DL/スティングレー,FF・4WD/660・660T<br>MH21S:3～4型,82080,,241484,631-62J-CBF-qq-e-f1-496,631-62J-CBF-qq-e-d-496,4996338076199,631 62J CBF,CUSCO,STREET A,,3.5k(4・5)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/14,対応/非対応,-65～-5/-45～-15,-50～-20/-45～-15,-45/-40,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,114000,92600
スバル,BRZ,ZC6,2012/3～2016/7<br>2016/8～,RA/R/S/GT,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,92160,,241823,965-61J-CB-qq-e-f1-1344,965-61J-CB-qq-e-d-1344,4996338037299,965 61J CB,CUSCO,STREET A,,4.5k(5)/5k(6・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-35～-5/-50～-10,-15～-5/-35～-15,-15/-25,65/65,レートによる/200,全長固定式/全長固定式,赤,前期モデルは車高調整時、フォグランプの高さ(下端が地上から250mm以上)に注意が必要、純正-25mm辺りが参考限界値<br>e-con2対応(00B 60J 1012)<br>e-con2取付時、内装の加工が必要<br>オプションをご希望の場合、事前にお問合せください,,128000,102100
スバル,インプレッサ,GRB/GRF,2007/10～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,88560,,241925,692-61J-CB-qq-e-f1-1212,692-61J-CB-qq-e-d-1212,4996338077899,692 61J CB,CUSCO,STREET A,,7k(8・9・10)/6k(7・8・9)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-73～-20/-80～-20,-40～-20/-40～-20,-30/-30,65/65,200/200,全長固定式/全長固定式,赤,e-con2対応(00B 60J 1012)<br>オプションをご希望の場合、事前にお問合せください,,123000,101700
スバル,インプレッサ,GVB/GVF,2010/7～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,88560,,241512,692-61J-CB-qq-e-f1-1204,692-61J-CB-qq-e-d-1204,4996338077899,692 61J CB,CUSCO,STREET A,,7k(8・9・10)/6k(7・8・9)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-73～-20/-90～-25,-40～-20/-45～-25,-30/-35,65/65,200/200,全長固定式/全長固定式,赤,e-con2対応(00B 60J 1012)<br>オプションをご希望の場合、事前にお問合せください,,123000,101700
スバル,ステラ/ステラカスタム,LA150F,2014/12～,L/G/GS/カスタムR/カスタムRS,FF/660・660T,88560,,241942,780-62J-CB-qq-e-f1-1190,780-62J-CB-qq-e-d-1190,4996338077929,780 62J CB,CUSCO,STREET A,,4k(5・6)/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-65～-10/-45～-10,-40～-20/-40～-10,-35/-30,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2対応(00B 60J 1012)<br>e-con2装着時、リヤピストンロッド先端が内装に干渉する場合は内装の加工(カット)が必要<br>オプションをご希望の場合、事前にお問合せください,,123000,98700
スバル,デックス,M401F,2008/11～2012/11,1.3i/1.3i-L/1.3i-S,FF/1300<br>フロントスタビリンクがショックアブソーバーに取付けられている車両は取付不可,86400,,241321,921-62J-CBF-qq-e-f1-1184,921-62J-CBF-qq-e-d-1184,4996338076700,921 62J CBF,CUSCO,STREET A,,4k(5・6)/2.7k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/14,対応/非対応,-90～-5/-60～-35,-60～-30/-60～-35,-45/-45,65/専用形状,250/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,120000,96600
スバル,トレジア,NSP120X/NCP120X,2010/11～2016/3,I/I-L,FF/1300・1500,86400,,241960,901-62J-CB-qq-e-f1-158,901-62J-CB-qq-e-d-158,4996338037008,901 62J CB,CUSCO,STREET A,,5k(6)/3.3k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-115～-40/-40～-15,-65～-40/-40～-15,-50/-40,専用形状/専用形状,専用形状/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,120000,99600
スバル,プレオ/プレオカスタム,L275B/L275F,2010/4～,A/F/L/R,FF/660,88560,,241529,780-62J-CB-qq-e-f1-428,780-62J-CB-qq-e-d-428,4996338077929,780 62J CB,CUSCO,STREET A,,4k(5・6)/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-70～-10/-50～-15,-45～-25/-40～-15,-40/-35,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,123000,98700
スバル,プレオプラス,LA300F,2012/12～2017/5,E/F/L/G,FF/660,88560,,241763,780-62J-CB-qq-e-f1-1162,780-62J-CB-qq-e-d-1162,4996338077929,780 62J CB,CUSCO,STREET A,,4k(5・6)/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,,,,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,123000,98700
スバル,ルクラ/ルクラカスタム,L455F,2010/4～2015/5,L/Lスペシャル/Lリミテッド/R/Rリミテッド/RS,FF/660・660T,88560,,241765,780-62J-CB-qq-e-f1-1355,780-62J-CB-qq-e-d-1355,4996338077929,780 62J CB,CUSCO,STREET A,,4k(5・6)/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,,,,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,123000,98700
