自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
日産,スカイライン,ER34,1998/05～1999/07,RB25DET,MT,ビスカス,アクティブLSD車を除く,1WAY,132880,,299997,LSD-270-S-qq-e-f1-5356,4996338019844,LSD 270 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイライン,ER34,1999/08～2001/06,RB25DET,AT,ビスカス,アクティブLSD車を除く,1WAY,132880,,300487,LSD-270-S-qq-e-f1-5420,4996338019844,LSD 270 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイライン,ER34,1999/08～2001/06,RB25DET,MT,ヘリカル,アクティブLSD車を除く,1WAY,132880,,301993,LSD-271-S-qq-e-f1-5510,4996338019868,LSD 271 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイラインGT-R,BCNR33,1995/01～1999/01,RB26DETT,MT,機械式,アクティブLSD車を除く,1WAY,132880,,300813,LSD-169-S-qq-e-f1-5369,4996338019806,LSD 169 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイラインGT-R,BCNR33,1995/01～1999/01,RB26DETT,MT,機械式,,1WAY,124080,,297159,LSD-137-S-qq-e-f1-5502,4996338019882,LSD 137 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
日産,スカイラインGT-R,BNR32,1989/08～1993/01,RB26DETT,MT,機械式,,1WAY,132880,,300009,LSD-271-S-qq-e-f1-5373,4996338019868,LSD 271 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイラインGT-R,BNR32,1989/08～1994/12,RB26DETT,MT,オープンデフ,,1WAY,124080,,298661,LSD-137-S-qq-e-f1-5484,4996338019882,LSD 137 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
日産,スカイラインGT-R,BNR32,1993/01～1994/12,RB26DETT,MT,機械式,,1WAY,132880,,297807,LSD-169-S-qq-e-f1-5464,4996338019806,LSD 169 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイラインGT-R,BNR34,1999/01～2002/08,RB26DETT,MT,機械式,アクティブLSD車を除く,1WAY,132880,,300307,LSD-169-S-qq-e-f1-5438,4996338019806,LSD 169 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイラインGT-R,BNR34,1999/01～2002/08,RB26DETT,MT,機械式,,1WAY,124080,,297625,LSD-137-S-qq-e-f1-5411,4996338019882,LSD 137 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
日産,フェアレディZ,Z33,2002/07～2008/12,VQ35DE/VQ35HR,MT,ビスカス,,1WAY,132880,,297417,LSD-251-S-qq-e-f1-5443,4996338019820,LSD 251 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,フェアレディZ,Z34,2008/12～,VQ37DE,MT,ビスカス,,1WAY,132880,,298389,LSD-251-S-qq-e-f1-5508,4996338019820,LSD 251 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
