自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
トヨタ,ハイエース,LH110G/RZH110G,1989/09～1993/07,2L/1RZ-E,MT/AT,オープンデフ,,1.5WAY,100320,,299624,HBD-803-L15-qq-e-f1-5686,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH110G/RZH110G,1989/09～1993/07,2L/1RZ-E,MT/AT,オープンデフ,,1WAY,100320,,298121,HBD-803-F-qq-e-f1-5683,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH117W,1990/10～1993/07,3L,MT/AT,オープンデフ,パートタイム4WD,1.5WAY,100320,,299111,HBD-803-L15-qq-e-f1-5673,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH117W,1990/10～1993/07,3L,MT/AT,オープンデフ,パートタイム4WD,1WAY,100320,,301124,HBD-803-F-qq-e-f1-5677,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH140G,1990/10～1993/07,2L,MT/AT,オープンデフ,,1.5WAY,100320,,300612,HBD-803-L15-qq-e-f1-5687,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,LH140G,1990/10～1993/07,2L,MT/AT,オープンデフ,,1WAY,100320,,296625,HBD-803-F-qq-e-f1-5676,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,RZH100G/RZH101G,1989/08～2004/08,1RZ-E/2RZ-E,MT/AT,オープンデフ,,1.5WAY,100320,,301127,HBD-803-L15-qq-e-f1-5657,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,RZH100G/RZH101G,1989/08～2004/08,1RZ-E/2RZ-E,MT/AT,オープンデフ,,1WAY,100320,,296112,HBD-803-F-qq-e-f1-5684,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,RZH112V/RZH112K,1989/11～2000/04,1RZ-E,AT,オープンデフ,,1.5WAY,100320,,300611,HBD-803-L15-qq-e-f1-5672,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,RZH112V/RZH112K,1989/11～2000/04,1RZ-E,AT,オープンデフ,,1WAY,100320,,300122,HBD-803-F-qq-e-f1-5666,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,TRH200V/TRH200K/TRH221K/TRH214W/TRH224W,2004/08～,1TR-FE/2TR-FE,MT/AT,オープンデフ,,1.5WAY,100320,,299110,HBD-803-L15-qq-e-f1-5662,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,TRH200V/TRH200K/TRH221K/TRH214W/TRH224W,2004/08～,1TR-FE/2TR-FE,MT/AT,オープンデフ,,1WAY,100320,,302119,HBD-803-F-qq-e-f1-5649,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,TRH223B,2004/08～,2TR-FE,AT,オープンデフ,,1.5WAY,100320,,298123,HBD-803-L15-qq-e-f1-5670,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,TRH223B,2004/08～,2TR-FE,AT,オープンデフ,,1WAY,100320,,297610,HBD-803-F-qq-e-f1-5680,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,TRH226K,2004/08～,2TR-FE,MT/AT,オープンデフ,フルタイム4WD,1.5WAY,100320,,297612,HBD-803-L15-qq-e-f1-5663,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,TRH226K,2004/08～,2TR-FE,MT/AT,オープンデフ,フルタイム4WD,1WAY,100320,,300121,HBD-803-F-qq-e-f1-5650,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,YH51G/LH51G/YH61G/LH61G,1985/08～1989/08,3Y-U/2L-T,MT/AT,オープンデフ,,1.5WAY,100320,,301126,HBD-803-L15-qq-e-f1-5651,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,YH51G/LH51G/YH61G/LH61G,1985/08～1989/08,3Y-U/2L-T,MT/AT,オープンデフ,,1WAY,100320,,296110,HBD-803-F-qq-e-f1-5675,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,YH57G,1987/08～1989/07,3Y-U,MT/AT,オープンデフ,,1.5WAY,100320,,296626,HBD-803-L15-qq-e-f1-5658,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,YH57G,1987/08～1989/07,3Y-U,MT/AT,オープンデフ,,1WAY,100320,,298119,HBD-803-F-qq-e-f1-5668,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
