自動車メーカー,車種,型式,駆動方式,排気量,年式,備考,セット内容,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,ダウン量,バネレート,マッチンググレード,定価,入り送料,SET価格,,取付特記事項
ALFAROMEO,ブレラ,93922S,FF,2200 NA,18/4～,6MT車 左ハンドル車,フロント,16492,,151115,AR010TDF-qq-e-16469,出さない,4511969264014,AR010TDF,RS-R,Ti2000 DOWN,15～10,5.45,スカイウインドウ2.2JTS,26600,1250,出さない
ALFAROMEO,ブレラ,93922S,FF,2200 NA,18/4～,6MT車 左ハンドル車,リア,13330,,155643,AR010TDR-qq-e-16470,出さない,4511969264021,AR010TDR,RS-R,Ti2000 DOWN,15～10,4.02,スカイウインドウ2.2JTS,21500,1250,出さない
ALFAROMEO,ブレラ,93932S,4WD,3200 NA,18/4～,,1台分,31372,,166596,AR006TD-qq-e-467,出さない,4511969265332,AR006TD,RS-R,Ti2000 DOWN,25～20/25～20,6.40/4.46,スカイウインドウ 3.2 JTS Q4,50600,0,出さない
ALFAROMEO,ブレラ,93932S,4WD,3200 NA,18/4～,,フロント,19592,,162009,AR006TDF-qq-e-16472,出さない,4511969265349,AR006TDF,RS-R,Ti2000 DOWN,25～20,6.40,スカイウインドウ 3.2 JTS Q4,31600,1250,出さない
ALFAROMEO,ブレラ,93932S,4WD,3200 NA,18/4～,,リア,14880,,164285,AR006TDR-qq-e-16473,出さない,4511969265356,AR006TDR,RS-R,Ti2000 DOWN,25～20,4.46,スカイウインドウ 3.2 JTS Q4,24000,1250,出さない
ALFAROMEO,ミト,955141,FF,1400 TB,21/4～,6MT,1台分,27776,,153362,AR008TD-qq-e-16438,AR008TD-qq-e-d-16438,4511969276178,AR008TD,RS-R,Ti2000 DOWN,20～15/25～20,2.76/2.58,1.4ターボ,44800,0,66900
ALFAROMEO,ミト,955141,FF,1400 TB,21/4～,6MT,フロント,16926,,162011,AR008TDF-qq-e-16439,出さない,4511969276185,AR008TDF,RS-R,Ti2000 DOWN,20～15,2.76,1.4ターボ,27300,1250,出さない
ALFAROMEO,ミト,955141,FF,1400 TB,21/4～,6MT,リア,13950,,160133,AR008TDR-qq-e-16440,出さない,4511969276192,AR008TDR,RS-R,Ti2000 DOWN,25～20,2.58,1.4ターボ,22500,1250,出さない
AUDI,A1,8XCAX,FF,1400 TB,23/1～,,1台分,23436,,151120,AU100TD-qq-e-16258,AU100TD-qq-e-d-16258,4511969286931,AU100TD,RS-R,Ti2000 DOWN,20～15/20～15,2.59/2.45,1.4TFSI,37800,0,62700
AUDI,A1,8XCAX,FF,1400 TB,23/1～,,フロント,13392,,166599,AU100TDF-qq-e-16259,出さない,4511969286948,AU100TDF,RS-R,Ti2000 DOWN,20～15,2.59,1.4TFSI,21600,1250,出さない
AUDI,A1,8XCAX,FF,1400 TB,23/1～,,リア,12958,,160136,AU100TDR-qq-e-16260,出さない,4511969286955,AU100TDR,RS-R,Ti2000 DOWN,20～15,2.45,1.4TFSI,20900,1250,出さない
AUDI,A1スポーツバック,8XCAX,FF,1400 TB,25/7～,,1台分,23436,,162391,AU100TD-qq-e-16261,AU100TD-qq-e-d-16261,4511969286931,AU100TD,RS-R,Ti2000 DOWN,25～20/25～20,2.59/2.45,1.4TFSI,37800,0,62700
AUDI,A1スポーツバック,8XCAX,FF,1400 TB,25/7～,,フロント,13392,,157893,AU100TDF-qq-e-16262,出さない,4511969286948,AU100TDF,RS-R,Ti2000 DOWN,25～20,2.59,1.4TFSI,21600,1250,出さない
AUDI,A1スポーツバック,8XCAX,FF,1400 TB,25/7～,,リア,12958,,162392,AU100TDR-qq-e-16263,出さない,4511969286955,AU100TDR,RS-R,Ti2000 DOWN,25～20,2.45,1.4TFSI,20900,1250,出さない
