自動車メーカー,車種,型式,駆動方式,排気量,年式,備考,セット内容,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,ダウン量,バネレート,マッチンググレード,定価,入り送料,SET価格,,取付特記事項
ホンダ,インテグラ,DC2,FF,1800 NA,5/6～13/6,,フロント,15686,,151266,H075TDF-qq-e-8024,出さない,4511969228252,H075TDF,RS-R,Ti2000 HD,40～35,5.00,,25300,1250,出さない
ホンダ,インテグラ,DC2,FF,1800 NA,5/6～13/6,,リア,12524,,167011,H075TDR-qq-e-8025,出さない,4511969228269,H075TDR,RS-R,Ti2000 HD,50～45,4.80,,20200,1250,出さない
ホンダ,シビック,EF2,FF,1500 NA,62/7～3/8,,1台分,23560,,157634,H040TH-qq-e-8536,H040TH-qq-e-d-8536,4511969228214,H040TH,RS-R,Ti2000 HD,,6.10/4.20,,38000,0,37800
ホンダ,シビック,EF2,FF,1500 NA,62/7～3/8,,1台分,27094,,157637,H040TH2-qq-e-8539,H040TH2-qq-e-d-8539,4511969230026,H040TH2,RS-R,Ti2000 HD,,8.00/6.00,,43700,0,41300
ホンダ,シビック,EF2,FF,1500 NA,62/7～3/8,,フロント,15686,,162144,H040THF2-qq-e-8540,出さない,4511969230033,H040THF2,RS-R,Ti2000 HD,,8.00,,25300,1250,出さない
ホンダ,シビック,EF2,FF,1500 NA,62/7～3/8,,フロント,13330,,166344,H040THF-qq-e-8537,出さない,4511969228221,H040THF,RS-R,Ti2000 HD,,6.10,,21500,1250,出さない
ホンダ,シビック,EF2,FF,1500 NA,62/7～3/8,,リア,12524,,157640,H040THR-qq-e-8538,出さない,4511969228238,H040THR,RS-R,Ti2000 HD,,4.20,,20200,1250,出さない
ホンダ,シビック,EF2,FF,1500 NA,62/7～3/8,,リア,14136,,157642,H040THR2-qq-e-8541,出さない,4511969230040,H040THR2,RS-R,Ti2000 HD,,6.00,,22800,1250,出さない
ホンダ,シビック,EF3,FF,1600 NA,62/7～3/8,,1台分,27094,,155402,H040TH2-qq-e-8554,H040TH2-qq-e-d-8554,4511969230026,H040TH2,RS-R,Ti2000 HD,,8.00/6.00,,43700,0,41300
ホンダ,シビック,EF3,FF,1600 NA,62/7～3/8,,1台分,23560,,166342,H040TH-qq-e-8551,H040TH-qq-e-d-8551,4511969228214,H040TH,RS-R,Ti2000 HD,,6.10/4.20,,38000,0,37800
ホンダ,シビック,EF3,FF,1600 NA,62/7～3/8,,フロント,15686,,155405,H040THF2-qq-e-8555,出さない,4511969230033,H040THF2,RS-R,Ti2000 HD,,8.00,,25300,1250,出さない
ホンダ,シビック,EF3,FF,1600 NA,62/7～3/8,,フロント,13330,,157638,H040THF-qq-e-8552,出さない,4511969228221,H040THF,RS-R,Ti2000 HD,,6.10,,21500,1250,出さない
ホンダ,シビック,EF3,FF,1600 NA,62/7～3/8,,リア,14136,,155409,H040THR2-qq-e-8556,出さない,4511969230040,H040THR2,RS-R,Ti2000 HD,,6.00,,22800,1250,出さない
ホンダ,シビック,EF3,FF,1600 NA,62/7～3/8,,リア,12524,,162146,H040THR-qq-e-8553,出さない,4511969228238,H040THR,RS-R,Ti2000 HD,,4.20,,20200,1250,出さない
ホンダ,シビック,EF9,FF,1600 NA,1/7～3/8,,1台分,27094,,155403,H040TH2-qq-e-8569,H040TH2-qq-e-d-8569,4511969230026,H040TH2,RS-R,Ti2000 HD,,8.00/6.00,,43700,0,41300
ホンダ,シビック,EF9,FF,1600 NA,1/7～3/8,,1台分,23560,,157635,H040TH-qq-e-8566,H040TH-qq-e-d-8566,4511969228214,H040TH,RS-R,Ti2000 HD,,6.10/4.20,,38000,0,37800
ホンダ,シビック,EF9,FF,1600 NA,1/7～3/8,,フロント,15686,,157639,H040THF2-qq-e-8570,出さない,4511969230033,H040THF2,RS-R,Ti2000 HD,,8.00,,25300,1250,出さない
ホンダ,シビック,EF9,FF,1600 NA,1/7～3/8,,フロント,13330,,162143,H040THF-qq-e-8567,出さない,4511969228221,H040THF,RS-R,Ti2000 HD,,6.10,,21500,1250,出さない
ホンダ,シビック,EF9,FF,1600 NA,1/7～3/8,,リア,12524,,157641,H040THR-qq-e-8568,出さない,4511969228238,H040THR,RS-R,Ti2000 HD,,4.20,,20200,1250,出さない
ホンダ,シビック,EF9,FF,1600 NA,1/7～3/8,,リア,14136,,166345,H040THR2-qq-e-8571,出さない,4511969230040,H040THR2,RS-R,Ti2000 HD,,6.00,,22800,1250,出さない
