自動車メーカー,車種,型式,エンジン型式,年式,適合詳細,備考,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,注意事項,定価,送料,SET価格
トヨタ,マークII/クレスタ/チェイサー,JZX90/JZX100,1JZ-GTE,92/10～01/07,マークIIのみ00/10まで,スプリング変更は可能ですが、軽量スプリング使用のためご希望の場合は事前にお問い合わせください。,191310,,310211,264CT008-qq-e-1k,264CT008-qq-e-d-1k,264CT008,A'PEXi,N1エボリューションダンパー フルキット,タイプ(F/R):正立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-30/-25<br>車高調整幅 mm 純正比(F/R):-15～-115/-15～-85<br>バネ(F/R):φ65 9インチ 18k/φ65 9インチ 9k<br>キャンバー調整(F/R):非調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),258000,0,208500
日産,180SX,RS13/RPS13/KRS13/KRPS13,RS13/RPS13:CA18DET<br>KRS13/KRPS13:SR20DET,RS13/RPS13:89/04～91/01<br>KRS13/KRPS13:91/01～98/12,,スプリングの付属はありません。,198623,,310252,266KN006-qq-e-37k,266KN006-qq-e-d-37k,266KN006,A'PEXi,N1エボリューションダンパー スプリングレスキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-50/-30<br>車高調整幅 mm 純正比(F/R):-20～-105/-20～-90<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),268000,0,216000
日産,180SX,RS13/RPS13/KRS13/KRPS13,RS13/RPS13:CA18DET<br>KRS13/KRPS13:SR20DET,RS13/RPS13:89/04～91/01<br>KRS13/KRPS13:91/01～98/12,,スプリング及びアッパーマウントの付属はありません。,169372,,310240,266-N006-qq-e-63k,266-N006-qq-e-d-63k,266-N006,A'PEXi,N1エボリューションダンパー ダンパーキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-50/-30<br>車高調整幅 mm 純正比(F/R):-20～-105/-20～-90,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),228000,0,186000
日産,180SX,RS13/RPS13/KRS13/KRPS13,RS13/RPS13:CA18DET<br>KRS13/KRPS13:SR20DET,RS13/RPS13:89/04～91/01<br>KRS13/KRPS13:91/01～98/12,,スプリング変更は可能ですが、軽量スプリング使用のためご希望の場合は事前にお問い合わせください。,213248,,310246,266AN006-qq-e-11k,266AN006-qq-e-d-11k,266AN006,A'PEXi,N1エボリューションダンパー フルキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-50/-30<br>車高調整幅 mm 純正比(F/R):-20～-105/-20～-90<br>バネ(F/R):φ65 7インチ 9k/φ65 9インチ 8k<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),288000,0,231000
日産,シルビア,S13/PS13/KS13/KPS13,S13/PS13:CA18DET/CA18DE<br>KS13/KPS13:SR20DET/SR20DE,S13/PS13:88/05～91/01<br>KS13/KPS13:91/01～93/10,,スプリングの付属はありません。,198623,,310253,266KN006-qq-e-38k,266KN006-qq-e-d-38k,266KN006,A'PEXi,N1エボリューションダンパー スプリングレスキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-50/-30<br>車高調整幅 mm 純正比(F/R):-20～-105/-20～-90<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),268000,0,216000
日産,シルビア,S13/PS13/KS13/KPS13,S13/PS13:CA18DET/CA18DE<br>KS13/KPS13:SR20DET/SR20DE,S13/PS13:88/05～91/01<br>KS13/KPS13:91/01～93/10,,スプリング及びアッパーマウントの付属はありません。,169372,,310241,266-N006-qq-e-64k,266-N006-qq-e-d-64k,266-N006,A'PEXi,N1エボリューションダンパー ダンパーキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-50/-30<br>車高調整幅 mm 純正比(F/R):-20～-105/-20～-90,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),228000,0,186000
日産,シルビア,S13/PS13/KS13/KPS13,S13/PS13:CA18DET/CA18DE<br>KS13/KPS13:SR20DET/SR20DE,S13/PS13:88/05～91/01<br>KS13/KPS13:91/01～93/10,,スプリング変更は可能ですが、軽量スプリング使用のためご希望の場合は事前にお問い合わせください。,213248,,310247,266AN006-qq-e-12k,266AN006-qq-e-d-12k,266AN006,A'PEXi,N1エボリューションダンパー フルキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-50/-30<br>車高調整幅 mm 純正比(F/R):-20～-105/-20～-90<br>バネ(F/R):φ65 7インチ 9k/φ65 9インチ 8k<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),288000,0,231000
日産,シルビア,S14/CS14,SR20DET,93/10～99/01,,スプリングの付属はありません。,198623,,310254,266KN007-qq-e-39k,266KN007-qq-e-d-39k,266KN007,A'PEXi,N1エボリューションダンパー スプリングレスキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-50/-15<br>車高調整幅 mm 純正比(F/R):-25～-95/+5～-75<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),268000,0,216000
日産,シルビア,S14/CS14,SR20DET,93/10～99/01,,スプリング及びアッパーマウントの付属はありません。,169372,,310242,266-N007-qq-e-65k,266-N007-qq-e-d-65k,266-N007,A'PEXi,N1エボリューションダンパー ダンパーキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-50/-15<br>車高調整幅 mm 純正比(F/R):-25～-95/+5～-75,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),228000,0,186000
日産,シルビア,S14/CS14,SR20DET,93/10～99/01,,スプリング変更は可能ですが、軽量スプリング使用のためご希望の場合は事前にお問い合わせください。,213248,,310248,266AN007-qq-e-13k,266AN007-qq-e-d-13k,266AN007,A'PEXi,N1エボリューションダンパー フルキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-50/-15<br>車高調整幅 mm 純正比(F/R):-25～-95/+5～-75<br>バネ(F/R):φ65 8インチ 10k/φ65 9インチ 9k<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),288000,0,231000
