自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,掛け,販売価格
日産,デイズハイウェイスター,B21W,H25/6～H26/10,660,NA,フロント,11100,,280609,SSY-EP475-qq-e-478k,SSY-EP475-qq-e-d-478k,4515693314755,EP475,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,デイズルークス,B21A,H26/2～,660,NA・4WD,フロント,11100,,280761,SSY-EP502-qq-e-480k,SSY-EP502-qq-e-d-480k,4515693315028,EP502,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,デイズルークス,B21A,H26/2～H26/10,660,NA・2WD,フロント,11100,,280610,SSY-EP475-qq-e-479k,SSY-EP475-qq-e-d-479k,4515693314755,EP475,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,デイズルークス,B21W,H26/2～,660,ターボ,フロント,11100,,280762,SSY-EP502-qq-e-481k,SSY-EP502-qq-e-d-481k,4515693315028,EP502,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,デュアリス,J10/KJ10/NJ10/KNJ10,H19/5～H26/3,2000,,フロント,11100,,280541,SSY-EP468-qq-e-486k,SSY-EP468-qq-e-d-486k,4515693314687,EP468,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,デュアリス,J10/KJ10/NJ10/KNJ10,H19/5～H26/3,2000,,リア,11100,,280556,SSY-EP469-qq-e-6237k,SSY-EP469-qq-e-d-6237k,4515693314694,EP469,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,テラノ,PR50/RR50/LR50/LE50,H7/9～H11/2,2700～3300,リアドラム,フロント,11100,,279545,SSY-EP346-qq-e-491k,SSY-EP346-qq-e-d-491k,4515693313468,EP346,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,テラノ,VBYD21,H1/10～H5/1,2700～,バン・リアドラム,フロント,11100,,278277,SSY-EP087-qq-e-490k,SSY-EP087-qq-e-d-490k,4515693310870,EP087,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,テラノ,VBYD21,S61/8～H1/10,2700～,バン,フロント,11100,,278274,SSY-EP087-qq-e-487k,SSY-EP087-qq-e-d-487k,4515693310870,EP087,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,テラノ,WBYD21,S61/8～H1/10,2700～,ワゴン・リアドラム,フロント,11100,,278275,SSY-EP087-qq-e-488k,SSY-EP087-qq-e-d-488k,4515693310870,EP087,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
