自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,販売価格
ダイハツ,ミライース,LA300S/LA310S,H23/9～H29/5,660,,フロント,13800,,272657,MX72k-EP364-qq-e-4597k,MX72k-EP364-qq-e-d-4597k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ミライース,LA350S/LA360S,H29/5～,660,,フロント,13800,,272658,MX72k-EP364-qq-e-4598k,MX72k-EP364-qq-e-d-4598k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ミラココア,L675S/L685S,H21/7～H23/4,660,,フロント,13800,,272659,MX72k-EP364-qq-e-4599k,MX72k-EP364-qq-e-d-4599k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ミラジーノ,L650S/L660S,H16/12～,660,,フロント,13800,,272647,MX72k-EP364-qq-e-4569k,MX72k-EP364-qq-e-d-4569k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ミラジーノ,L700S/L710S,H11/3～,660,NA,フロント,13800,,272644,MX72k-EP364-qq-e-4566k,MX72k-EP364-qq-e-d-4566k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ミラジーノ1000,L701S/L711S,H14/8～H16/10,1000,リアドラム,フロント,13800,,272630,MX72k-EP363-qq-e-4603k,MX72k-EP363-qq-e-d-4603k,4515693834925,EP363,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ミラバン,L250V/L260V,H14/12～,660,,フロント,13800,,272661,MX72k-EP364-qq-e-4602k,MX72k-EP364-qq-e-d-4602k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ムーヴ,L150S/L160S,H14/10～H18/10,660,DVSII装着車,フロント,13800,,272703,MX72k-EP415-qq-e-4607k,MX72k-EP415-qq-e-d-4607k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,L150S/L160S,H14/10～H18/10,660,,フロント,13800,,272663,MX72k-EP364-qq-e-4608k,MX72k-EP364-qq-e-d-4608k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,L152S/L160S,H14/10～H18/10,660,RS・RSリミテッド,フロント,13800,,272702,MX72k-EP415-qq-e-4606k,MX72k-EP415-qq-e-d-4606k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,L175S,H18/10～H22/12,660,RS・DVSIII装着車,フロント,13800,,272684,MX72k-EP387-qq-e-4609k,MX72k-EP387-qq-e-d-4609k,4515693835564,EP387,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,L175S/L185S,H18/10～H22/12,660,L175S(RS DVSIII非装着車・R ベンチディスク車)/L185S(R・RS),フロント,13800,,272704,MX72k-EP415-qq-e-4610k,MX72k-EP415-qq-e-d-4610k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,L175S/L185S,H18/10～H22/12,660,L175S(RS・Rベンチディスク車を除く)/L185S(R・RSを除く),フロント,13800,,272664,MX72k-EP364-qq-e-4611k,MX72k-EP364-qq-e-d-4611k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,L900S/L902S/L910S/L912S,H10/10～H14/10,660,ソリッドディスク車,フロント,13800,,272662,MX72k-EP364-qq-e-4605k,MX72k-EP364-qq-e-d-4605k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,L900S/L902S/L910S/L912S,H10/10～H14/10,660,ベンチレーテッドディスク車,フロント,13800,,272631,MX72k-EP363-qq-e-4604k,MX72k-EP363-qq-e-d-4604k,4515693834925,EP363,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,LA100S/LA110S,H22/12～H24/12,660,NA,フロント,13800,,272666,MX72k-EP364-qq-e-4615k,MX72k-EP364-qq-e-d-4615k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,LA100S/LA110S,H24/12～H26/12,660,NA,フロント,13800,,272707,MX72k-EP415-qq-e-4616k,MX72k-EP415-qq-e-d-4616k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,LA100S/LA111S,H22/12～,660,ターボ,フロント,13800,,272706,MX72k-EP415-qq-e-4614k,MX72k-EP415-qq-e-d-4614k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴ,LA100S/LA111S,H23/5～,660,NA・12インチ装着車,フロント,13800,,272665,MX72k-EP364-qq-e-4612k,MX72k-EP364-qq-e-d-4612k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
