メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,メーカー品番
マツダ,スクラム,DG64W,K6A(TURBO),05/09-15/03,TURBO専用（NA不可）、2WD/4WD共通,38600,38100,48000,5000,31013-AS014
三菱,ekスポーツ,H81W,3G83(TURBO),02/09-06/08,2WD/4WD取付可・グレード「Z」不可・カスタム車「M2」未確認・ビーム上レイアウト、電動スライドドア車未確認,36500,36000,45000,5000,31013-AM009
三菱,ekスポーツ,H82W,3G83(TURBO),06/09-,2WD/4WD取付可・グレード「Z」不可・カスタム車「M2」未確認・ビーム上レイアウト、電動スライドドア車未確認,36500,36000,45000,5000,31013-AM009
三菱,ekワゴン,H81W,3G83(NA),01/10-06/08,グレード「M-Xパッケージ」装着可・純正バンパ可・2WD/4WD可,38600,38100,48000,5000,3302-SM011
三菱,コルト,Z27AG,4G15(TURBO),06/05-,グレード「Version-R」専用、HKS製およびRALLIART製バンパープロテクター装着車取付可,40000,39500,50000,5000,31013-AM008
三菱,タウンボックス,DS17W,R06A(TURBO),15/03-,TURBO専用（NA不可）、4WD加速認証適合外,38600,38100,48000,5000,31013-AS013
三菱,タウンボックス,DS64W,K6A(TURBO),14/02-15/03,TURBO専用（NA不可）、2WD/4WD共通,38600,38100,48000,5000,31013-AS014
三菱,ミニキャブ,DS64V,K6A(TURBO),14/02-15/02,TURBO専用（NA不可）、4WD用,38600,38100,48000,5000,31013-AS015
日産,NV100クリッパーリオ,DR17W,R06A(TURBO),15/03-,TURBO専用（NA不可）、4WD、加速認証適合外,38600,38100,48000,5000,31013-AS013
日産,NV100クリッパーリオ,DR64V,K6A(TURBO),13/12-15/02,TURBO専用（NA不可）、2WD/4WD共通,38600,38100,48000,5000,31013-AS015
日産,NV100クリッパーリオ,DR64W,K6A(TURBO),13/12-15/03,TURBO専用（NA不可）、2WD/4WD共通,38600,38100,48000,5000,31013-AS014
日産,ノート,E12,HR12DDR,16/11-,NISMO以外の2WD全グレード可、「モードプレミア」「純正リアアンダープロテクター装着車」は未確認,36500,36000,45000,5000,32008-AN013
日産,ノート,E12,HR12DE,16/11-,NISMO以外の2WD全グレード可、「モードプレミア」「純正リアアンダープロテクター装着車」は未確認,36500,36000,45000,5000,32008-AN013
日産,ノート,HE12,HR12DE（HR12-EM57）,16/11-,e-power専用、NISMO以外の2WD全グレード可、「モードプレミア」「シーギア」「オーテック」未確認、純正リアアンダープロテクター装着車未確認,36500,36000,45000,5000,32008-AN013
