メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,メーカー品番
ホンダ,ゼスト スパーク,JE1,P07A(TURBO),08/12-,,26700,26200,31000,5000,31019-AH003
ホンダ,ゼスト スポーツ,JE1,P07A(NA),06/03-08/11,「W」「G」用、モデューロ製リアロアスポーツガーニッシュ装着車未確認,26700,26200,31000,5000,31019-AH003
ホンダ,ゼスト スポーツ,JE1,P07A(TURBO),06/03-08/11,「W_TURBO」「G_TURBO」用、モデューロ製リアロアスポーツガーニッシュ装着車未確認,26700,26200,31000,5000,31019-AH003
ホンダ,フィット,GE8,L15A,07/10-10/09,RS用、メインのみ。10/10MCモデル取付不可。,36500,36000,45000,5000,32016-AH023
ホンダ,フィット,GE8,L15A,10/10-13/08,RS用、メインのみ。無限エアロ装着車取付可,36500,36000,45000,5000,32016-AH027
ホンダ,フィット,GK3,L13B,13/09-,メインのみ。4WDおよび5MTは適合外。無限製リアアンダースポイラー装着車取付不可。,28800,28300,34000,5000,32016-AH031
ホンダ,フィット,GK5,L15B,13/09-,メインのみ。4WDおよびCVTは適合外。無限製リアアンダースポイラー装着車取付不可。,28800,28300,34000,5000,32016-AH031
ホンダ,フィットハイブリッド,GP4,LEA-MF6,12/05-13/08,「ハイブリッドRS」用、メインのみ。無限エアロ装着車取付可。,36500,36000,45000,5000,32016-AH027
ホンダ,フィットハイブリッド,GP5,LEB-H1,13/09-,メインのみ。4WDは適合外。無限製リアアンダースポイラー装着車取付不可。,28800,28300,34000,5000,32016-AH031
マツダ,RX-7,FC3S,13BT,85/09-91/11,左側出しシングル,57500,57000,75000,5000,31019-AZ001
マツダ,RX-7,FD3S,13B-REW,91/12-98/11,98/12～の206.0kw(280PS)車不可,44900,44400,57000,5000,31019-AZ002
マツダ,RX-7,FD3S,13B-REW,98/12-02/08,,47000,46500,60000,5000,31019-AZ003
マツダ,デミオ,DE3FS,ZJ-VE,07/07-,グレード「13CV」未確認.4WD車不可. MT車不可,42800,42300,54000,5000,32016-AZ006
マツダ,デミオ,DE5FS,ZY-VE,07/07-,グレード「スポルト」「15C」用,42800,42300,54000,5000,32016-AZ006
マツダ,デミオ,DEJFS,P3-VPS,11/06-,マッドフラップ装着車取付可,42800,42300,54000,5000,32016-AZ006
三菱,ランサーエボリューション,CN9A(IV),4G63(TURBO),96/08-97/12,,57500,57000,75000,5000,31019-AM006
三菱,ランサーエボリューション,CP9A(V),4G63(TURBO),98/01-98/12,「RS」未確認,57500,57000,75000,5000,31019-AM006
三菱,ランサーエボリューション,CP9A(VI),4G63(TURBO),99/01-01/01,RS未確認・Tommi Makinen EDITION可,57500,57000,75000,5000,31019-AM006
三菱,ランサーエボリューション,CT9A (IX/IX MR),4G63(MIVEC TURBO),05/03-07/09,,57500,57000,75000,5000,31019-AM008
三菱,ランサーエボリューション,CT9A (VIII/VIII MR),4G63(TURBO),03/02-05/02,RS可,57500,57000,75000,5000,31019-AM007
三菱,ランサーエボリューション,CT9A(VII),4G63(TURBO),01/02-03/01,RS可・GT-A可,57500,57000,75000,5000,31019-AM007
三菱,ランサーエボリューション,CZ4A(X),4B11(TURBO),07/10-,グレード「GSR」「RS」用、M/C後（300PS）取付可、左側けん引フック取り外し、カールテール仕様・5MT/SSTともに取付可,89000,88500,120000,5000,31019-AM010
三菱,ランサーエボリューションワゴン,CT9W,4G63(TURBO),05/09-07/09,GT-A取付可,57500,57000,75000,5000,31019-AM008
