自動車メーカー,車種,型式,年式,適合詳細,備考,注意事項,対応純正品番,タイプ,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,取付位置
トヨタ,ウィンダム,MCV30,01/08～06/01,全グレード,参考DENSO品番:DCC1003,,87139-33010,カーボンタイプ,1304,,259132,30080209001-qq-282,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ウィンダム,VCV10/VCV11/MCV20/MCV21,VCV10/VCV11:91/10～96/08<br>MCV20/MCV21:96/08～01/08,全グレード,参考DENSO品番:DCC1005,,88880-33060,カーボンタイプ,1558,,258862,30080209005-qq-6,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,エスティマ,ACR30W/ACR40W/MCR30W/MCR40W,00/01～06/01,全グレード,参考DENSO品番:DCC1003,,87139-28010,カーボンタイプ,1304,,259133,30080209001-qq-285,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,エスティマ,GSR50/GSR55/ACR50/ACR55,06/01～,,,,87139-30020/87139-30040,,1271,,258600,30080109004-qq-38,STRIKE,エアコンフィルター
トヨタ,エスティマ,GSR50W/GSR55W/ACR50W/ACR55W,06/01～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,258824,30080209003-qq-286,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,エスティマ,GSR50W/GSR55W/ACR50W/ACR55W,06/01～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258973,30080309002-qq-139,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,エスティマハイブリッド,AHR10W,01/06～06/06,全グレード,参考DENSO品番:DCC1003,,87139-28010,カーボンタイプ,1304,,258782,30080209001-qq-287,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,エスティマハイブリッド,AHR20W,06/06～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258974,30080309002-qq-140,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,エスティマハイブリッド,AHR20W,06/06～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,259151,30080209003-qq-288,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,オーパ,ZCT10/ZCT15/ACT10,00/04～05/08,全グレード,参考DENSO品番:DCC1003,,87139-28010,カーボンタイプ,1304,,259134,30080209001-qq-289,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,オーリス,NZE151/NZE154/ZRE152/ZRE154/NZE181/NZE184/ZRE186,150系:06/10～12/08<br>180系:12/08～,全グレード,参考DENSO品番:DCC1009,,87139-30040/87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258975,30080309002-qq-141,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,オーリス,NZE151/NZE154/ZRE152/ZRE154/NZE181/NZE184/ZRE186,150系:06/10～12/08<br>180系:12/08～,全グレード,参考DENSO品番:DCC1009,,87139-30040/87139-52040,カーボンタイプ,1344,,259152,30080209003-qq-291,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,オーリス,NZE151/ZRE152,06/10～,,,,87139-30020/87139-30040,,1271,,258604,30080109004-qq-43,STRIKE,エアコンフィルター
トヨタ,オリジン,JCG17,00/11～01/08,全グレード,参考DENSO品番:DCC1002,,87139-48030,カーボンタイプ,1357,,258856,30080209004-qq-8,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ガイア,SXM10/SXM15/ACM10/ACM15/CXM10,98/05～04/09,全グレード,参考DENSO品番:DCC1006,,88508-20060/88508-20070,カーボンタイプ,1558,,259164,30080209006-qq-9,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カムリ,ACV30/ACV35,01/09～06/01,全グレード,参考DENSO品番:DCC1003,,87139-33010,カーボンタイプ,1304,,258783,30080209001-qq-292,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カムリ,ACV40/ACV45,06/01～11/09,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258976,30080309002-qq-143,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,カムリ,ACV40/ACV45,06/01～11/09,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,259153,30080209003-qq-293,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カムリ,SXV20/SXV25/MCV21,99/08～01/09,全グレード,参考DENSO品番:DCC1005,,88880-33060,カーボンタイプ,1558,,258858,30080209005-qq-10,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カムリグラシア,SXV20/SXV25/MCV21/MCV25,96/12～01/09,全グレード,参考DENSO品番:DCC1005,,88880-33060,カーボンタイプ,1558,,258859,30080209005-qq-11,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カムリハイブリッド,AVV50,11/09～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,258825,30080209003-qq-294,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カムリハイブリッド,AVV50,11/09～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258977,30080309002-qq-144,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,カリーナ,AT190/AT191/AT192/CT190/CT195/ST190/ST195/AT210/AT211/AT212/CT211/CT216/ST215,190系:92/08～96/08<br>210系:96/08～01/12,カリーナEDは除く<br>全グレード,参考DENSO品番:DCC1006,,88508-20060/88508-20070,カーボンタイプ,1558,,258863,30080209006-qq-12,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カルディナ,ET196/ST190/ST191/ST195/ST210/ST215/AT191/AT211/CT190/CT196/CT197/CT198/CT199/CT216,92/11～02/09,全グレード,参考DENSO品番:DCC1006,,88508-20060/88508-20070,カーボンタイプ,1558,,258864,30080209006-qq-14,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カルディナ,ZZT241/AZT241/AZT246/ST246,02/09～07/06,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ,1304,,258796,30080209002-qq-295,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カルディナ,ZZT241/AZT241/AZT246/ST246,02/09～07/06,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ PM2.5cut ver.,1384,,258947,30080309001-qq-145,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,カローラ/カローラセダン,NZE120/NZE121/NZE124/ZZE122/ZZE124/CE121,00/08～06/10,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ PM2.5cut ver.,1384,,258948,30080309001-qq-146,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,カローラ/カローラセダン,NZE120/NZE121/NZE124/ZZE122/ZZE124/CE121,00/08～06/10,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ,1304,,259137,30080209002-qq-296,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カローラ/カローラフィールダー,CE121/NZE121/NZE124/ZZE122/ZZE124,00/08～02/09,グレード:S/X マニュアルエアコン,,,87139-12010,,1246,,258593,30080109003-qq-28,STRIKE,エアコンフィルター
トヨタ,カローラ/カローラフィールダー,NZE121/NZE124,04/04～06/09,グレード:X マニュアルエアコン,,,87139-12010,,1246,,259047,30080109003-qq-29,STRIKE,エアコンフィルター
トヨタ,カローラ/カローラランクス/アレックス,NZE121,04/04～06/09,マニュアルエアコン,,,87139-12010,,1246,,258594,30080109003-qq-30,STRIKE,エアコンフィルター
トヨタ,カローラアクシオ,NZE141/NZE144/ZRE142/ZRE144/NRE160/NZE161/NZE164,140系:06/10～12/05<br>160系:12/05～,全グレード,参考DENSO品番:DCC1009,,87139-30040/87139-52020/87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258978,30080309002-qq-147,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,カローラアクシオ,NZE141/NZE144/ZRE142/ZRE144/NRE160/NZE161/NZE164,140系:06/10～12/05<br>160系:12/05～,全グレード,参考DENSO品番:DCC1009,,87139-30040/87139-52020/87139-52040,カーボンタイプ,1344,,259154,30080209003-qq-299,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カローラアクシオ,NZE141/ZRE142,06/10～12/05,オートエアコン,,,87139-30020/87139-30040,,1271,,258602,30080109004-qq-41,STRIKE,エアコンフィルター
トヨタ,カローラアクシオハイブリッド,NKE165,13/08～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,258827,30080209003-qq-301,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カローラアクシオハイブリッド/カローラフィールダーハイブリッド,NKE165,13/08～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,259205,30080309002-qq-149,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,カローラスパシオ,NZE121/ZZE122,グレードV:01/05～03/04<br>グレードX:01/05～,グレード:X,,,87139-12010,,1246,,258595,30080109003-qq-32,STRIKE,エアコンフィルター
トヨタ,カローラスパシオ,NZE121/ZZE122/ZZE124,01/05～07/06,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ PM2.5cut ver.,1384,,258949,30080309001-qq-150,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,カローラスパシオ,NZE121/ZZE122/ZZE124,01/05～07/06,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ,1304,,259138,30080209002-qq-303,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カローラフィールダー,NZE121/NZE124/ZZE122/ZZE123/ZZE124/CE121,00/08～06/10,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ,1304,,258797,30080209002-qq-305,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カローラフィールダー,NZE121/NZE124/ZZE122/ZZE123/ZZE124/CE121,00/08～06/10,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ PM2.5cut ver.,1384,,258950,30080309001-qq-151,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,カローラフィールダー,NZE141/NZE144/ZRE142/ZRE144,06/10～12/05,,,,87139-30020/87139-30040,,1271,,258603,30080109004-qq-42,STRIKE,エアコンフィルター
トヨタ,カローラフィールダー,NZE141/NZE144/ZRE142/ZRE144/NZE161/NZE164/ZRE162,140系:06/10～12/05<br>160系:12/05～,全グレード,参考DENSO品番:DCC1009,,87139-30040/87139-52020/87139-52040,カーボンタイプ,1344,,258828,30080209003-qq-306,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カローラフィールダー,NZE141/NZE144/ZRE142/ZRE144/NZE161/NZE164/ZRE162,140系:06/10～12/05<br>160系:12/05～,全グレード,参考DENSO品番:DCC1009,,87139-30040/87139-52020/87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258979,30080309002-qq-152,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,カローラフィールダーハイブリッド,NKE165,13/08～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,258829,30080209003-qq-309,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カローラランクス/アレックス,NZE121/NZE124/ZZE122/ZZE123/ZZE124,01/01～06/10,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12030,カーボンタイプ,1304,,258798,30080209002-qq-310,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カローラルミオン,NZE151/ZRE152/ZRE154,07/10～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,258830,30080209003-qq-312,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,カローラルミオン,NZE151/ZRE152/ZRE154,07/10～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,259206,30080309002-qq-153,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,クラウン,GRS180/GRS181/GRS182/GRS183/GRS184/GRS200/GRS201/GRS202/GRS203/GRS204,180系:03/12～08/02<br>200系:08/02～12/12,ロイヤルサルーン/アスリート<br>全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258980,30080309002-qq-155,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,クラウン,GRS180/GRS181/GRS182/GRS183/GRS184/GRS200/GRS201/GRS202/GRS203/GRS204,180系:03/12～08/02<br>200系:08/02～12/12,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,258831,30080209003-qq-313,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,クラウン,GS171/JZS171/JZS173/JZS175/JZS179/JKS175,99/09～03/12,ロイヤルサルーン/アスリート<br>全グレード,参考DENSO品番:DCC1002,フィルター未装着車はフレーム又はトレイが必要となる場合あり<br>高さを計測して商品をご購入下さい(高さ20mm適合、高さ30mm不適合),87139-48030,カーボンタイプ,1357,,258846,30080209004-qq-15,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,クラウンアスリート,AWS210/AWS211/GRS210/GRS211/GRS214,12/12～,全グレード,参考DENSO品番:DCC1013,,87139-30100,カーボンタイプ,1411,,258868,30080209007-qq-16,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,クラウンアスリート,GRS180/GRS182/GRS184,03/12～08/02,,,,87139-30020/87139-30040,,1271,,258596,30080109004-qq-33,STRIKE,エアコンフィルター
トヨタ,クラウンエステート,JZS171/JZS173/JZS175/GS171,99/12～07/06,全グレード,参考DENSO品番:DCC1002,フィルター未装着車はフレーム又はトレイが必要となる場合あり<br>高さを計測して商品をご購入下さい(高さ20mm適合、高さ30mm不適合),87139-48030,カーボンタイプ,1357,,259160,30080209004-qq-17,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,クラウンハイブリッド,GWS204,08/05～12/12,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,258832,30080209003-qq-315,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,クラウンハイブリッド,GWS204,08/05～12/12,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258981,30080309002-qq-156,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,クラウンマジェスタ,AWS215/GWS214,13/09～,全グレード,参考DENSO品番:DCC1013,,87139-30100,カーボンタイプ,1411,,258869,30080209007-qq-18,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,クラウンマジェスタ,JZS177/UZS171/UZS173/UZS175,99/09～01/08,,,,87139-48020,,1233,,259044,30080109001-qq-8,STRIKE,エアコンフィルター
トヨタ,クラウンマジェスタ,JZS177/UZS171/UZS173/UZS175,99/09～04/07,全グレード,参考DENSO品番:DCC1002,フィルター未装着車はフレーム又はトレイが必要となる場合あり<br>高さを計測して商品をご購入下さい(高さ20mm適合、高さ30mm不適合),87139-48030,カーボンタイプ,1357,,258847,30080209004-qq-19,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,クラウンマジェスタ,UZS186/UZS187/UZS207/URS206,UZS186/UZS187:04/07～09/03<br>UZS207/URS206:09/03～13/09,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,258833,30080209003-qq-317,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,クラウンマジェスタ,UZS186/UZS187/UZS207/URS206,UZS186/UZS187:04/07～09/03<br>UZS207/URS206:09/03～13/09,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258982,30080309002-qq-157,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,クラウンロイヤル,AWS210/AWS211/GRS210/GRS211,12/12～,全グレード,参考DENSO品番:DCC1013,,87139-30100,カーボンタイプ,1411,,258870,30080209007-qq-20,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,クルーガー,ACU20/ACU25/MCU20/MCU25,00/11～07/04,全グレード,参考DENSO品番:DCC1002,,87139-48030,カーボンタイプ,1357,,258849,30080209004-qq-21,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,クルーガー,ACU20/ACU25/MCU20/MCU25,00/11～07/04,,,,87139-48020,,1233,,258585,30080109001-qq-6,STRIKE,エアコンフィルター
トヨタ,クルーガーハイブリッド,MHU28,05/03～07/04,全グレード,参考DENSO品番:DCC1002,,87139-48030,カーボンタイプ,1357,,258850,30080209004-qq-22,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,コロナ,AT190/ST190/ST191/ST195/CT190/CT195,92/02～96/01,コロナエクシブは除く<br>全グレード,参考DENSO品番:DCC1006,,88508-20060/88508-20070,カーボンタイプ,1558,,258865,30080209006-qq-23,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,コロナプレミオ,AT210/AT211/ST210/ST215/CT210/CT211/CT215/CT216,96/01～01/12,全グレード,参考DENSO品番:DCC1006,,88508-20060/88508-20070,カーボンタイプ,1558,,258866,30080209006-qq-24,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,サクシードバン/プロボックスバン,NCP50/NCP51/NCP52/NCP55/NLP51,02/07～14/08,全グレード,参考DENSO品番:DCC1004,フィルター未装着車はフレーム又はトレイが必要となる場合あり,87139-12010,カーボンタイプ,1304,,258802,30080209002-qq-356,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,サクシードバン/プロボックスバン,NCP50/NCP51/NCP52/NCP55/NLP51,02/07～14/08,全グレード,参考DENSO品番:DCC1004,フィルター未装着車はフレーム又はトレイが必要となる場合あり,87139-12010,カーボンタイプ PM2.5cut ver.,1384,,258951,30080309001-qq-160,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,サクシードワゴン/プロボックスワゴン,NCP58/NCP59,02/07～13/10,全グレード,参考DENSO品番:DCC1004,フィルター未装着車はフレーム又はトレイが必要となる場合あり,87139-12010,カーボンタイプ,1304,,258803,30080209002-qq-357,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,サクシードワゴン/プロボックスワゴン,NCP58/NCP59,02/07～13/10,全グレード,参考DENSO品番:DCC1004,フィルター未装着車はフレーム又はトレイが必要となる場合あり,87139-12010,カーボンタイプ PM2.5cut ver.,1384,,258952,30080309001-qq-161,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,シエンタ,NCP81,03/09～,,,,87139-12010,,1246,,258591,30080109003-qq-24,STRIKE,エアコンフィルター
トヨタ,シエンタ,NCP81/NCP85,03/09～,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12020,カーボンタイプ,1304,,258799,30080209002-qq-321,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,シエンタ,NCP81/NCP85,03/09～,全グレード,参考DENSO品番:DCC1004,,87139-12010/88568-12020,カーボンタイプ PM2.5cut ver.,1384,,258953,30080309001-qq-163,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,スペイド/ポルテ,NCP141/NCP145/NSP140,12/07～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258983,30080309002-qq-164,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,セプター,SXV10/SXV15/VCV10/VCV15,92/08～96/06,全グレード,参考DENSO品番:DCC1005,,88880-33060,カーボンタイプ,1558,,258860,30080209005-qq-25,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,セリカ,ZZT230/ZZT231,99/09～06/04,全グレード,参考DENSO品番:DCC1003,,87139-28010,カーボンタイプ,1304,,258784,30080209001-qq-324,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,セルシオ,UCF20/UCF21,94/10～00/08,全グレード,参考DENSO品番:DCC1002,,87139-50010,カーボンタイプ,1357,,258851,30080209004-qq-26,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,セルシオ,UCF30/UCF35,,,,,87139-50030,,1358,,258609,30080109007-qq-175,STRIKE,エアコンフィルター
トヨタ,ダイナ/トヨエース,BZU600/TRC600/TRU600/XKC605/XKC655/XKU600/XKU605/XKU650/XKU655/XKU710/XZC600/XZC605/XZC610/XZC630/XZC645/XZC655/XZC675/XZC710/XZU600/XZU605/XZU610/XZU620/XZU630/XZU640/XZU645/XZU650/XZU655/XZU675/XZU685/XZU695/XZU700/XZU710/XZU720/XZU730/XZU775,11/07～,全グレード,参考DENSO品番:DCC7003,標準フィルター装着車はカバーが必要,88568-37010/88568-37020,カーボンタイプ,1510,,258757,30080208003-qq-326,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ダイナ/トヨエース,TRC600/TRU600/XKC605/XKC655/XKU600/XKU605/XKU650/XKU655/XKU710/XZC600/XZC605/XZC610/XZC630/XZC645/XZC655/XZC675/XZC710/XZU600/XZU605/XZU610/XZU620/XZU630/XZU640/XZU645/XZU650/XZU655/XZU675/XZU685/XZU695/XZU700/XZU710/XZU720/XZU730/XZU775/BZU600,11/07～,全グレード,参考DENSO品番:DCC7003,標準フィルター装着車はカバーが必要,88568-37010/88568-37020,カーボンタイプ PM2.5cut ver.,1679,,258924,30080308001-qq-165,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,タウンエース/ライトエース,S402/S412,08/02～,全グレード,参考DENSO品番:DCC7003,,88568-B2020,カーボンタイプ PM2.5cut ver.,1679,,258925,30080308001-qq-166,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,タウンエース/ライトエース,S402/S412,08/02～,全グレード,参考DENSO品番:DCC7003,,88568-B2020,カーボンタイプ,1510,,259120,30080208003-qq-364,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,デュエット,M100/M101/M110/M111,00/05～04/06,全グレード,参考DENSO品番:DCC6001,フィルター未装着車はフレーム又はトレイが必要となる場合あり,88568-97201,カーボンタイプ,1237,,258624,30080201002-qq-27,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ナディア,SXN10/SXN15/ACN10/ACN15,98/08～03/10,全グレード,参考DENSO品番:DCC1006,,88508-20060/88508-20070,カーボンタイプ,1558,,259163,30080209006-qq-28,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ノア,ZRR70/ZRR75,07/06～14/01,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,259156,30080209003-qq-338,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ノア,ZRR70/ZRR75,07/06～14/01,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,259207,30080309002-qq-168,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,パッソ,KGC15/KGC10/QNC10,,,,,88568-B1010,,1308,,258606,30080109005-qq-171,STRIKE,エアコンフィルター
トヨタ,ハリアー,SXU10/SXU15/ACU10/ACU15/MCU10/MCU15,97/12～03/02,,,,87139-48020,,1233,,258586,30080109001-qq-7,STRIKE,エアコンフィルター
トヨタ,ピクシストラック,S500/S510,14/09～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/88568-B2060,カーボンタイプ,1510,,259119,30080208003-qq-340,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ピクシストラック,S500/S510,14/09～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/88568-B2060,カーボンタイプ PM2.5cut ver.,1679,,259193,30080308001-qq-169,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,ビスタ/ビスタアルデオ,SV50/SV55/ZZV50/AZV50/AZV55,98/07～03/07,全グレード,参考DENSO品番:DCC1003,,87139-28010,カーボンタイプ,1304,,258785,30080209001-qq-342,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ファンカーゴ,NCP20/NCP21,99/08～02/08,,,,87139-12010,,1246,,259045,30080109003-qq-21,STRIKE,エアコンフィルター
トヨタ,ファンカーゴ,NCP20/NCP21/NCP25,99/08～05/10,全グレード,参考DENSO品番:DCC1004,,88568-12030,カーボンタイプ,1304,,258800,30080209002-qq-343,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ファンカーゴ,NCP20/NCP21/NCP25,99/08～05/10,全グレード,参考DENSO品番:DCC1004,,88568-12030,カーボンタイプ PM2.5cut ver.,1384,,258954,30080309001-qq-170,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,プラッツ,NCP11/NCP12,,ATM/MTM F,,,87139-12010,,1246,,259046,30080109003-qq-26,STRIKE,エアコンフィルター
トヨタ,プラッツ,SCP11,02/08～,,,,87139-12010,,1246,,258592,30080109003-qq-25,STRIKE,エアコンフィルター
トヨタ,プラッツ,SCP11/NCP12/NCP16,99/08～05/11,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ,1304,,258801,30080209002-qq-344,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,プラッツ,SCP11/NCP12/NCP16,99/08～05/11,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ PM2.5cut ver.,1384,,258955,30080309001-qq-171,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,プリウス,NHW10/NHW11/NHW20,NHW10/NHW11:97/12～03/08<br>NHW20:03/09～11/12,全グレード,参考DENSO品番:DCC1003,,87139-28010,カーボンタイプ,1304,,258786,30080209001-qq-345,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,プリウス,ZVW30,09/05～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,258835,30080209003-qq-347,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,プリウス,ZVW30,09/05～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258984,30080309002-qq-172,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,プリウスPHV,ZVW35,12/01～,全グレード,参考DENSO品番:DCC1009,,87139-76010/87139-30040,カーボンタイプ,1344,,258836,30080209003-qq-348,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,プリウスPHV,ZVW35,12/01～,全グレード,参考DENSO品番:DCC1009,,87139-76010/87139-30040,カーボンタイプ PM2.5cut ver.,1530,,259208,30080309002-qq-173,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,プリウスα,ZVW40/ZVW41,11/05～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258985,30080309002-qq-174,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,プリウスα,ZVW40/ZVW41,11/05～,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,259157,30080209003-qq-350,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ブレイド,AZE154/AZE156/GRE156,06/12～,,,,87139-30020/87139-30040,,1271,,258605,30080109004-qq-44,STRIKE,エアコンフィルター
トヨタ,ブレイド,AZE154/AZE156/GRE156,06/12～12/04,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,258837,30080209003-qq-351,STRIKE,エアコンフィルター カーボンタイプ
トヨタ,ブレイド,AZE154/AZE156/GRE156,06/12～12/04,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,258986,30080309002-qq-175,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
トヨタ,プレミオ,NZT240/ZZT240/ZZT245/AZT240,01/12～07/06,全グレード,参考DENSO品番:DCC1004,,87139-12010,カーボンタイプ PM2.5cut ver.,1384,,258956,30080309001-qq-176,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
