自動車メーカー,車種,型式,年式,適合詳細,備考,注意事項,対応純正品番,タイプ,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,取付位置
スズキ,セルボ,HG21,06/11～09/12,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ PM2.5cut ver.,1679,,258919,30080308001-qq-112,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スズキ,セルボ,HG21S,06/11～09/12,,,,95860-58J00,,1258,,258568,30080108001-qq-79,STRIKE,エアコンフィルター
スズキ,ソリオ/ソリオバンディット,MA15,ソリオ:11/01～<br>ソリオバンディット:12/06～,全グレード,参考DENSO品番:DCC7008,,95861-71L00/99000-990C5-A03,カーボンタイプ,1384,,258774,30080208006-qq-179,STRIKE,エアコンフィルター カーボンタイプ
スズキ,ツイン,EC22S,03/01～05/09,,,,95860-81A00,,1246,,258576,30080108002-qq-187,STRIKE,エアコンフィルター
スズキ,ツイン,EC22S/EC22S改,03/01～05/10,ガソリンB/ガソリンV/ハイブリッドB,,,95860-81A10,カーボンタイプ,1290,,258731,30080208002-qq-241,STRIKE,エアコンフィルター カーボンタイプ
スズキ,ハスラー,MR31,14/01～,全グレード,参考DENSO品番:DCC7006,,95861-50ME0/99000-990C5-A02,カーボンタイプ,1290,,259127,30080208005-qq-181,STRIKE,エアコンフィルター カーボンタイプ
スズキ,パレット/パレットSW,MK21,パレット:08/01～13/03<br>パレットSW:09/09～13/03,全グレード,参考DENSO品番:DCC7006,,95861-82K00,カーボンタイプ,1290,,258770,30080208005-qq-183,STRIKE,エアコンフィルター カーボンタイプ
スズキ,ラパン,HE21S,02/01～08/11,,,,95860-81A00,,1246,,258577,30080108002-qq-188,STRIKE,エアコンフィルター
スズキ,ワゴンR,MC11S/MC12S/MC21S/MC22S,98/11～03/09,,,,95860-81A00,,1246,,259041,30080108002-qq-189,STRIKE,エアコンフィルター
スズキ,ワゴンR,MH21S/MH22S,03/09～08/09,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ,1510,,258755,30080208003-qq-243,STRIKE,エアコンフィルター カーボンタイプ
スズキ,ワゴンR,MH21S/MH22S,03/09～08/09,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ PM2.5cut ver.,1679,,258920,30080308001-qq-113,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スズキ,ワゴンR,MH21S/MH22S,03/09～08/09,,,,95860-58J00,,1258,,259037,30080108001-qq-80,STRIKE,エアコンフィルター
スズキ,ワゴンR/ワゴンR RR,MC11S/MC12S/MC21S/MC22S,98/10～03/09,全グレード(ワゴンRグレードRC除く),,,95860-81A10,カーボンタイプ,1290,,258732,30080208002-qq-244,STRIKE,エアコンフィルター カーボンタイプ
スズキ,ワゴンR/ワゴンRスティングレー,MH23,08/09～12/09,全グレード,参考DENSO品番:DCC7006,,95861-82K00/99000-990C5-A02,カーボンタイプ,1290,,258771,30080208005-qq-185,STRIKE,エアコンフィルター カーボンタイプ
スズキ,ワゴンR+,MA63S,99/05～00/11,,,,95860-78F00/95860-78F10,,1308,,258581,30080108003-qq-135,STRIKE,エアコンフィルター
スズキ,ワゴンRスティングレー,MH22S,07/02～08/09,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ PM2.5cut ver.,1679,,258921,30080308001-qq-114,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スズキ,ワゴンRスティングレー,MH22S,07/02～08/09,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ,1510,,259116,30080208003-qq-245,STRIKE,エアコンフィルター カーボンタイプ
スズキ,ワゴンRソリオ,MA34S/MA64S,00/12～05/08,,,,95860-78F00/95860-78F10,,1308,,258580,30080108003-qq-134,STRIKE,エアコンフィルター
スバル,BRZ,ZC6,12/03～,全グレード,参考DENSO品番:DCC7003,,X7288AJ010,カーボンタイプ,1510,,258744,30080208003-qq-159,STRIKE,エアコンフィルター カーボンタイプ
スバル,BRZ,ZC6,12/03～,全グレード,参考DENSO品番:DCC7003,,X7288AJ010,カーボンタイプ PM2.5cut ver.,1679,,258936,30080308001-qq-88,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スバル,WRX S4,VAG,14/08～,全グレード,参考DENSO品番:DCC5005,,X7288FG000/X7288FG010,カーボンタイプ,1318,,258626,30080202001-qq-150,STRIKE,エアコンフィルター カーボンタイプ
スバル,WRX STI,GRB/GRF/GVB/GVF,10/07～14/08,エアコン装着車,参考DENSO品番:DCC5005,,X7288FG000/X7288FG010,カーボンタイプ,1318,,259054,30080202001-qq-152,STRIKE,エアコンフィルター カーボンタイプ
スバル,WRX STI,VAB,14/08～,全グレード,参考DENSO品番:DCC5005,,X7288FG000/X7288FG010,カーボンタイプ,1318,,258627,30080202001-qq-151,STRIKE,エアコンフィルター カーボンタイプ
スバル,XV,GP7,12/10～,全グレード,参考DENSO品番:DCC5005,,X7288FG010,カーボンタイプ,1318,,258625,30080202001-qq-148,STRIKE,エアコンフィルター カーボンタイプ
スバル,XVハイブリッド,GPE,13/06～,全グレード,参考DENSO品番:DCC5005,,X7288FG010,カーボンタイプ,1318,,259053,30080202001-qq-149,STRIKE,エアコンフィルター カーボンタイプ
スバル,インプレッサ,GH2/GH3/GH6/GH7/GH8/GE2/GE3/GE6/GE7,07/06～11/12,全グレード,参考DENSO品番:DCC5005,,X7288FG000,カーボンタイプ,1318,,258628,30080202001-qq-153,STRIKE,エアコンフィルター カーボンタイプ
スバル,インプレッサ/インプレッサWRX STI,GRB/GRF/GVB/GVF,07/10～10/07,エアコン装着車,参考DENSO品番:DCC5005,,X7288FG000,カーボンタイプ,1318,,258629,30080202001-qq-154,STRIKE,エアコンフィルター カーボンタイプ
スバル,インプレッサG4,GJ2/GJ3/GJ6/GJ7,11/12～,全グレード,参考DENSO品番:DCC5005,,X7288FG000/X7288FG010,カーボンタイプ,1318,,258630,30080202001-qq-155,STRIKE,エアコンフィルター カーボンタイプ
スバル,インプレッサスポーツ/インプレッサアネシス,GE2/GE3/GE6/GE7,スポーツ:11/12～<br>アネシス:08/10～11/12,全グレード,参考DENSO品番:DCC5005,,X7288FG000/X7288FG010,カーボンタイプ,1318,,258631,30080202001-qq-157,STRIKE,エアコンフィルター カーボンタイプ
スバル,エクシーガ,YA4/YA5/YA9/YAM,08/06～,全グレード,参考DENSO品番:DCC5005,,X7288FG000/X7288FG010,カーボンタイプ,1318,,259055,30080202001-qq-158,STRIKE,エアコンフィルター カーボンタイプ
スバル,サンバートラック,S500/S510,14/09～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3067T3000,カーボンタイプ,1510,,258748,30080208003-qq-183,STRIKE,エアコンフィルター カーボンタイプ
スバル,サンバートラック,S500/S510,14/09～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3067T3000,カーボンタイプ PM2.5cut ver.,1679,,259198,30080308001-qq-96,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スバル,ステラ,LA100F/LA110F,11/05～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3045K1000/SAA3330008,カーボンタイプ,1510,,259109,30080208003-qq-186,STRIKE,エアコンフィルター カーボンタイプ
スバル,ステラ/ステラカスタム,LA100F/LA110F,11/05～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3045K1000/SAA3330008,カーボンタイプ PM2.5cut ver.,1679,,259199,30080308001-qq-97,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スバル,ステラカスタム,LA100F/LA110F,11/05～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3045K1000/SAA3330008,カーボンタイプ,1510,,259110,30080208003-qq-187,STRIKE,エアコンフィルター カーボンタイプ
スバル,デックス,M401F/M411F,08/11～11/10,全グレード,参考DENSO品番:DCC1009,,87139-B1020,カーボンタイプ,1344,,258811,30080209003-qq-160,STRIKE,エアコンフィルター カーボンタイプ
スバル,デックス,M401F/M411F,08/11～11/10,全グレード,参考DENSO品番:DCC1009,,87139-B1020,カーボンタイプ PM2.5cut ver.,1530,,259002,30080309002-qq-89,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スバル,トレジア,NSP120X/NCP120X/NCP125X,10/11～,全グレード,参考DENSO品番:DCC1009,,87139-50100/87139-30040/87139-52020/SAA3330006,カーボンタイプ PM2.5cut ver.,1530,,259003,30080309002-qq-98,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スバル,トレジア,NSP120X/NCP120X/NCP125X,10/11～,全グレード,参考DENSO品番:DCC1009,,87139-30040/87139-50100/87139-52020/SAA3330006,カーボンタイプ,1344,,259145,30080209003-qq-190,STRIKE,エアコンフィルター カーボンタイプ
スバル,フォレスター,SH5/SH9/SHJ/SJ5/SJG,SH5/SH9/SHJ:07/12～12/11<br>SJ5/SJG:12/11～,全グレード,参考DENSO品番:DCC5005,,X7288FG000/X7288FG010,カーボンタイプ,1318,,259056,30080202001-qq-160,STRIKE,エアコンフィルター カーボンタイプ
スバル,プレオ,L275B/L275F/L285B/L285F,10/04～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3045K1000,カーボンタイプ PM2.5cut ver.,1679,,258939,30080308001-qq-99,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スバル,プレオ,L275B/L275F/L285B/L285F,10/04～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3045K1000,カーボンタイプ,1510,,259111,30080208003-qq-195,STRIKE,エアコンフィルター カーボンタイプ
スバル,プレオカスタム,L275F/L285F,10/04～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3045K1000,カーボンタイプ,1510,,258749,30080208003-qq-196,STRIKE,エアコンフィルター カーボンタイプ
スバル,プレオカスタム,L275F/L285F,10/04～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3045K1000,カーボンタイプ PM2.5cut ver.,1679,,259189,30080308001-qq-100,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スバル,ルクラ,L455F/L465F,10/04～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3045K1000/SAA3330008,カーボンタイプ,1510,,258750,30080208003-qq-200,STRIKE,エアコンフィルター カーボンタイプ
スバル,ルクラ/ルクラカスタム,L455F/L465F,10/04～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3045K1000/SAA3330008,カーボンタイプ PM2.5cut ver.,1679,,258915,30080308001-qq-101,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スバル,ルクラカスタム,L455F/L465F,10/04～,全グレード,参考DENSO品番:DCC7003,,88568-B2030/G3045K1000/SAA3330008,カーボンタイプ,1510,,259112,30080208003-qq-201,STRIKE,エアコンフィルター カーボンタイプ
