自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
スズキ,ジムニーシエラ,JB43,2000/04～18/06,,65600,,290645,KONI-HT-qq-e-i-71k,KONI-HT-qq-e-d-i-71k,フロント:8040-1300×2<br>リア:8040-1301×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,72400,80600,,
スズキ,ジムニーシエラ,JB74,2018/07～,,65600,,290646,KONI-HT-qq-e-i-72k,KONI-HT-qq-e-d-i-72k,フロント:8040-1300J64×2<br>リア:8040-1301J64×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,72400,80600,,
トヨタ,FJクルーザー,GSJ15W系,10/12～,スタンダード,91200,,290640,KONI-HT-qq-e-i-47k,KONI-HT-qq-e-d-i-47k,フロント:82-2522×2<br>リア:82-2523×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,114000,94800,106200,,KDSS/X-リアス装着車は作業対応不可
トヨタ,ハイエースバン/レジアスエースバン,H100系,89/08～04/07,標準フロア車に適合<br>ワゴンを除く<br>0～1.5インチダウンまでに対応,62400,,291374,KONI-HT-qq-e-i-15k,出さない,フロント:30-1417×2<br>リア:30-1418×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,78000,出さない,出さない,,
トヨタ,ハイエースバン/レジアスエースバン,H100系,89/08～04/07,標準フロア車に適合<br>ワゴンを除く<br>フロントのみ(ショートストローク) 2～3インチダウンに対応,65600,,291146,KONI-HT-qq-e-i-16k,出さない,フロント:30-1724×2<br>リア:30-1418×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,出さない,出さない
トヨタ,ハイエースバン/レジアスエースバン,H200系,04/08～,標準フロア車に適合<br>2WD/4WD共用 0～1.5インチダウンまでに対応,62400,,291375,KONI-HT-qq-e-i-17k,出さない,フロント:30-1417×2<br>リア:30-1418×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,78000,出さない,出さない
トヨタ,ハイエースバン/レジアスエースバン,H200系,04/08～,標準フロア車に適合<br>2WD/4WD共用<br>フロントのみ(ショートストローク) 2～3インチダウンに対応,65600,,290918,KONI-HT-qq-e-i-18k,出さない,フロント:30-1724×2<br>リア:30-1418×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,出さない,出さない
トヨタ,ハイラックスピックアップ,,15～,Wキャブ,88000,,290637,KONI-HT-qq-e-i-19k,KONI-HT-qq-e-d-i-19k,フロント:82-2632×2<br>リア:82-2633×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,92000,103000
トヨタ,ランドクルーザー,200系,07/10～,アクティブハイトコントロール &KDSS付車を除く,124800,,291161,KONI-HT-qq-e-i-45k,出さない,フロント:88-1747×2<br>リア:88-1748×2,KONI,HEAVY TRACK,1台分,STD/STD,,前後0～30mmUP車まで対応,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,156000,出さない,出さない
トヨタ,ランドクルーザー,76/78/79,99～,コイルスプリング車,82400,,290924,KONI-HT-qq-e-i-31k,出さない,フロント:8240-1186SPX×2<br>リア:82-2312×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,103000,出さない,出さない
トヨタ,ランドクルーザー,BJ40/BJ42/BJ43/BJ45/BJ46/FJ40/FJ43/FJ45/HJ41/HJ45/HJ47,74～86,40B型エンジン搭載車,60800,,290920,KONI-HT-qq-e-i-23k,出さない,フロント:80-1904×2<br>リア:82-2138×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,76000,出さない,出さない
トヨタ,ランドクルーザー,FJ/HJ,81～85/10,ランドクルーザー60ステーションワゴン/カスタムG<br>シャーシNo.:33417まで,67200,,291376,KONI-HT-qq-e-i-24k,出さない,フロント:82-2205×2<br>リア:82-2138×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,84000,出さない,出さない
トヨタ,ランドクルーザー,FJ40/FJ42/FJ43/FJ45/HJ45,60～79,,51200,,290919,KONI-HT-qq-e-i-22k,出さない,フロント:80-1904×2<br>リア:80-1905×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,64000,出さない,出さない
トヨタ,ランドクルーザー,FJ80/HZJ80/HDJ80,89/10～97/12,コイルスプリング車,68000,,291152,KONI-HT-qq-e-i-34k,出さない,フロント:30-1426×2<br>リア:30-1427×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,85000,出さない,出さない
トヨタ,ランドクルーザー,FJ80/HZJ80/HDJ80,89/10～97/12,コイルスプリング車 ロングストロークダンパー,72800,,291154,KONI-HT-qq-e-i-35k,出さない,フロント:82-2385×2<br>リア:82-2386×2,KONI,HEAVY TRACK,1台分,STD/STD,,前後0～50mmUP車まで対応<br>複筒式オイルタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,91000,出さない,出さない
トヨタ,ランドクルーザー,HDJ100/UZJ100,98/01～07/08,アクティブハイトコントロール &TEMS付車を除く,83200,,290934,KONI-HT-qq-e-i-37k,出さない,フロント:8240-1183SPX×2<br>リア:8240-1184SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない
トヨタ,ランドクルーザー,HZJ,90～94,ランドクルーザー75,72000,,291147,KONI-HT-qq-e-i-28k,出さない,フロント:82-2205×2<br>リア:82-2312×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,90000,出さない,出さない
トヨタ,ランドクルーザー,HZJ,90～94,ランドクルーザー75,68000,,291377,KONI-HT-qq-e-i-29k,出さない,フロント:30-1378×2<br>リア:30-1425×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,85000,出さない,出さない
トヨタ,ランドクルーザー,HZJ,90～94,,65600,,290923,KONI-HT-qq-e-i-30k,出さない,フロント:82-2296×2<br>リア:82-2348SP1×2,KONI,HEAVY TRACK,1台分,STD/STD,,ロングストロークダンパー前後0～50mmUP車まで対応,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,出さない,出さない
トヨタ,ランドクルーザー,HZJ71/HZJ74/HZJ78/HZJ79,99～04,コイルスプリング車,82400,,290922,KONI-HT-qq-e-i-26k,出さない,フロント:8240-1186SPX×2<br>リア:82-2312×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,103000,出さない,出さない
トヨタ,ランドクルーザー,J90/J95,96/05～02/09,コイルスプリング車,77600,,291155,KONI-HT-qq-e-i-39k,出さない,フロント:82-2446×2<br>リア:82-2447×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,97000,出さない,出さない,,
トヨタ,ランドクルーザー,,99～,,68800,,290925,KONI-HT-qq-e-i-32k,出さない,フロント:82-2347×2<br>リア:82-2348SP1×2,KONI,HEAVY TRACK,1台分,STD/STD,,ロングストロークダンパー前50mmUP/後0～50mmUP車まで対応,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない,,
トヨタ,ランドクルーザープラド,150系,09/09～,,91200,,290639,KONI-HT-qq-e-i-43k,KONI-HT-qq-e-d-i-43k,フロント:82-2522×2<br>リア:82-2523×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,114000,104800,116200,,KDSS装着車は作業対応不可
トヨタ,ランドクルーザープラド,J120/J125,02/10～09/09,TEMS&リア電子制御エアサスペンション車を除く,91200,,290638,KONI-HT-qq-e-i-41k,KONI-HT-qq-e-d-i-41k,フロント:82-2522×2<br>リア:82-2523×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,114000,104800,116200,,KDSS装着車は作業対応不可
トヨタ,ランドクルーザープラド,LJ70/LJ73/RJ70/RJ73,90～95,コイルスプリング車<br>シャーシNo.:09048995から,67200,,290921,KONI-HT-qq-e-i-25k,出さない,フロント:82-2374×2<br>リア:82-2375×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,84000,出さない,出さない,,
日産,NV350キャラバン,E26,12/06～,標準フロア車に適合<br>2WD/4WD共用<br>1～2インチのローダウン専用,62400,,290644,KONI-HT-qq-e-i-69k,KONI-HT-qq-e-d-i-69k,フロント:30-1417-C×2<br>リア:30-1418-C×2,KONI,HEAVY TRACK,1台分,STD/STD,1～2インチ/1～2インチ,単筒式高圧ガスタイプ<br>ローダウンをするには別途、市販のロワリングブロックの取り付け及びフロントトーションバーの調整または交換が必要となります。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,78000,94400,102200,,
日産,サファリ,Y60,87～97/09,コイルスプリング車用 2インチアップ用,68800,,290641,KONI-HT-qq-e-i-53k,KONI-HT-qq-e-d-i-53k,フロント:82-2347×2<br>リア:82-2348×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,75200,83800,,
日産,サファリ,Y60,87～97/09,標準スプリング用,68800,,290642,KONI-HT-qq-e-i-54k,KONI-HT-qq-e-d-i-54k,フロント:82-2347SP1×2<br>リア:82-2348SP1×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,75200,83800,,
日産,サファリ,Y61,97/10～13,コイルスプリング車用 2インチアップ用,68800,,291162,KONI-HT-qq-e-i-55k,出さない,フロント:82-2347×2<br>リア:82-2348×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない,,
日産,サファリ,Y61,97/10～13,標準スプリング用,68800,,291163,KONI-HT-qq-e-i-56k,出さない,フロント:82-2347SP1×2<br>リア:82-2348SP1×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない,,
日産,デュアリス,J10,07～13,2WD&4WD キャシュカイ,100800,,290643,KONI-HT-qq-e-i-62k,KONI-HT-qq-e-d-i-62k,フロント:87-2658L/87-2658R<br>リア:80-2907×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,126000,103200,115800,,
日産,テラノ,D21,87～93,4WD,62400,,291164,KONI-HT-qq-e-i-59k,出さない,フロント:30-1365×2<br>リア:30-1372×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,78000,出さない,出さない,,
日産,テラノ,R20,93/02～04,2ドア 4WD,62400,,291165,KONI-HT-qq-e-i-61k,出さない,フロント:30-1365×2<br>リア:30-1372×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,78000,出さない,出さない,,
日産,テラノ,R20,93/02～04,4ドア 4WD,63200,,290936,KONI-HT-qq-e-i-60k,出さない,フロント:30-1588×2<br>リア:30-1372×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,79000,出さない,出さない,,
三菱,パジェロ,V2#/V4#,1991/01～1999/08,電子制御ダンパー付車を除く,65600,,291166,KONI-HT-qq-e-i-80k,出さない,フロント:30-1456×2<br>リア:30-1457×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,出さない,出さない,,
三菱,パジェロ,V6#/V7#,1999/10～2008,パジェロスポーツを除く,77600,,291386,KONI-HT-qq-e-i-81k,出さない,フロント:82-2505×2<br>リア:82-2506×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,97000,出さない,出さない,,
三菱,パジェロ,V8#/V9#,2007～2016,,77600,,291387,KONI-HT-qq-e-i-83k,出さない,フロント:82-2505×2<br>リア:82-2506×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,97000,出さない,出さない
レクサス,LX450,,96～98,コイルスプリング車,68000,,291385,KONI-HT-qq-e-i-51k,出さない,フロント:30-1426×2<br>リア:30-1427×2,KONI,HEAVY TRACK,1台分,STD/STD,,単筒式高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,85000,出さない,出さない
