自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
AUDI,90 セダン,89/B3,1985～1991,アゥディスポーツサスペンション用,75200,,291186,KONI-SP-qq-e-i-1048k,出さない,フロント:86-2066×2<br>リア:80-2625×2,KONI,SPORT,1台分,STD/STD,,フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,94000,出さない,出さない,,
AUDI,90 セダン,89/B3,1989～1991,2.3E-20V,75200,,291401,KONI-SP-qq-e-i-1049k,出さない,フロント:86-2066×2<br>リア:80-2625×2,KONI,SPORT,1台分,STD/STD,,フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,94000,出さない,出さない,,
AUDI,90 セダン クワトロ,89Q/B3,1983～1989,2.3E-20V除く,88000,,291402,KONI-SP-qq-e-i-1050k,出さない,フロント:86-2066×2<br>リア:86-2086×2,KONI,SPORT,1台分,STD/STD,,フロント&リア取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,出さない,出さない,,
AUDI,90 セダン クワトロ,89Q/B3,1989～1991,2.3E-20V,88000,,291403,KONI-SP-qq-e-i-1051k,出さない,フロント:86-2066×2<br>リア:86-2433×2,KONI,SPORT,1台分,STD/STD,,フロント&リア取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,出さない,出さない,,
AUDI,A1,,2010/08～,DCC車除く,83200,,291469,KONI-SP-qq-e-i-870k,出さない,フロント:8741-1548×2<br>リア:80-2830×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない,,
AUDI,A3,8L,1996/09～2003/09,1.6/1.8/1.8T/1.9TDi<br>アウディスポーツサスペンション車を含む<br>クワトロ/HDサスペンション車を除く,88800,,291470,KONI-SP-qq-e-i-875k,出さない,フロント:8710-1337×2<br>リア:80-2761×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,111000,出さない,出さない,,
AUDI,A3,8L,1996/09～2003/09,1.6/1.8/1.8T/1.9TDi<br>アウディスポーツサスペンション車を含む<br>クワトロ/HDサスペンション車を除く,96000,,291472,KONI-SP-qq-e-i-895k,出さない,フロント:8741-1571×2<br>リア:8240-1296×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,120000,出さない,出さない,,
AUDI,A3,8P,2003/05～2012,3.2クワトロ(Sライン車含む)<br>フロント:φ55mmの純正ストラット車,88800,,290775,KONI-SP-qq-e-i-891k,KONI-SP-qq-e-d-i-891k,フロント:8710-1431×2<br>リア:80-2859×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,111000,117700,128800,,
AUDI,A3,8P,2003/05～2012,スポーツバック含む<br>クワトロを除く<br>フロント:φ55mmの純正ストラット車,88800,,290772,KONI-SP-qq-e-i-884k,KONI-SP-qq-e-d-i-884k,フロント:8710-1431×2<br>リア:80-2859×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,111000,117700,128800,,
AUDI,A3,8V,2012～,E-トロン/カブリオレ/S3/RS3/Sラインを除く<br>純正ストラット径がφ50mmの車両<br>リヤサスペンション:マルチリンク車,96000,,291014,KONI-SP-qq-e-i-896k,出さない,フロント:8741-1571×2<br>リア:8240-1297×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,120000,出さない,出さない,,
