自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
VOLKSWAGEN,ゴルフ7 バリアント,,13/05～,4-Motion/DCC/GTD/R/オールトラックを除く<br>純正ストラット径がφ55mmの車両に適合<br>リヤサスペンションがトーションビーム車に適合,78400,,290610,KONI-AC-qq-e-i-691k,KONI-AC-qq-e-d-i-691k,フロント:8745-1325×2<br>リア:8245-1326×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ゴルフ7 バリアント,,13/05～,GTD含む<br>4-Motion/DCC/R/オールトラックを除く<br>純正ストラット径がφ55mmの車両に適合<br>リヤサスペンションがマルチリンク車に適合,78400,,290611,KONI-AC-qq-e-i-695k,KONI-AC-qq-e-d-i-695k,フロント:8745-1325×2<br>リア:8245-1327×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,103600,113400
VOLKSWAGEN,ザ ビートル,,11/10～18,The Beetle 1.2TSI/1.4TSI/2.5/1.6TDI/2.0TDI<br>純正ストラット径がφ55mmの車両に適合/リヤサスがオプション(ON4)のマルチリンクサス装着車,73600,,291101,KONI-AC-qq-e-i-547k,出さない,フロント:8745-1225×2<br>リア:8045-1226×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ザ ビートル,,11/10～18,The Beetle 2.0 TSI,73600,,290874,KONI-AC-qq-e-i-550k,出さない,フロント:8745-1225×2<br>リア:8045-1226×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ジェッタ5,,05～10,純正ストラット径がφ55mmの車両に適合,73600,,291344,KONI-AC-qq-e-i-713k,出さない,フロント:8745-1038×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ジェッタ6,,10～17,フロント純正ストラット径がφ55mm/リヤサスペンションがマルチリンクの車両に適合,73600,,290880,KONI-AC-qq-e-i-717k,出さない,フロント:8745-1038×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ジェッタ6,,13～,ハイブリッド<br>フロント純正ストラット径がφ55mm/リヤサスペンションがマルチリンクの車両に適合,73600,,291106,KONI-AC-qq-e-i-722k,出さない,フロント:8745-1038×2<br>リア:8045-1226×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,シャラン,7N,10～19,1.4/2.0TSi 2.0TDi(4モーション含む)<br>DCC除く,73600,,291347,KONI-AC-qq-e-i-773k,出さない,フロント:8745-1081×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,シロッコ,,08/03～17/11,Scirocco 31.4TSi/2.0TSi/2.0TDi,73600,,290883,KONI-AC-qq-e-i-769k,出さない,フロント:8745-1225×2<br>リア:8045-1226×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ティーロック,A11,17/07～,T-Roc 1.0TSi/1.5TSi/2.0TSi/2.0TDi(2WD)<br>フロント純正ストラット径がφ55m/リアサスペンションがトーションビームの車両に適合,75200,,290887,KONI-AC-qq-e-i-789k,出さない,フロント:8745-1388×2<br>リア:8245-1402×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,94000,出さない,出さない
VOLKSWAGEN,ティグアン,,07～16,1.4/2.0TSi 2.0TDi(4-Motion含む)<br>DDC(ダイナミックドライブコントロール)付除く,75200,,290884,KONI-AC-qq-e-i-776k,出さない,フロント:8745-1263×2<br>リア:8045-1228×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,94000,出さない,出さない
VOLKSWAGEN,ティグアン,,16～,4-Motion含む<br>DCC(ダイナミックシャーシコントロール)付除く,78400,,291348,KONI-AC-qq-e-i-780k,出さない,フロント:8745-1388×2<br>リア:8245-1387×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない
VOLKSWAGEN,トゥーラン,1TB,03～10/08,クロストゥーランを除く<br>フロント:純正ストラット径がφ55mmの車両に適合<br>セルフレベリングシステム付車を除く,73600,,290885,KONI-AC-qq-e-i-782k,出さない,フロント:8745-1038×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,トゥーラン,1TC,10/09～14,クロストゥーランを除く<br>フロント:純正ストラット径がφ55mmの車両に適合<br>セルフレベリングシステム付車を除く,73600,,290886,KONI-AC-qq-e-i-786k,出さない,フロント:8745-1038×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,パサート,3C,07/04～14,R36<br>フロント:純正ストラット径がφ55mmの車両に適合<br>セルフレベリングシステム車を除く(バリアント),73600,,291345,KONI-AC-qq-e-i-744k,出さない,フロント:8745-1081×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,パサート セダン&バリアント,B8,15～19,4-Motion含む<br>GTEプラグインハイブリド含む<br>DCC車除く<br>セルフレベリングシステム車を除く(バリアント),78400,,291346,KONI-AC-qq-e-i-756k,出さない,フロント:8745-1388×2<br>リア:8245-1387×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない
VOLKSWAGEN,パサート セダン/バリアント,3C,05/03～14,4-Motion<br>フロント:純正ストラット径がφ55mmの車両に適合<br>セルフレベリングシステム車を除く(バリアント),73600,,290882,KONI-AC-qq-e-i-740k,出さない,フロント:8745-1081×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,パサート セダン/バリアント,3C,05/03～14,フロント:純正ストラット径がφ55mmの車両に適合<br>セルフレベリングシステム車を除く(バリアント)<br>4-Motion除く,73600,,290881,KONI-AC-qq-e-i-734k,出さない,フロント:8745-1081×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,パサートCC,3C,08/01～17,4-Motion<br>フロント:純正ストラット径がφ55mmの車両に適合<br>セルフレベリング装着車を除く,73600,,291108,KONI-AC-qq-e-i-752k,出さない,フロント:8745-1081×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,パサートCC,3C,08/01～17,フロント:純正ストラット径がφ55mmの車両に適合<br>セルフレベリング装着車を除く,73600,,291107,KONI-AC-qq-e-i-748k,出さない,フロント:8745-1081×2<br>リア:8045-1085×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,フォックス,,05～11,,68800,,291102,KONI-AC-qq-e-i-577k,出さない,フロント:8745-1069×2<br>リア:8045-1070×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
VOLKSWAGEN,ボーラ,,00～02,4-Motion 1.8/2.0/2.3-V5/2.8-V6/1.9TDi<br>スタビライザーブラケットがスプリングシート付車両,78400,,291340,KONI-AC-qq-e-i-560k,出さない,フロント:8745-1030×2<br>リア:8245-1032×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない
VOLKSWAGEN,ボーラ,,98/11～05,全車種<br>4-Motionを除く<br>バリアントを除く,73600,,291339,KONI-AC-qq-e-i-553k,出さない,フロント:8745-1029×2<br>リア:8045-1083×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない
VOLKSWAGEN,ボーラ,,99～00,4-Motion 1.8/2.0/2.3-V5/2.8-V6/1.9TDi,78400,,290875,KONI-AC-qq-e-i-557k,出さない,フロント:8745-1030×2<br>リア:8245-1032×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない
VOLKSWAGEN,ボーラ バリアント,,00～04,4-Motion 1.9TDi/2.3-V5,78400,,290876,KONI-AC-qq-e-i-566k,出さない,フロント:8745-1030×2<br>リア:8245-1032×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない
VOLKSWAGEN,ポロ4,9N(3),01/11～09/06,Funタイプ及びクロスポロ/GTI(CUP)を除く,68800,,290616,KONI-AC-qq-e-i-758k,KONI-AC-qq-e-d-i-758k,フロント:8745-1069×2<br>リア:8045-1070×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,95200,103800
VOLKSWAGEN,ポロ5,6R,09～17/09,GTI含む<br>DCC除く,68800,,290617,KONI-AC-qq-e-i-764k,KONI-AC-qq-e-d-i-764k,フロント:8745-1278×2<br>リア:8045-1070×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,95200,103800
VOLVO,850 セダン,,,T-5/T5-Rを含む<br>セルフレベリング車を除く,76800,,290893,KONI-AC-qq-e-i-827k,出さない,フロント:8745-1016×2<br>リア:8245-1017×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない
VOLVO,850 ワゴン,,,T-5/T5-Rを除く<br>セルフレベリング車を除く,76800,,291352,KONI-AC-qq-e-i-828k,出さない,フロント:8745-1016×2<br>リア:8245-1017×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない
VOLVO,C30,MB,07～14,セルフレベリング車除く,72000,,290888,KONI-AC-qq-e-i-793k,出さない,フロント:8745-1110L/8745-1110R<br>リア:8045-1068×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,90000,出さない,出さない
VOLVO,C70,,,セルフレベリング装着車を除く,76800,,290890,KONI-AC-qq-e-i-818k,出さない,フロント:8745-1016×2<br>リア:8245-1017×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない
VOLVO,S40,MB,04～12,スポーツサスペンションを含む<br>4WD/セルフレベリング車を除く,72000,,291349,KONI-AC-qq-e-i-797k,出さない,フロント:8745-1110L/8745-1110R<br>リア:8045-1096×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,90000,出さない,出さない
VOLVO,S60 II/V60 II,RB,10～18,Rデザイン及びAWD含む<br>FourCを除く<br>セルフレベリングシステム車除く,81600,,290889,KONI-AC-qq-e-i-806k,出さない,フロント:8745-1241L/8745-1241R<br>リア:8245-1256×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,出さない,出さない
VOLVO,S70,8B,97～99,4WD/T5-R及びセルフレベリング車を除く,76800,,291110,KONI-AC-qq-e-i-811k,出さない,フロント:8745-1016×2<br>リア:8245-1017×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない
VOLVO,S80 II,TB,06/03～16,Rデザイン及びAWD含む<br>FourC/セルフレベリング車を除く,81600,,290892,KONI-AC-qq-e-i-826k,出さない,フロント:8745-1241L/8745-1241R<br>リア:8245-1256×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,出さない,出さない
VOLVO,V50,MB,04～12,スポーツサスペンションを含む<br>4WD/セルフレベリング車を除く,72000,,291350,KONI-AC-qq-e-i-801k,出さない,フロント:8745-1110L/8745-1110R<br>リア:8045-1096×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,90000,出さない,出さない
VOLVO,V70 I,8B,97～99,4WD/クロスカントリーXC 4WD/T5-R<br>セルフレベリング装着車を除く,76800,,290618,KONI-AC-qq-e-i-812k,KONI-AC-qq-e-d-i-812k,フロント:8745-1016×2<br>リア:8245-1017×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,107200,116800
VOLVO,V70 III,,07/03～16,Rデザイン及びAWD含むFour-C除く<br>セルフレベリング車を除く,81600,,290619,KONI-AC-qq-e-i-816k,KONI-AC-qq-e-d-i-816k,フロント:8745-1241L/8745-1241R<br>リア:8245-1256×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,111400,121600
VOLVO,XC60,,08/05～17,AWD含む<br>Four-C/セルフレベリング車を除く,99200,,290891,KONI-AC-qq-e-i-819k,出さない,フロント:8745-1313L/8745-1313R<br>リア:8245-1308×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,124000,出さない,出さない
VOLVO,XC70 II,,07/08～16,2WD/4WD<br>FOUR-C除く<br>セルフレベリング車を除く,91200,,291111,KONI-AC-qq-e-i-820k,出さない,フロント:8745-1241L/8745-1241R<br>リア:8245-1377×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,114000,出さない,出さない
VOLVO,XC90 II,,,2WD/4WD<br>FOUR-Cスポーツサスペンション車を除く<br>セルフレベリング車を除く,110400,,291351,KONI-AC-qq-e-i-821k,出さない,フロント:8745-1383×2<br>リア:8245-1383×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,138000,出さない,出さない
トヨタ,RAV4,XA30,06～12/12,フロントオリジナルストラットのみ(カートリッジ式),76800,,291109,KONI-AC-qq-e-i-7k,出さない,フロント:8645-1176×2<br>リア:8245-1177×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない
トヨタ,プリウス,30系,09/06～15,ハイブリッド(プラグインハイブリッド含む)プリウスアルファ除く,86400,,290570,KONI-AC-qq-e-i-21k,KONI-AC-qq-e-d-i-21k,フロント:8745-1321L/8745-1321R<br>リア:8245-1322×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,108000,90600,101400
日産,エクストレイル,,,X-TRAIL II,81600,,290615,KONI-AC-qq-e-i-70k,KONI-AC-qq-e-d-i-70k,フロント:8745-1334L/8745-1334R<br>リア:8045-1335×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,86400,96600
日産,デュアリス,J10,07～13,2WD&4WD キャシュカイ,81600,,290601,KONI-AC-qq-e-i-63k,KONI-AC-qq-e-d-i-63k,フロント:8745-1334L/8745-1334R<br>リア:8045-1335×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,86400,96600
ホンダ,CR-V,RM,2012/01～2016,2WD&AWD,96000,,290551,KONI-AC-qq-e-i-112k,KONI-AC-qq-e-d-i-112k,フロント:8745-1376L/8745-1376R<br>リア:8045-1377×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,120000,99000,111000
マツダ,CX-5,KE,2012～2017/06,2WD&4WD<br>リアショック下側取り付け部の穴径20mm及び14mm共に対応,84800,,290550,KONI-AC-qq-e-i-108k,KONI-AC-qq-e-d-i-108k,フロント:8745-1346L/8745-1346R<br>リア:8045-1347×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,106000,89200,99800
マツダ,アクセラ,BK,2006～2008/12,3MPS/マツダスピード3,72000,,290628,KONI-AC-qq-e-i-89k,KONI-AC-qq-e-d-i-89k,フロント:8745-1110L/8745-1110R<br>リア:8445-1097×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,90000,78000,87000
マツダ,アクセラ,BL,2009/01～2013,3MPS/マツダスピード3,72000,,290630,KONI-AC-qq-e-i-92k,KONI-AC-qq-e-d-i-92k,フロント:8745-1110L/8745-1110R<br>リア:8045-1096×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,90000,78000,87000
マツダ,アクセラセダン/アクセラハッチバック,BK,2003/10～2008,マツダスピードアクセラ及び4WD車を除く<br>マツダスポーツサスペンション車含む,72000,,290623,KONI-AC-qq-e-i-87k,KONI-AC-qq-e-d-i-87k,フロント:8745-1110L/8745-1110R<br>リア:8045-1097×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,90000,78000,87000
マツダ,アクセラセダン/アクセラハッチバック,BM,2013～2018,ディーゼル含む,72000,,290634,KONI-AC-qq-e-i-94k,KONI-AC-qq-e-d-i-94k,フロント:8745-1336L/8745-1336R<br>リア:8045-1337×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,90000,78000,87000
マツダ,プレマシー,CREW/CR3W,2005/02～2010,4WD車を除く,72000,,290635,KONI-AC-qq-e-i-96k,KONI-AC-qq-e-d-i-96k,フロント:8745-1110L/8745-1110R<br>リア:8045-1097×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,90000,78000,87000
マツダ,プレマシー,CWEFW,2010～2017,4WD車を除く,72000,,290636,KONI-AC-qq-e-i-98k,KONI-AC-qq-e-d-i-98k,フロント:8745-1110L/8745-1110R<br>リア:8045-1097×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,90000,78000,87000
