自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
BMW,1シリーズ,F20/F21,2011/10～,Xドライブ専用<br>EDCを除く,89600,,290867,KONI-AC-qq-e-i-123k,出さない,フロント:8745-1378L/8745-1378R<br>リア:8245-1319×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,出さない,出さない
BMW,2シリーズ,F22,2011/10～,M235iを除く全車<br>Mスポーツ/xドライブ/EDCを除く,89600,,291326,KONI-AC-qq-e-i-125k,出さない,フロント:8745-1318×2<br>リア:8245-1319×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,出さない,出さない
BMW,2シリーズ,F22,2011/10～,Mスポーツ専用<br>M235i/xドライブ/EDCを除く,89600,,291327,KONI-AC-qq-e-i-128k,出さない,フロント:8745-1356×2<br>リア:8245-1357×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,出さない,出さない
BMW,2シリーズ,F22,2011/10～,Xドライブ専用<br>EDCを除く,89600,,291328,KONI-AC-qq-e-i-130k,出さない,フロント:8745-1378L/8745-1378R<br>リア:8245-1319×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,出さない,出さない
BMW,2シリーズ,F45/F46,2014～,アクティブ(F45)/グラン(F46)ツアラー<br>Mテクニック/xドライブ/EDCを除く,78400,,290868,KONI-AC-qq-e-i-132k,出さない,フロント:8745-1380L/8745-1380R<br>リア:8245-1380×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない
BMW,3シリーズ,E46 カブリオレ,98～05,Mスポーツ/スポーツサス含む,80000,,290562,KONI-AC-qq-e-i-188k,KONI-AC-qq-e-d-i-188k,フロント:8745-1022L/8745-1022R<br>リア:8245-1024×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,100000,105000,115000
BMW,3シリーズ,E46 クーペ,99/05～05,Xモデルを除く,80000,,290563,KONI-AC-qq-e-i-191k,KONI-AC-qq-e-d-i-191k,フロント:8745-1022L/8745-1022R<br>リア:8245-1024×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,100000,105000,115000
BMW,3シリーズ,E46 コンパクト,01/06～05,Mスポーツ除く,80000,,290564,KONI-AC-qq-e-i-194k,KONI-AC-qq-e-d-i-194k,フロント:8745-1022L/8745-1022R<br>リア:8245-1024×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,100000,105000,115000
BMW,3シリーズ,E46 セダン,98～05,Mスポーツ/スポーツサス及びXモデルを除く,80000,,290559,KONI-AC-qq-e-i-178k,KONI-AC-qq-e-d-i-178k,フロント:8745-1022L/8745-1022R<br>リア:8245-1023×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,100000,105000,115000
BMW,3シリーズ,E46 セダン,98～05,Mスポーツ車(スポーツサス含む)<br>Xモデルを除く,80000,,290560,KONI-AC-qq-e-i-181k,KONI-AC-qq-e-d-i-181k,フロント:8745-1022L/8745-1022R<br>リア:8245-1024×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,100000,105000,115000
BMW,3シリーズ,E46 ツーリング,98～05,Mテクニック含む<br>Xモデルを除く,80000,,290561,KONI-AC-qq-e-i-184k,KONI-AC-qq-e-d-i-184k,フロント:8745-1022L/8745-1022R<br>リア:8245-1024×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,100000,105000,115000
