自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,スイフト,HT81S,00/01～05/04,,フロント,20800,,175076,HD3714017-qq-e-623k,4547726537121,3714017,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,スイフト,HT81S,00/01～05/04,,リア,22400,,175213,HD3754014-qq-e-797k,4547726536964,3754014,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,スイフト,ZC11S/ZC21S/ZC71S/ZD11S/ZD21S,04/09～10/09,,フロント,22400,,175188,HD3714071-qq-e-769k,4547726535592,3714071,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,スイフト,ZC13S/ZC53S/ZD53S,17/01～,,フロント,23200,,175202,HD3714093-qq-e-786k,4547726630075,3714093,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
スズキ,スイフト,ZC13S/ZC53S/ZD53S,17/01～,,リア,20000,,175219,HD3754028-qq-e-803k,4547726630082,3754028,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,20000,600,16000,4000
スズキ,スイフト,ZC43S,17/01～,SL リア:ディスク,フロント,23200,,175203,HD3714093-qq-e-787k,4547726630075,3714093,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
スズキ,スイフト,ZC43S,17/01～,SL リア:ディスク,リア,20000,,175220,HD3754028-qq-e-804k,4547726630082,3754028,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,20000,600,16000,4000
スズキ,スイフト,ZC72S,10/09～,RS リア:ドラム,フロント,22400,,175189,HD3714071-qq-e-770k,4547726535592,3714071,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,スイフト,ZC72S,10/09～,XG/XL,フロント,22400,,175190,HD3714071-qq-e-771k,4547726535592,3714071,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,スイフト,ZC72S,10/09～,XS,フロント,26400,,175176,HD3714041-qq-e-743k,4547726538449,3714041,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,スイフト,ZC72S,10/09～,XS,リア,22400,,175217,HD3754020-qq-e-801k,4547726538456,3754020,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
