自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
スバル,エクシーガクロスオーバー7,YAM,15/04～,,フロント,37200,,89078,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,38000,34200,3000
スバル,フォレスター,SF5,00/01～02/03,STi I/II,リア,28200,,87673,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,フォレスター,SF5,97/2～02/03,ターボ(STi除く),リア,28200,,126798,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,フォレスター,SF9,97/2～02/03,,リア,28200,,81372,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,フォレスター,SG5,02/03～03/01,ターボ,リア,28200,,113733,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,フォレスター,SG9,04/02～07/12,STi(ブレンボ),フロント,55200,,113730,361077,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,58000,52200,3000
スバル,フォレスター,SG9,04/02～07/12,STi(ブレンボ),リア,32700,,109543,325499,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
スバル,フォレスター,SH5,10/04～12/11,2.0 XT(ターボ),フロント,37200,,121726,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
スバル,フォレスター,SH9,10/10～12/11,,フロント,37200,,82765,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
スバル,フォレスター,SHJ,10/10～11/04,,フロント,37200,,115091,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
スバル,フォレスター,SHJ,11/04～12/11,,フロント,37200,,108476,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
スバル,フォレスター,SJ5,12/11～,,フロント,37200,,89079,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください<br>Rシリーズにリテーナーは付属しておりません,38000,34200,3000
スバル,フォレスター,SJG,12/11～,,リア,32700,,111289,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
スバル,フォレスター,SJG,14/11～,ts(ブレンボ),フロント,55200,,120378,361077,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,58000,52200,3000
スバル,フォレスター,SJG,14/11～,ts(ブレンボ),リア,32700,,90072,325499,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
スバル,レガシィアウトバック,BP9,03/10～09/06,2.5i SIクルーズ,リア,28200,,100756,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィアウトバック,BPE,07/05～09/06,3.0R SIクルーズ,リア,28200,,94244,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィアウトバック,BPH,08/05～09/06,2.5XT,リア,28200,,107359,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィアウトバック,BR9,10/05～12/05,2.5i/2.5i Lパッケージ B型～(アイサイト含む),フロント,37200,,101809,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください<br>Rシリーズにリテーナーは付属しておりません,38000,34200,3000
スバル,レガシィアウトバック,BR9,11/05～12/05,2.5i Sパッケージ,リア,32700,,84784,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
