自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,イグニス,FF21S,16/02～,FF&4WD,フロント,17600,,183975,SD3714049-qq-e-195k,4547726527269,3714049,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,エスクード,TA01R/TA01W/TA01V,88/5～97/8,,フロント,16800,,183980,SD3714053-qq-e-206k,4547726527115,3714053,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,16000,600,12800,4000
スズキ,エスクード,TA02W/TA52W/TD02W/TD52W,97/11～,,フロント,24800,,183988,SD3714069-qq-e-223k,4547726523872,3714069,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,26000,600,20800,4000
スズキ,エスクード,TA11W/TA31W/TD11W/TD31W,94/12～97/10,,フロント,26400,,183783,SD3710015-qq-e-918k,4547726527078,3710015,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,28000,600,22400,4000
スズキ,エスクード,TA51W/TD51W/TD61W,96/10～97/10,,フロント,26400,,183784,SD3710015-qq-e-919k,4547726527078,3710015,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,28000,600,22400,4000
スズキ,エスクード,TA74W/TD54W/TD94W,05/05～08/05,,フロント,24800,,183985,SD3714065-qq-e-219k,4547726523704,3714065,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,26000,600,20800,4000
スズキ,エスクード,TD01W,90/8～97/10,,フロント,24800,,183987,SD3714067-qq-e-221k,4547726523865,3714067,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,26000,600,20800,4000
スズキ,エスクード,TD32W/TD62W/TL52W,98/2～,,フロント,24800,,183872,SD3714021-qq-e-68k,4547726527238,3714021,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,26000,600,20800,4000
スズキ,エスクード,TDA4W/TDB4W,08/05～15/10,,フロント,24800,,183986,SD3714065-qq-e-220k,4547726523704,3714065,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,26000,600,20800,4000
スズキ,エスクード,TDA4W/TDB4W,08/05～15/10,,リア,24800,,184021,SD3754018-qq-e-259k,4547726528327,3754018,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,26000,600,20800,4000
スズキ,エブリイ+,DA32W,99/6～01/05,,フロント,20800,,183995,SD3714075-qq-e-231k,4547726525913,3714075,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,21000,600,16800,4000
スズキ,エブリイランディ,DA32W,01/05～05/07,,フロント,20800,,183994,SD3714075-qq-e-230k,4547726525913,3714075,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,21000,600,16800,4000
スズキ,エリオ,RA21S/RB21S/RC51S/RD51S,01/01～,,フロント,25600,,183993,SD3714073-qq-e-228k,4547726525906,3714073,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,27000,600,21600,4000
スズキ,カプチーノ,EA11R/EA21R,91/10～98/10,,フロント,18400,,183792,SD3712645-qq-e-948k,4547726527023,3712645,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,カプチーノ,EA11R/EA21R,91/10～98/10,,リア,22400,,184010,SD3754002-qq-e-248k,4547726527061,3754002,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,23000,600,18400,4000
スズキ,カルタス/カルタスクレセント/カルタスエスティーム,AA34S/AF34S,88/8～98/7,GT-i/GT-iA(DOHC),フロント,23200,,183983,SD3714063-qq-e-217k,4547726527245,3714063,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,24000,600,19200,4000
スズキ,カルタス/カルタスクレセント/カルタスエスティーム,AA34S/AF34S,88/8～98/7,GT-i/GT-iA(DOHC),リア,22400,,184018,SD3754012-qq-e-256k,4547726526781,3754012,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,23000,600,18400,4000
スズキ,カルタス/カルタスクレセント/カルタスエスティーム,AH14S/AH64S/AJ14S/AJ64S,89/5～94/9,,フロント,18400,,183793,SD3712645-qq-e-949k,4547726527023,3712645,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,カルタス/カルタスクレセント/カルタスエスティーム,AK34S,88/8～98/7,,フロント,23200,,183984,SD3714063-qq-e-218k,4547726527245,3714063,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,24000,600,19200,4000
スズキ,キザシ,RE91S/RF91S,09/10～,,フロント,25600,,183969,SD3714037-qq-e-184k,4547726528747,3714037,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,27000,600,21600,4000
スズキ,キザシ,RE91S/RF91S,09/10～,,リア,22400,,184020,SD3754016-qq-e-258k,4547726528808,3754016,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,23000,600,18400,4000
スズキ,クロスビー,MN71S,17/12～,,フロント,17600,,183979,SD3714049-qq-e-200k,4547726527269,3714049,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,シボレークルーズ,HR51S/HR52S/HR81S/HR82S,01/12～,,フロント,17600,,183863,SD3714017-qq-e-58k,4547726527122,3714017,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,スイフト,HT51S,00/01～05/04,,フロント,17600,,183869,SD3714017-qq-e-64k,4547726527122,3714017,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,スイフト,HT81S,00/01～05/04,,フロント,17600,,183870,SD3714017-qq-e-65k,4547726527122,3714017,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,スイフト,HT81S,00/01～05/04,,リア,20800,,184019,SD3754014-qq-e-257k,4547726526965,3754014,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,21000,600,16800,4000
スズキ,スイフト,ZC11S/ZC21S/ZC71S/ZD11S/ZD21S,04/09～10/09,,フロント,20800,,183990,SD3714071-qq-e-225k,4547726525593,3714071,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,21000,600,16800,4000
