自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
トヨタ,イプサム,SXM10,1996/5～2001/5,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,250831,,212579,3AAA-TP12-000-qq-e-51,3AAA-TP12-000-qq-e-d-51,3AAA.TP12.000,Aragosta,全長調整式車高調,W,調整式ピロボール|固定式ピロボール,200/16|(6),45|35,+30/-20|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,320000,255000,受注生産　2～3週間程度
トヨタ,ウィッシュ,ANE10G/ZNE10G,2003.1～2009.4,,Fr：調整式ピロボール<br>Rr：固定式強化ラバー,439236,,212916,3AAA-TP13-000-2CUP-qq-e-284,出さない,3AAA.TP13.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|固定式強化ラバー,200/7|200/6,40|40,+30/-20|+30/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,特注対応車種,540000,出さない,受注生産　1ヶ月程度
トヨタ,ウィッシュ,ANE10G/ZNE10G,2003/1～2009/4,,Fr：調整式ピロボール<br>Rr：固定式強化ラバー,250831,,212262,3AAA-TP13-000-qq-e-43,3AAA-TP13-000-qq-e-d-43,3AAA.TP13.000,Aragosta,全長調整式車高調,W,調整式ピロボール|固定式強化ラバー,200/7|200/6,40|40,+30/-20|+30/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,特注対応車種,320000,260000,受注生産　2～3週間程度
トヨタ,エスティマ,ACR30W/MCR30W,2000.1～2005.12,,Fr：調整式ピロボール<br>Rr：純正流用,463638,,212573,3AAA-TP06-000-2CUP-qq-e-287,出さない,3AAA.TP06.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,250/10|(5),45|40,+40/-15|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,570000,出さない,受注生産　1ヶ月程度
トヨタ,エスティマ,ACR30W/MCR30W,2000/1～2005/12,,Fr：調整式ピロボール<br>Rr：純正流用,274098,,212912,3AAA-TP06-000-qq-e-55,3AAA-TP06-000-qq-e-d-55,3AAA.TP06.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,250/10|(5),45|40,+40/-15|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,350000,277500,受注生産　2～3週間程度
トヨタ,エスティマ,ACR40W/MCR40W,2000.1～2005.12,,Fr：調整式ピロボール<br>Rr：純正流用,463638,,212256,3AAA-TP06-000-2CUP-qq-e-288,出さない,3AAA.TP06.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,250/10|(5),45|40,+40/-15|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,570000,出さない,受注生産　1ヶ月程度
トヨタ,エスティマ,ACR40W/MCR40W,2000/1～2005/12,,Fr：調整式ピロボール<br>Rr：純正流用,274098,,211551,3AAA-TP06-000-qq-e-56,3AAA-TP06-000-qq-e-d-56,3AAA.TP06.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,250/10|(5),45|40,+40/-15|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,350000,277500,受注生産　2～3週間程度
トヨタ,エスティマ,TCR10W,1990/5～1999/12,,Fr：調整式ピロボール<br>Rr：純正流用,281853,,213036,3AAA-TP10-000-qq-e-44,3AAA-TP10-000-qq-e-d-44,3AAA.TP10.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,225/6+3|(5),40|40,+40/-15|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,360000,295000,受注生産　2～3週間程度
トヨタ,エスティマハイブリッド,AHR20W,2006.6～,,Fr：調整式ピロボール<br>Rr：純正流用,463638,,212257,3AAA-TP07-000-2CUP-qq-e-167,出さない,3AAA.TP07.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,250/6|(6),45|40,+30/-30|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,570000,出さない,受注生産　1ヶ月程度
トヨタ,エスティマハイブリッド,AHR20W,2006/6～,,Fr：調整式ピロボール<br>Rr：純正流用,274098,,212258,3AAA-TP07-000-qq-e-57,3AAA-TP07-000-qq-e-d-57,3AAA.TP07.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,250/6|(6),45|40,+30/-30|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,350000,277500,受注生産　2～3週間程度
