自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
三菱,ランサーエボリューションIX/IX MR,CT9A,2005/3～2007/1,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,413702,,211729,3AAA-D6-S1-000-qq-e-31,3AAA-D6-S1-000-qq-e-d-31,3AAA.D6.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+30/-30|+25/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,412500,受注生産　2～3週間程度
三菱,ランサーエボリューションVII/VII GT-A,CT9A,2001.2～2003.1,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,756462,,211719,3AAA-D4-S1-000-4CUP-qq-e-584,出さない,3AAA.D4.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+40/-25|+25/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,930000,出さない,受注生産　1ヶ月程度
三菱,ランサーエボリューションVII/VII GT-A,CT9A,2001.2～2003.1,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,610050,,212708,3AAA-D4-S1-000-2CUP-qq-e-336,出さない,3AAA.D4.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+40/-25|+25/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,750000,出さない,受注生産　1ヶ月程度
三菱,ランサーエボリューションVII/VII GT-A,CT9A,2001/2～2003/1,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,413702,,212709,3AAA-D4-S1-000-qq-e-40,3AAA-D4-S1-000-qq-e-d-40,3AAA.D4.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+40/-25|+25/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,412500,受注生産　2～3週間程度
三菱,ランサーエボリューションVIII/VIII MR,CT9A,2003.1～2005.3,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,756462,,211722,3AAA-D5-S1-000-4CUP-qq-e-547,出さない,3AAA.D5.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+40/-25|+25/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,930000,出さない,受注生産　1ヶ月程度
三菱,ランサーエボリューションVIII/VIII MR,CT9A,2003.1～2005.3,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,610050,,212390,3AAA-D5-S1-000-2CUP-qq-e-499,出さない,3AAA.D5.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+40/-25|+25/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,750000,出さない,受注生産　1ヶ月程度
三菱,ランサーエボリューションVIII/VIII MR,CT9A,2003/1～2005/3,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,413702,,211328,3AAA-D5-S1-000-qq-e-45,3AAA-D5-S1-000-qq-e-d-45,3AAA.D5.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+40/-25|+25/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,412500,受注生産　2～3週間程度
三菱,ランサーエボリューションXスポーツ,CZ4A,2007.10～,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,610050,,212071,3AAA-D8-S1-000-2CUP-qq-e-341,出さない,3AAA.D8.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+30/-30|+15/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,750000,出さない,受注生産　1ヶ月程度
三菱,ランサーエボリューションXスポーツ,CZ4A,2007.10～,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,756462,,212072,3AAA-D8-S1-000-4CUP-qq-e-628,出さない,3AAA.D8.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+30/-30|+15/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,930000,出さない,受注生産　1ヶ月程度
三菱,ランサーエボリューションXスポーツ,CZ4A,2007/10～,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,413702,,212407,3AAA-D8-S1-000-qq-e-53,3AAA-D8-S1-000-qq-e-d-53,3AAA.D8.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+30/-30|+15/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,412500,受注生産　2～3週間程度
三菱,ランサーエボリューションワゴン/MR,CT9W,2005/9～2007/8,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,413702,,212401,3AAA-D6-S1-000-qq-e-58,3AAA-D6-S1-000-qq-e-d-58,3AAA.D6.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+30/-30|+25/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,412500,受注生産　2～3週間程度
三菱,ランサーエボリューションワゴン/ワゴンMR,CT9W,2005.9～2007.8,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,610050,,211331,3AAA-D6-S1-000-2CUP-qq-e-503,出さない,3AAA.D6.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+30/-30|+25/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,750000,出さない,受注生産　1ヶ月程度
三菱,ランサーエボリューションワゴン/ワゴンMR,CT9W,2005.9～2007.8,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,756462,,212399,3AAA-D6-S1-000-4CUP-qq-e-550,出さない,3AAA.D6.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,調整式ピロボール|固定式ピロボール,10～18|8～16,30|20,+30/-30|+25/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,930000,出さない,受注生産　1ヶ月程度
レクサス,IS F,USE20,2007.10～2014.5,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,634452,,212774,3AAA-L3-S1-000-2CUP-qq-e-397,出さない,3AAA.L3.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,12～24|8～20,30|30,+30/-15|+30/-15,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,780000,出さない,受注生産　1ヶ月程度
レクサス,IS F,USE20,2007/10～2014/5,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,433092,,211380,3AAA-L3-S1-R00-qq-e-16,3AAA-L3-S1-R00-qq-e-d-16,3AAA.L3.S1.R00,Aragosta,全長調整式車高調,SS,固定式強化ラバー|固定式強化ラバー,12～24|8～20,30|30,+30/-15|+30/-15,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,555000,431300,受注生産　2～3週間程度
レクサス,IS F,USE20,2007/10～2014/5,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,444725,,212775,3AAA-L3-S1-000-qq-e-14,3AAA-L3-S1-000-qq-e-d-14,3AAA.L3.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,12～24|8～20,30|30,+30/-15|+30/-15,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,570000,442500,受注生産　2～3週間程度
