自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
スバル,インプレッサ,GDB,2004/6～2007/6,(E～G),Fr：調整式ピロボール<br>Rr：調整式ピロボール,429213,,212195,3AAA-S4-C1-S00-qq-e-62,3AAA-S4-C1-S00-qq-e-d-62,3AAA.S4.C1.S00,Aragosta,全長調整式車高調,SS,調整式ピロボール|調整式ピロボール,10～18|8～16,40|30,+30/-10|+20/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,,550000,430500,受注生産　2～3週間程度
スバル,インプレッサ,GRB/GRF,2007.10～2014.8,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,618184,,211496,3AAA-S7-S1-000-2CUP-qq-e-209,出さない,3AAA.S7.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,12～20|10～18,30|13,+40/-20|+30/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,760000,出さない,受注生産　1ヶ月程度
スバル,インプレッサ,GRB/GRF,2007/10～2014/8,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,421457,,212210,3AAA-S7-S1-000-qq-e-69,3AAA-S7-S1-000-qq-e-d-69,3AAA.S7.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,12～20|10～18,30|13,+40/-20|+30/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,540000,423000,受注生産　2～3週間程度
スバル,インプレッサ,GVB/GVF,2010.7～2014.8,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,618184,,211491,3AAA-S7-C1-S00-2CUP-qq-e-495,出さない,3AAA.S7.C1.S00,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,12～20|10～18,30|20,+40/-20|+20/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,760000,出さない,受注生産　1ヶ月程度
スバル,インプレッサ,GVB/GVF,2010/7～2014/8,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,421457,,212871,3AAA-S7-C1-S00-qq-e-74,3AAA-S7-C1-S00-qq-e-d-74,3AAA.S7.C1.S00,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,12～20|10～18,30|20,+40/-20|+20/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,540000,423000,受注生産　2～3週間程度
スバル,レガシィB4,BM9/BMG/BMM,2009.5～2014.10,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,618184,,211875,3AAA-SA-B1-S00-2CUP-qq-e-218,出さない,3AAA.SA.B1.S00,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,12～20|8～16,40|40,+20/-10|+20/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,760000,出さない,受注生産　1ヶ月程度
スバル,レガシィB4,BM9/BMG/BMM,2009/5～2014/10,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,421457,,211503,3AAA-SA-B1-S00-qq-e-19,3AAA-SA-B1-S00-qq-e-d-19,3AAA.SA.B1.S00,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,12～20|8～16,40|40,+20/-10|+20/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,540000,423000,受注生産　2～3週間程度
スバル,レガシィツーリングワゴン,BR9/BRG/BRM,2009.5～2014.10,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,618184,,212526,3AAA-SA-S2-000-2CUP-qq-e-444,出さない,3AAA.SA.S2.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,12～20|8～16,40|30,+20/-10|+20/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,760000,出さない,受注生産　1ヶ月程度
スバル,レガシィツーリングワゴン,BR9/BRG/BRM,2009/5～2014/10,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,421457,,212880,3AAA-SA-S2-000-qq-e-34,3AAA-SA-S2-000-qq-e-d-34,3AAA.SA.S2.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,12～20|8～16,40|30,+20/-10|+20/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,540000,423000,受注生産　2～3週間程度
トヨタ,86,ZN6,2012.4～,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,626318,,212565,3AAA-TI-S1-000-2CUP-qq-e-377,出さない,3AAA.TI.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,10～20|10～20,20|23,+40/-15|+30/-32,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,770000,出さない,受注生産　1ヶ月程度
