自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
トヨタ,クラウン/クラウンアスリート,JZS171/JZS175,1999/9～2003/12,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,250831,,212512,3AAA-PM-A1-000-qq-e-76,3AAA-PM-A1-000-qq-e-d-76,3AAA.PM.A1.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,200/12|250/10,30|20,+40/-30|+50/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,320000,255000,受注生産　2～3週間程度
トヨタ,クラウン/クラウンアスリート/クラウンエステート,JZS171W/JZS175W,1999.12～2007.5,エステート装着可,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,211457,3AAA-PM-A1-000-4CUP-qq-e-607,出さない,3AAA.PM.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,200/12|250/10,30|20,+40/-30|+50/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,710000,出さない,受注生産　1ヶ月程度
トヨタ,クラウン/クラウンアスリート/クラウンエステート,JZS171W/JZS175W,1999.12～2007.5,エステート装着可,Fr：固定式ピロボール<br>Rr：固定式ピロボール,431102,,212848,3AAA-PM-A1-000-2CUP-qq-e-384,出さない,3AAA.PM.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,200/12|250/10,30|20,+40/-30|+50/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
トヨタ,クラウン/クラウンアスリート/クラウンエステート,JZS171W/JZS175W,1999/12～2007/5,エステート装着可,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,239197,,211851,3AAA-PM-A1-R00-qq-e-79,3AAA-PM-A1-R00-qq-e-d-79,3AAA.PM.A1.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,200/12|250/10,30|20,+20/-35|+30/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,305000,243800,受注生産　2～3週間程度
トヨタ,クラウン/クラウンアスリート/クラウンエステート,JZS171W/JZS175W,1999/12～2007/5,エステート装着可,Fr：固定式ピロボール<br>Rr：固定式ピロボール,250831,,212849,3AAA-PM-A1-000-qq-e-78,3AAA-PM-A1-000-qq-e-d-78,3AAA.PM.A1.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,200/12|250/10,30|20,+40/-30|+50/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,320000,255000,受注生産　2～3週間程度
トヨタ,クラウンマジェスタ,14系/15系,1991.10～1999.9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,431102,,211552,3AAA-TP09-000-2CUP-qq-e-276,出さない,3AAA.TP09.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,200/12|250/8,30|30,+15/-35|+15/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
トヨタ,クラウンマジェスタ,14系/15系,1991.10～1999.9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,212576,3AAA-TP09-000-4CUP-qq-e-610,出さない,3AAA.TP09.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,200/12|250/8,30|30,+15/-35|+15/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,710000,出さない,受注生産　1ヶ月程度
トヨタ,クラウンマジェスタ,14系/15系,1991/10～1999/9,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,239197,,211922,3AAA-TP09-R00-qq-e-84,3AAA-TP09-R00-qq-e-d-84,3AAA.TP09.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,200/12|250/8,30|30,+15/-35|+15/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,305000,243800,受注生産　2～3週間程度
トヨタ,クラウンマジェスタ,14系/15系,1991/10～1999/9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,250831,,213035,3AAA-TP09-000-qq-e-82,3AAA-TP09-000-qq-e-d-82,3AAA.TP09.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,200/12|250/8,30|30,+15/-35|+15/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,320000,255000,受注生産　2～3週間程度
トヨタ,クラウンマジェスタ,17系/18系,1999.9～2009.3,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,431102,,212577,3AAA-TP11-000-2CUP-qq-e-277,出さない,3AAA.TP11.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,200/12|250/8,40|25,+20/-45|+10/-60,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
