自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
BMW,3シリーズ,F31 320iツーリング,2012/09～,2WD,,Fr：616mm～746mm<br>Rr：623mm～688mm,87800,,248529,01011223012-qq-950,01011223012-qq-d-22,Largus,Spec S I,マウントレス|マウントレス,6k|12k,616mm～746mm|623mm～688mm,,32段階調整,,,87800,112800,,,20191023初期
BMW,5シリーズ,E39,1996/06～2002/11,2WD,適合型式:DD25/DD28/DM25/DM28,Fr：590mm～770mm<br>Rr：590mm～680mm,94800,,248730,01011223003-qq-952,01011223003-qq-d-23,Largus,Spec S I,調整式ピロ|固定式強化ゴム,7k|5k,590mm～770mm|590mm～680mm,,32段階調整,,,94800,119800,,,20191023初期
BMW,5シリーズ,E60 525i/530i,2003/08～2010/01,2WD,適合型式:NA25/NA30/NE25/NE30/NU25/NU30,Fr：630mm～710mm<br>Rr：625mm～699mm,89800,,248525,01011223008-qq-953,01011223008-qq-d-24,Largus,Spec S I,マウントレス|固定式強化ゴム,6k|5k,630mm～710mm|625mm～699mm,,32段階調整,,,89800,114800,,,20191023初期
BMW,5シリーズ,F10,2010/03～,2WD,,Fr：625mm～729mm<br>Rr：650mm～722mm,87800,,248526,01011223011-qq-954,01011223011-qq-d-25,Largus,Spec S I,固定式強化ゴム|マウントレス,10k|4.5k,625mm～729mm|650mm～722mm,,32段階調整,電子制御付きダンパー車両は機能をキャンセルする必要あり,,87800,112800,,,20191023初期
BMW,7シリーズ,E65 745i,2001/10～2009/02,2WD,,Fr：675mm～740mm<br>Rr：670mm～755mm,86800,,248804,01011223007-qq-957,出さない,Largus,Spec S I,マウントレス|固定式強化ゴム,9k|6k,675mm～740mm|670mm～755mm,,32段階調整,,,86800,出さない,,,20191023初期
BMW,7シリーズ,F01,2009/03～,2WD,,Fr：666mm～750mm<br>Rr：685mm～737mm,87800,,248527,01011223011-qq-1,出さない,Largus,Spec S I,固定式強化ゴム|マウントレス,10k|4.5k,666mm～750mm|685mm～737mm,,32段階調整,電子制御付きダンパー車両は機能をキャンセルする必要あり,,87800,出さない,,,20191023初期
BMW,X1,E84,2010/04～,2WD,,Fr：672mm～742mm<br>Rr：660mm～712mm,94800,,248288,01011223015-qq-101,01011223015-qq-d-29,Largus,Spec S I,固定式強化ゴム|マウントレス,7k|11k,672mm～742mm|660mm～712mm,-48mm～+22mm|-67mm～-15mm,32段階調整,,,94800,119800,,,20191023初期
BMW,X3,F25,2011/03～,4WD,,Fr：673mm～772mm<br>Rr：710mm～785mm,92800,,248530,01011223017-qq-102,01011223017-qq-d-30,Largus,Spec S I,マウントレス|マウントレス,8k|8k,673mm～772mm|710mm～785mm,-97mm～+2mm|-73mm～+2mm,32段階調整,,,92800,117800,,,20191023初期
BMW,Z3,E36/E37,1996/08～2003/01,2WD,,Fr：603mm～685mm<br>Rr：620mm～695mm,94800,,248523,01011223002-qq-106,01011223002-qq-d-31,Largus,Spec S I,調整式ピロ|固定式強化ゴム,6k|6k,603mm～685mm|620mm～695mm,,32段階調整,純正ホイール装着の場合は5mmスペーサーが必要(スペーサーの厚さは目安(要現車確認)となります),,94800,119800,,,20191023初期
BMW,Z4,E85/E86,2003/01～2009/05,2WD,適合型式:BT22/BT25/BT30/BT32/BU25/BU30/BU32/DU30,Fr：610mm～670mm<br>Rr：600mm～670mm,94800,,248282,01011223001-qq-107,01011223001-qq-d-32,Largus,Spec S I,調整式ピロ|固定式強化ゴム,7k|8k,610mm～670mm|600mm～670mm,,32段階調整,,,94800,119800,,,20191023初期
BMW,Z4,E89,2009/05～,2WD,フロントストラット径:52mm専用<br>アダプティブMサスペンション装着車両取り付け不可,Fr：641mm～689mm<br>Rr：629mm～678mm,99800,,248289,01011223016-qq-108,01011223016-qq-d-33,Largus,Spec S I,調整式ピロ|マウントレス,8k|12k,641mm～689mm|629mm～678mm,-34mm～+14mm|-51mm～-2mm,32段階調整,,,99800,124800,,,20191023初期
CHEVROLET,カマロ,2LT,2014/01～,2WD,,Fr：705mm～829mm<br>Rr：697mm～754mm,96800,,248290,01011224003-qq-978,01011224003-qq-d-35,Largus,Spec S I,マウントレス|マウントレス,8k|12k,705mm～829mm|697mm～754mm,-40mm～+75mm|-52mm～±0mm,32段階調整,減衰力調整ダイヤル延長ケーブル 250mm×2本付属,,96800,121800,,,20191023初期
CHEVROLET,カマロ,,2009/12～2013/12,2WD,,Fr：715mm～820mm<br>Rr：705mm～760mm,91800,,248531,01011224001-qq-977,01011224001-qq-d-34,Largus,Spec S I,マウントレス|マウントレス,8k|10k,715mm～820mm|705mm～760mm,,32段階調整,減衰力調整ダイヤル延長ケーブル 250mm×2本付属,,91800,116800,,,20191023初期
CHEVROLET,ソニック,KT300,2011/11～,2WD,,Fr：600mm～693mm<br>Rr：645mm～687mm,92800,,248731,01011224002-qq-74,01011224002-qq-d-36,Largus,Spec S I,マウントレス|マウントレス,6k|3k,600mm～693mm|645mm～687mm,-66mm～+27mm|-43mm～-1mm,32段階調整,減衰力調整ダイヤル延長ケーブル 250mm×2本付属,,92800,117800,,,20191023初期
CHRYSLER,300,LX36,2012/12～,2WD,,Fr：683mm～787mm<br>Rr：681mm～752mm,90800,,248732,01011226001-qq-942,01011226001-qq-d-37,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,12K|14K,683mm～787mm|681mm～752mm,-54mm～+50mm|-106mm～-35mm,32段階調整,リア減衰調整ケーブル 200mm×2本付属,,90800,115800,,,20191023初期
CHRYSLER,300C,LX35/LX57,,2WD,,Fr：673mm～798mm<br>Rr：720mm～788mm,90800,,248293,01011226002-qq-943,01011226002-qq-d-38,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,12k|14K,673mm～798mm|720mm～788mm,,32段階調整,リア減衰調整ケーブル 200mm×2本付属,,90800,125800,,,20191023初期
CITROEN,DS3,A5C5F04,,2WD,ストラット径:51mm車専用,Fr：600mm～660mm<br>Rr：624mm～660mm,94800,,248291,01011225001-qq-997,01011225001-qq-d-39,Largus,Spec S I,マウントレス|マウントレス,7k|4k,600mm～660mm|624mm～660mm,-64mm～-4mm|-41mm～-5mm,32段階調整,,,94800,119800,,,20191023初期
DODGE,チャージャー,,2010/09～2014/08,2WD,,Fr：675mm～763mm<br>Rr：683mm～770mm,90800,,248292,01011226001-qq-996,01011226001-qq-d-40,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,12k|14K,675mm～763mm|683mm～770mm,-96mm～-8mm|-109mm～-22mm,32段階調整,,,90800,115800,,,20191023初期
