自動車メーカー,車種,型式,年式,駆動方式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,仕様,注意事項,定価
トヨタ,タンク/ルーミー,M900A,2016/11～,2WD,,後部座席のリクライニング角度によってピラーバーと乗員の頭部が干渉します,9800,,249207,05401209010-qq-53k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,ノア/ヴォクシー,ZRR70G/ZRR70W/ZRR75G/ZRR75W,,ZRR70G/ZRR70W:2WD<br>ZRR75G/ZRR75W:4WD,パワーバックドア車適合不可,,9800,,249201,05401209004-qq-47k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,ノア/ヴォクシー/エスクァイア,ZRR80G/ZRR80W/ZRR85G/ZRR85W,,ZRR80G/ZRR80W:2WD<br>ZRR85G/ZRR85W:4WD,,,9800,,249202,05401209005-qq-48k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,ノアハイブリッド/ヴォクシーハイブリッド/エスクァイアハイブリッド,ZWR80G,,2WD,,,9800,,249203,05401209005-qq-49k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,プリウスα,ZVW40W,,2WD,7人乗り車のみ適合,3列目シートの頭上にバー本体が通ります,9800,,249204,05401209006-qq-50k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,プロボックス/サクシード,NCP165V/NSP160V/NCP160V,,NCP165V:4WD<br>NSP160V/NCP160V:2WD,バン,Cピラー用の製品となります<br>Dピラーは取り付け不可<br>セカンドシート頭上にバー本体が通ります,9800,,249206,05401209009-qq-52k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,プロボックス/サクシード,NCP5#V/NCP55V/NCP58G/NCP59G,,NCP5#V/NCP58G:2WD<br>NCP55V/NCP59G:4WD,バン/ワゴン,Cピラー用の製品となります<br>Dピラーは取り付け不可,9800,,249205,05401209008-qq-51k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
日産,エルグランド,E51/ME51/MNE51/NE51,,E51/ME51:2WD<br>MNE51/NE51:4WD,ME51:250Vハイウェイスター/ライダー,,9800,,249174,05401207001-qq-25k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
日産,エルグランド,PE52/PNE52/TE52/TNE52,,PE52/TE52:2WD<br>PNE52/TNE52:4WD,リモコンオートバックドア装備車両取付不可,,9800,,249175,05401207002-qq-26k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
日産,シルビア,S14,,2WD,前期のみ適合,,9800,,249176,05401207003-qq-27k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
日産,デイズ,B21W,,2WD,,リヤシートの頭上にバー本体が通ります,9800,,249177,05401207007-qq-28k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
日産,デイズ,B44W,2019/03～,2WD,,ベルトステーはスイング不可<br>後部座席への乗車は背もたれの角度が限定されます,9800,,249179,05401207009-qq-8k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
日産,デイズルークス,B21A,,2WD/4WD,,リヤシートの頭上にバー本体が通ります,9800,,249178,05401207008-qq-29k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
日産,マーチ,AK12,2002/03～2010/07,2WD,,ベルトステーはスイング不可<br>要内装加工または内装外し<br>2列目シート乗車不可,9800,,249180,05401207010-qq-12k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,N-BOX,JF1/JF2,,JF1:2WD<br>JF2:4WD,カーテンエアバック付き車適合不可,,9800,,249157,05401203001-qq-10k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,N-BOX,JF3,,2WD,,,9800,,249158,05401203002-qq-11k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
