自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
スバル,レガシィB4,BM9/BMG/BMM,,4WD,,Fr：617mm～745mm<br>Rr：645mm～713mm,80000,,248315,01011202009-qq-725,01011202009-qq-d-834,Largus,Spec S,調整式ピロ|固定式強化ゴム,7k|6k,617mm～745mm|645mm～713mm,,32段階調整,,,80000,95000,,,20191023初期
スバル,レガシィB4,BN9,,4WD,,Fr：648mm～722mm<br>Rr：655mm～718mm,74000,,248091,01011202015-qq-1,01011202015-qq-d-1,Largus,Spec S,固定式強化ゴム|固定式強化ゴム,7k|6k,648mm～722mm|655mm～718mm,-65mm～+9mm|-59mm～+4mm,32段階調整,,,74000,89000,,,20191023初期
スバル,レガシィツーリングワゴン,BG5/BG3/BG7/BG9,,4WD,,Fr：610mm～705mm<br>Rr：595mm～730mm,83000,,248550,01011202006-qq-722,01011202006-qq-d-831,Largus,Spec S,調整式ピロ|固定式強化ゴム,7k|5k,610mm～705mm|595mm～730mm,,32段階調整,,,83000,98000,,,20191023初期
スバル,レガシィツーリングワゴン,BH5/BH9/BHE,,4WD,,Fr：585mm～685mm<br>Rr：600mm～660mm,80000,,248317,01011202011-qq-723,01011202011-qq-d-832,Largus,Spec S,調整式ピロ|固定式強化ゴム,8k|8k,585mm～685mm|600mm～660mm,,32段階調整,,,80000,95000,,,20191023初期
スバル,レガシィツーリングワゴン,BP5/BP9/BPE,,4WD,,Fr：620mm～733mm<br>Rr：620mm～687mm,84000,,248088,01011202003-qq-726,01011202003-qq-d-835,Largus,Spec S,調整式ピロ|固定式ピロ,6k|8k,620mm～733mm|620mm～687mm,,32段階調整,減衰力調整ダイヤル延長ケーブル 250mm×2本付属,,84000,99000,,,20191023初期
スバル,レガシィツーリングワゴン,BR9/BRG/BRM,,4WD,,Fr：615mm～735mm<br>Rr：635mm～695mm,80000,,248763,01011202009-qq-727,01011202009-qq-d-836,Largus,Spec S,調整式ピロ|固定式強化ゴム,7k|6k,615mm～735mm|635mm～695mm,,32段階調整,,,80000,95000,,,20191023初期
ダイハツ,YRV,M201G,,2WD,,Fr：540mm～618mm<br>Rr：575mm～622mm,77000,,248546,01011201001-qq-105,01011201001-qq-d-229,Largus,Spec S,固定式強化ゴム|マウントレス,4k|4k,540mm～618mm|575mm～622mm,,32段階調整,,,77000,92000,,,20191023初期
ダイハツ,トール,M900S,2016/11～,2WD,,Fr：558mm～643mm<br>Rr：574mm～641mm,77000,,248696,01011209105-qq-7k,01011209105-qq-d-7k,Largus,Spec S,固定式強化ゴム|マウントレス,4k|4k,558mm～643mm|574mm～641mm,-81mm～+4mm|-76mm～-9mm,32段階調整,車高調整範囲とダウン量はTOYOTAタンクのデータ,,77000,92000,,,20191023初期
ダイハツ,ブーン,M300S/M301S,,2WD,,Fr：560mm～615mm<br>Rr：595mm～625mm,73000,,248191,01011209023-qq-553,01011209023-qq-d-665,Largus,Spec S,固定式強化ゴム|マウントレス,4k|4k,560mm～615mm|595mm～625mm,,32段階調整,,,73000,88000,,,20191023初期
ダイハツ,ブーン,M310S/M312S,,4WD,,Fr：532mm～624mm<br>Rr：565mm～593mm,73000,,248224,01011209059-qq-554,01011209059-qq-d-666,Largus,Spec S,固定式強化ゴム|マウントレス,4k|4k,532mm～624mm|565mm～593mm,,32段階調整,,,73000,88000,,,20191023初期
トヨタ,86,ZN6,,2WD,GR/GRスポーツ適合可,Fr：631mm～691mm<br>Rr：632mm～685mm,80000,,248237,01011209073-qq-958,01011209073-qq-d-133,Largus,Spec S,調整式ピロ|固定式強化ゴム,6k|4k,631mm～691mm|632mm～685mm,-60mm～0mm|-60mm～-10mm,32段階調整,,,80000,95000,,,20191023初期
トヨタ,bB,NCP30/NCP31,,2WD,,Fr：578mm～644mm<br>Rr：577mm～618mm,73000,,248642,01011209022-qq-970,01011209022-qq-d-134,Largus,Spec S,固定式強化ゴム|マウントレス,5k|3k,578mm～644mm|577mm～618mm,,32段階調整,,,73000,88000,,,20191023初期
トヨタ,bB,NCP35,,4WD,,Fr：555mm～650mm<br>Rr：610mm～655mm,73000,,248477,01011209045-qq-971,01011209045-qq-d-135,Largus,Spec S,固定式強化ゴム|固定式強化ゴム,5k|8k,555mm～650mm|610mm～655mm,,32段階調整,,,73000,88000,,,20191023初期
トヨタ,bB,QNC20/QNC21,,2WD,,Fr：570mm～620mm<br>Rr：600mm～620mm,73000,,248794,01011209023-qq-972,01011209023-qq-d-136,Largus,Spec S,固定式強化ゴム|マウントレス,4k|4k,570mm～620mm|600mm～620mm,,32段階調整,,,73000,88000,,,20191023初期
トヨタ,bB,QNC25,,4WD,,Fr：540mm～600mm<br>Rr：570mm～600mm,73000,,248225,01011209059-qq-973,01011209059-qq-d-137,Largus,Spec S,固定式強化ゴム|マウントレス,4k|4k,540mm～600mm|570mm～600mm,,32段階調整,,,73000,88000,,,20191023初期
トヨタ,C-HR,NGX10,2018/05～,2WD,,Fr：651mm～721mm<br>Rr：680mm～752mm,74000,,248700,01011209106-qq-3k,01011209106-qq-d-3k,Largus,Spec S,固定式強化ゴム|マウントレス,6k|4k,651mm～721mm|680mm～752mm,-69mm～+1mm|-74mm～-2mm,32段階調整,フロント側の減衰調整には、カウルトップを外すか車高調を外す必要あり,,74000,89000,,,20191023初期
トヨタ,C-HR,NGX50,,4WD,,Fr：644mm～730mm<br>Rr：675mm～745mm,74000,,248699,01011209106-qq-2,01011209106-qq-d-2,Largus,Spec S,固定式強化ゴム|マウントレス,6k|4k,644mm～730mm|675mm～745mm,-88mm～-2mm|-84mm～-14mm,32段階調整,,,74000,89000,,,20191023初期
トヨタ,C-HR,ZYX10,,2WD,,Fr：650mm～732mm<br>Rr：672mm～744mm,74000,,248698,01011209106-qq-1,01011209106-qq-d-1,Largus,Spec S,固定式強化ゴム|マウントレス,6k|4k,650mm～732mm|672mm～744mm,-76mm～+6mm|-79mm～-7mm,32段階調整,,,74000,89000,,,20191023初期
トヨタ,FJクルーザー,GSJ15W,2010/12～,4WD,,Fr：814mm～880mm<br>Rr：873mm～910mm,95000,,248508,01011209114-qq-1k,01011209114-qq-d-1k,Largus,Spec S,固定式強化ゴム|マウントレス,14k|4.5k,814mm～880mm|873mm～910mm,-66mm～0mm|-57mm～-20mm,32段階調整,,,95000,110000,,KDSS/X-リアス装着車は作業対応不可,20191023初期
トヨタ,IQ,KGJ10/NGJ10,,2WD,,Fr：620mm～680mm<br>Rr：620mm～680mm,80000,,248215,01011209052-qq-1,01011209052-qq-d-1,Largus,Spec S,調整式ピロ|マウントレス,3k|3k,620mm～680mm|620mm～680mm,,32段階調整,,,80000,95000,,,20191023初期
トヨタ,MR2,AW11,1986/08～1989/09,2WD,後期型(スーパーチャージャー車)のみ取り付け可能,Fr：565mm～600mm<br>Rr：555mm～595mm,84000,,248442,01011209014-qq-38,01011209014-qq-d-182,Largus,Spec S,調整式ピロ|固定式ピロ,5k|8k,565mm～600mm|555mm～595mm,,32段階調整,,,84000,99000,,,20191023初期
トヨタ,MR2,SW20,,2WD,,Fr：598mm～668mm<br>Rr：627mm～676mm,84000,,248626,01011209003-qq-39,01011209003-qq-d-183,Largus,Spec S,調整式ピロ|固定式ピロ,5k|8k,598mm～668mm|627mm～676mm,,32段階調整,,,84000,99000,,,20191023初期
トヨタ,MR-S,ZZW30,,2WD,,Fr：574mm～650mm<br>Rr：565mm～640mm,84000,,248627,01011209004-qq-40,01011209004-qq-d-184,Largus,Spec S,調整式ピロ|固定式ピロ,5k|7k,574mm～650mm|565mm～640mm,,32段階調整,ブレーキホースタイラップ固定,,84000,99000,,,20191023初期
トヨタ,RAV4,ACA20W/ACA21W,,4WD,,Fr：665mm～770mm<br>Rr：700mm～753mm,78000,,248492,01011209079-qq-56,01011209079-qq-d-199,Largus,Spec S,固定式強化ゴム|マウントレス,6k|6k,665mm～770mm|700mm～753mm,,32段階調整,,,78000,93000,,,20191023初期
トヨタ,RAV4,ACA31W,,4WD,,Fr：708mm～800mm<br>Rr：750mm～800mm,78000,,248464,01011209040-qq-57,01011209040-qq-d-200,Largus,Spec S,固定式強化ゴム|マウントレス,6k|6k,708mm～800mm|750mm～800mm,,30段階調整,,,78000,93000,,,20191023初期
トヨタ,RAV4,ACA36W,,2WD,,,78000,,248653,01011209040-qq-58,01011209040-qq-d-201,Largus,Spec S,固定式強化ゴム|マウントレス,6k|6k,,,30段階調整,,,78000,93000,,,20191023初期
トヨタ,RAV4,AXAH52/AXAH54/MXAA52/MXAA54,2019/04～,AXAH52/MXAA52:2WD<br>AXAH54/MXAA54:4WD,,Fr：732mm～800mm<br>Rr：718mm～780mm,78000,,296101,01011209117-qq-14k,01011209117-qq-d-14k,Largus,Spec S,固定式強化ゴム|マウントレス,6k|6k,732mm～800mm|718mm～780mm,-67mm～+1mm|-83mm～-21mm,32段階調整,車高調整範囲とダウン量はAXAH54のデータ,,78000,93000,,,20200701追加
トヨタ,RAV4,SXA10C/SXA10G/SXA10W/SXA11G/SXA11W,,4WD,,Fr：670mm～802mm<br>Rr：770mm～822mm,78000,,248239,01011209077-qq-59,01011209077-qq-d-202,Largus,Spec S,固定式強化ゴム|マウントレス,6k|6k,670mm～802mm|770mm～822mm,,32段階調整,,,78000,93000,,,20191023初期
トヨタ,SAI,AZK10,,2WD,,Fr：615mm～700mm<br>Rr：625mm～665mm,73000,,248665,01011209050-qq-69,01011209050-qq-d-209,Largus,Spec S,固定式強化ゴム|マウントレス,6k|6k,615mm～700mm|625mm～665mm,,32段階調整,,,73000,88000,,,20191023初期
トヨタ,WiLL Vi,NCP19,,2WD,,Fr：553mm～665mm<br>Rr：607mm～645mm,73000,,248447,01011209022-qq-90,01011209022-qq-d-216,Largus,Spec S,固定式強化ゴム|マウントレス,5k|3k,553mm～665mm|607mm～645mm,,32段階調整,,,73000,88000,,,20191023初期
トヨタ,WiLL VS,ZZE128/ZZE127,,2WD,,Fr：590mm～660mm<br>Rr：595mm～638mm,73000,,248208,01011209046-qq-91,01011209046-qq-d-217,Largus,Spec S,固定式強化ゴム|固定式強化ゴム,5k|8k,590mm～660mm|595mm～638mm,,32段階調整,,,73000,88000,,,20191023初期
トヨタ,アイシス,ANM10G/ANM10W/ZNM10G/ZNM10W,,2WD,,Fr：620mm～695mm<br>Rr：615mm～663mm,74000,,248211,01011209048-qq-109,01011209048-qq-d-230,Largus,Spec S,固定式強化ゴム|マウントレス,6k|5.5k,620mm～695mm|615mm～663mm,-55mm～+20mm|-75mm～-27mm,32段階調整,,,74000,89000,,,20191023初期
トヨタ,アイシス,ANM15G/ANM15W,,4WD,,Fr：625mm～700mm<br>Rr：630mm～665mm,74000,,248663,01011209048-qq-110,01011209048-qq-d-231,Largus,Spec S,固定式強化ゴム|マウントレス,6k|5.5k,625mm～700mm|630mm～665mm,-70mm～+5mm|-95mm～-60mm,32段階調整,,,74000,89000,,,20191023初期
トヨタ,アイシス,ZGM10G/ZGM10W/ZGM11G/ZGM11W,,2WD,,Fr：630mm～730mm<br>Rr：620mm～665mm,74000,,248212,01011209048-qq-111,01011209048-qq-d-232,Largus,Spec S,固定式強化ゴム|マウントレス,6k|5.5k,630mm～730mm|620mm～665mm,-50mm～+50mm|-75mm～-30mm,32段階調整,,,74000,89000,,,20191023初期
トヨタ,アイシス,ZGM15G/ZGM15W,,4WD,,,74000,,248664,01011209048-qq-112,01011209048-qq-d-233,Largus,Spec S,固定式強化ゴム|マウントレス,6k|5.5k,,-65mm～±0mm|-95mm～-60mm,32段階調整,,,74000,89000,,,20191023初期
トヨタ,アクア,NHP10,,2WD,G's/GRスポーツ適合可<br>クロスオーバー除く,Fr：590mm～660mm<br>Rr：590mm～625mm,75000,,248220,01011209053-qq-121,01011209053-qq-d-241,Largus,Spec S,マウントレス|マウントレス,5k|2.5k,590mm～660mm|590mm～625mm,,32段階調整,,,75000,90000,,,20191023初期
トヨタ,アクア,NHP10H,,2WD,,Fr：601mm～677mm<br>Rr：608mm～666mm,77000,,248506,01011209110-qq-9k,01011209110-qq-d-9k,Largus,Spec S,マウントレス|マウントレス,5k|2.5k,601mm～677mm|608mm～666mm,-70mm～+6mm|-69mm～-11mm,32段階調整,,,77000,92000,,,20191023初期
トヨタ,アバロン,MCX10,,2WD,,Fr：626mm～680mm<br>Rr：596mm～691mm,73000,,248649,01011209031-qq-156,01011209031-qq-d-276,Largus,Spec S,マウントレス|固定式強化ゴム,7k|3k,626mm～680mm|596mm～691mm,,32段階調整,,,73000,88000,,,20191023初期
