自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,スプリングレート kgf/mm(F/R),基準ダウン量 mm(F/R),推奨車高調整範囲 mm(F/R),備考,注意事項,定価,SET価格
日産,シルビア,S13,1988/05～1993/10,,,80500,,305973,HS-N01S-qq-e-14,HS-N01S-qq-e-d-14,HS-N01S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,8(6・10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
日産,シルビア,S14,1993/10～1999/01,,,80500,,305974,HS-N02S-qq-e-15,HS-N02S-qq-e-d-15,HS-N02S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,8(6・10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
日産,シルビア,S15,1999/01～2002/11,,,80500,,305975,HS-N03S-qq-e-16,HS-N03S-qq-e-d-16,HS-N03S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,8(6・10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
日産,スカイライン,CPV35,2001/06～2007/10,,,80500,,305976,HS-N12DT-qq-e-23,HS-N12DT-qq-e-d-23,HS-N12DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/101-109<br>自由長 mm(F/R):200/190,12(10・14・16)/11<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リア:減衰力調整時はダンパー脱着が必要<br>リアスプリング専用品の為変更不可<br>受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
日産,スカイライン,ER34,1998/05～2002/08,,,80500,,305979,HS-N24DT-qq-e-20,HS-N24DT-qq-e-d-20,HS-N24DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/250,8(6・10・12)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リア下部取付形状要確認(リアフランジ:コの字型採用。車両側丸型フランジの場合は要確認。)<br>受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
日産,スカイライン,HCR32,1989/05～1993/08,,,80500,,305980,HS-N27DT-qq-e-66k,HS-N27DT-qq-e-d-66k,HS-N27DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,8(6・10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,寒冷地仕様装着車不可<br>受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
日産,スカイラインGT-R,BNR32,1989/08～1993/08,,,80500,,305978,HS-N21DT-qq-e-17,HS-N21DT-qq-e-d-17,HS-N21DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,10(8・12・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
日産,ステージア,WGC34,1996/09～2001/10,,,80500,,305982,HS-N52S-qq-e-67k,HS-N52S-qq-e-d-67k,HS-N52S,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/250,8(6・10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
日産,フェアレディZ,Z33,2002/07～2008/12,,,80500,,305977,HS-N12DT-qq-e-27,HS-N12DT-qq-e-d-27,HS-N12DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/101-109<br>自由長 mm(F/R):200/190,12(10・14・16)/11<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リア:減衰力調整時はダンパー脱着が必要<br>リアスプリング専用品の為変更不可<br>受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
日産,フェアレディZ,Z34,2008/12～,,,80500,,305981,HS-N28S-qq-e-68k,HS-N28S-qq-e-d-68k,HS-N28S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/101-109<br>自由長 mm(F/R):200/190,12(10・14・16)/11<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リア:減衰力調整時はダンパー脱着が必要<br>リアスプリング専用品の為変更不可,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
