自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,スプリングレート kgf/mm(F/R),基準ダウン量 mm(F/R),推奨車高調整範囲 mm(F/R),備考,注意事項,定価,SET価格
日産,シルビア,S14,93/10～99/01,,タイプD,120400,,306026,PN002P-D-qq-e-28k,PN002P-D-qq-e-d-28k,PN002P-D,RACING GEAR,ZX DAMPER タイプD,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(8)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-60/-55,-70～-50/-65～-45,フロントフランジキャンバー調整式,,172000,132000
日産,シルビア,S14,93/10～99/01,,,112000,,306028,PN002P-qq-e-7k,PN002P-qq-e-d-7k,PN002P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,8(10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-40,-60～-40/-50～-30,フロントフランジキャンバー調整式,,160000,123800
日産,シルビア,S15,99/01～02/11,,<div>タイプD</div><div>スプリングレス</div>,103600,,306041,PN015P-D-SP-qq-e-61k,PN015P-D-SP-qq-e-d-61k,PN015P-D-SP,RACING GEAR,ZX DAMPER タイプD スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(8)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-45,-50～-30/-55～-35,フロントフランジキャンバー調整式,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,148000,115700
日産,シルビア,S15,99/01～02/11,,スプリングレス,103600,,306043,PN015P-SP-qq-e-40k,PN015P-SP-qq-e-d-40k,PN015P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,8(10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-30,-50～-30/-40～-20,フロントフランジキャンバー調整式,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,148000,115700
日産,シルビア,S15,99/01～02/11,,タイプD,120400,,306040,PN015P-D-qq-e-29k,PN015P-D-qq-e-d-29k,PN015P-D,RACING GEAR,ZX DAMPER タイプD,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(8)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-45,-50～-30/-55～-35,フロントフランジキャンバー調整式,,172000,132000
日産,シルビア,S15,99/01～02/11,,,112000,,306042,PN015P-qq-e-8k,PN015P-qq-e-d-8k,PN015P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,8(10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-30,-50～-30/-40～-20,フロントフランジキャンバー調整式,,160000,123800
日産,シルビア/180SX,S13,88/05～99/01,,<div>タイプD</div><div>スプリングレス</div>,103600,,306023,PN001P-D-SP-qq-e-59k,PN001P-D-SP-qq-e-d-59k,PN001P-D-SP,RACING GEAR,ZX DAMPER タイプD スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(8)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-60/-65,-70～-50/-75～-55,フロントフランジキャンバー調整式,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,148000,115700
日産,シルビア/180SX,S13,88/05～99/01,,スプリングレス,103600,,306025,PN001P-SP-qq-e-38k,PN001P-SP-qq-e-d-38k,PN001P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,8(10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-35,-60～-40/-45～-25,フロントフランジキャンバー調整式,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,148000,115700
日産,シルビア/180SX,S13,88/05～99/01,,タイプD,120400,,306022,PN001P-D-qq-e-27k,PN001P-D-qq-e-d-27k,PN001P-D,RACING GEAR,ZX DAMPER タイプD,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(8)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-60/-65,-70～-50/-75～-55,フロントフランジキャンバー調整式,,172000,132000
日産,シルビア/180SX,S13,88/05～99/01,,,112000,,306024,PN001P-qq-e-6k,PN001P-qq-e-d-6k,PN001P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,8(10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-35,-60～-40/-45～-25,フロントフランジキャンバー調整式,,160000,123800
日産,スカイライン,ECR33,93/08～99/01,,<div>タイプD</div><div>スプリングレス</div>,98000,,306035,PN005P-D-SP-qq-e-63k,PN005P-D-SP-qq-e-d-63k,PN005P-D-SP,RACING GEAR,ZX DAMPER タイプD スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(12)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-45/-55,-55～-35/-65～-45,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
日産,スカイライン,ECR33,93/08～99/01,,スプリングレス,98000,,306037,PN005P-SP-qq-e-42k,PN005P-SP-qq-e-d-42k,PN005P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,10(12・14)/8(10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-35,-50～-30/-45～-25,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
日産,スカイライン,ECR33,93/08～99/01,,タイプD,114800,,306034,PN005P-D-qq-e-31k,PN005P-D-qq-e-d-31k,PN005P-D,RACING GEAR,ZX DAMPER タイプD,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(12)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-45/-55,-55～-35/-65～-45,,,164000,126600
日産,スカイライン,ECR33,93/08～99/01,,,106400,,306036,PN005P-qq-e-10k,PN005P-qq-e-d-10k,PN005P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,10(12・14)/8(10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-35,-50～-30/-45～-25,,,152000,118400
日産,スカイライン,ER34,98/05～02/08,,<div>タイプD</div><div>スプリングレス</div>,98000,,306045,PN016P-D-SP-qq-e-64k,PN016P-D-SP-qq-e-d-64k,PN016P-D-SP,RACING GEAR,ZX DAMPER タイプD スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(12)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-55/-55,-65～-45/-65～-45,リア下部取付形状要確認,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
