自動車メーカー,車種,型式,年式,適合詳細,タイプ,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F/R),減衰力(F/R),スプリング kgf/mm(F/R),仕様,備考,注意事項,定価,送料,SET価格,C_SET価格,,規格1,パターン数,管理用コード,管理用コード
日産,シルビア,S15,,4WD車取付不可,Type-1,91726,82861,242757,FK-BASIC-qq-e-h-54k,FK-BASIC-qq-e-d-h-54k,FINAL KONNEXION,STEALTH Basic,調整式/固定式,倒立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,スカイライン,BCNR33/BNR34,,4WD車取付不可,Type-1,91726,82861,242760,FK-BASIC-qq-e-h-65k,FK-BASIC-qq-e-d-h-65k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,10/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,スカイライン,BNR32,,4WD車取付不可,Type-1,91726,82861,243122,FK-BASIC-qq-e-h-62k,FK-BASIC-qq-e-d-h-62k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,10/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,スカイライン,R32,,4WD車取付不可,Type-1,91726,82861,242759,FK-BASIC-qq-e-h-61k,FK-BASIC-qq-e-d-h-61k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,スカイライン,R33,,4WD車取付不可,Type-1,91726,82861,242525,FK-BASIC-qq-e-h-63km/FK-BASIC-qq-e-h-63kk,FK-BASIC-qq-e-d-h-63km/FK-BASIC-qq-e-d-h-63kk,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,リアブラケット丸型・コの字型をご指定下さい,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,リアブラケット,2,FK-BASIC-qq-e-h-63k,FK-BASIC-qq-e-d-h-63k
日産,スカイライン,R34,,4WD車取付不可,Type-1,91726,82861,242496,FK-BASIC-qq-e-h-64km/FK-BASIC-qq-e-h-64kk,FK-BASIC-qq-e-d-h-64km/FK-BASIC-qq-e-d-h-64kk,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,リアブラケット丸型・コの字型をご指定下さい,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,リアブラケット,2,FK-BASIC-qq-e-h-64k,FK-BASIC-qq-e-d-h-64k
日産,スカイライン,V35,,2DR/4DR<br>4WD車取付不可,Type-1,91726,82861,242936,FK-BASIC-qq-e-h-66k,FK-BASIC-qq-e-d-h-66k,FINAL KONNEXION,STEALTH Basic,固定式/別体式,正立式/正立式,12/9(特別形状),フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,ステージア,WGC34,,2WD,Type-1,91726,82861,242585,FK-BASIC-qq-e-h-68k,FK-BASIC-qq-e-d-h-68k,FINAL KONNEXION,STEALTH Basic,調整式/固定式,倒立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,ステージア,WGNC34,,4WD,Type-1,91726,82861,242466,FK-BASIC-qq-e-h-69km/FK-BASIC-qq-e-h-69kk,FK-BASIC-qq-e-d-h-69km/FK-BASIC-qq-e-d-h-69kk,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,リアブラケット丸型・コの字型をご指定下さい,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,リアブラケット,2,FK-BASIC-qq-e-h-69k,FK-BASIC-qq-e-d-h-69k
日産,セフィーロ,A31,,4WD車取付不可,Type-1,91726,82861,243121,FK-BASIC-qq-e-h-60k,FK-BASIC-qq-e-d-h-60k,FINAL KONNEXION,STEALTH Basic,調整式/固定式,倒立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,フーガ,Y50,,4WD車取付不可,Type-1,91726,82861,242762,FK-BASIC-qq-e-h-71k,FK-BASIC-qq-e-d-h-71k,FINAL KONNEXION,STEALTH Basic,固定式/別体式,正立式/正立式,12/9(特別形状),フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,フーガ,Y51/HY51,,4WD車取付不可,Type-1,91726,82861,242939,FK-BASIC-qq-e-h-72k,FK-BASIC-qq-e-d-h-72k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,14/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,フェアレディZ,Z33,,4WD車取付不可,Type-1,91726,82861,242938,FK-BASIC-qq-e-h-70k,FK-BASIC-qq-e-d-h-70k,FINAL KONNEXION,STEALTH Basic,固定式/別体式,正立式/正立式,12/9(特別形状),フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,ローレル,C33,,4WD車取付不可,Type-1,91726,82861,242758,FK-BASIC-qq-e-h-56k,FK-BASIC-qq-e-d-h-56k,FINAL KONNEXION,STEALTH Basic,調整式/固定式,倒立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,ローレル,C34,,4WD車取付不可,Type-1,91726,82861,242935,FK-BASIC-qq-e-h-57k,FK-BASIC-qq-e-d-h-57k,FINAL KONNEXION,STEALTH Basic,調整式/固定式,倒立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,ローレル,C35,,2WD,Type-1,91726,82861,243120,FK-BASIC-qq-e-h-58k,FK-BASIC-qq-e-d-h-58k,FINAL KONNEXION,STEALTH Basic,調整式/固定式,倒立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
日産,ローレル,C35,,4WD,Type-1,91726,82861,242524,FK-BASIC-qq-e-h-59km/FK-BASIC-qq-e-h-59kk,FK-BASIC-qq-e-d-h-59km/FK-BASIC-qq-e-d-h-59kk,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,リアブラケット丸型・コの字型をご指定下さい,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,リアブラケット,2,FK-BASIC-qq-e-h-59k,FK-BASIC-qq-e-d-h-59k
ホンダ,インテグラ,DC2,,4WD車取付不可,Type-1,91726,82861,242588,FK-BASIC-qq-e-h-77k,FK-BASIC-qq-e-d-h-77k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,10/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
ホンダ,シビック,EG6,,4WD車取付不可,Type-1,91726,82861,242763,FK-BASIC-qq-e-h-75k,FK-BASIC-qq-e-d-h-75k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,10/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
ホンダ,シビック,EK9,,4WD車取付不可,Type-1,91726,82861,242587,FK-BASIC-qq-e-h-76k,FK-BASIC-qq-e-d-h-76k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/7,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
マツダ,RX-7,FD3S,,4WD車取付不可,Type-1,91726,82861,242586,FK-BASIC-qq-e-h-74k,FK-BASIC-qq-e-d-h-74k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/12,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
マツダ,RX-7,FD3S,,4WD車取付不可,Type-2,91726,82861,242899,FK-BASIC-qq-e-h-127k,FK-BASIC-qq-e-d-h-127k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/12,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
マツダ,ロードスター,NA6/NB6/NA8/NB8,,4WD車取付不可,Type-1,91726,82861,243123,FK-BASIC-qq-e-h-73k,FK-BASIC-qq-e-d-h-73k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,8/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
三菱,ランサーエボリューションX,CZ4A,,4WD車取付不可,Type-1,91726,82861,242940,FK-BASIC-qq-e-h-78k,FK-BASIC-qq-e-d-h-78k,FINAL KONNEXION,STEALTH Basic,調整式/固定式,倒立式/正立式,10/7,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
レクサス,GS350/GS430,GRS191/UZS190,,4WD車取付不可,Type-1,91726,82861,242932,FK-BASIC-qq-e-h-45k,FK-BASIC-qq-e-d-h-45k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
レクサス,GS350/GS430,GRS191/UZS190,,4WD車取付不可,Type-2,91726,82861,243085,FK-BASIC-qq-e-h-122k,FK-BASIC-qq-e-d-h-122k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
レクサス,GS350/GS430,GRS196,,4WD,Type-1,91726,82861,243116,FK-BASIC-qq-e-h-46k,FK-BASIC-qq-e-d-h-46k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
レクサス,GS350/GS430,GRS196,,4WD,Type-2,91726,82861,242560,FK-BASIC-qq-e-h-123k,FK-BASIC-qq-e-d-h-123k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
レクサス,GS450h,GWL10,,4WD車取付不可,Type-1,118317,109453,242754,FK-BASIC-qq-e-h-47k,FK-BASIC-qq-e-d-h-47k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/12,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,128000,2000,142200,133200,,,,,
レクサス,GS450h,GWL10,,4WD車取付不可,Type-2,118317,109453,242898,FK-BASIC-qq-e-h-124k,FK-BASIC-qq-e-d-h-124k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/12,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,128000,2000,142200,133200,,,,,
レクサス,HS250h,ANF10,,後期未確認<br>4WD車取付不可,Type-1 STD,91726,82861,242755,FK-BASIC-qq-e-h-50k,FK-BASIC-qq-e-d-h-50k,FINAL KONNEXION,STEALTH Basic,調整式/別体式,倒立式/正立式,8/5(特別形状),フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
レクサス,HS250h,ANF10,,後期未確認<br>4WD車取付不可,Type-1 ハード,91726,82861,243118,FK-BASIC-qq-e-h-51k,FK-BASIC-qq-e-d-h-51k,FINAL KONNEXION,STEALTH Basic,調整式/別体式,倒立式/正立式,10/6(特別形状),フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
レクサス,IS F,USE20,,4WD車取付不可,Type-1,91726,82861,242753,FK-BASIC-qq-e-h-44k,FK-BASIC-qq-e-d-h-44k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
レクサス,IS F,USE20,,4WD車取付不可,Type-2,91726,82861,242559,FK-BASIC-qq-e-h-121k,FK-BASIC-qq-e-d-h-121k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
レクサス,IS250/IS350,GSE20/GSE21,,4WD車取付不可,Type-1,91726,82861,242931,FK-BASIC-qq-e-h-42k,FK-BASIC-qq-e-d-h-42k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
レクサス,IS250/IS350,GSE20/GSE21,,4WD車取付不可,Type-2,91726,82861,243084,FK-BASIC-qq-e-h-119k,FK-BASIC-qq-e-d-h-119k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
レクサス,IS250/IS350,GSE25,,4WD,Type-1,91726,82861,242752,FK-BASIC-qq-e-h-43k,FK-BASIC-qq-e-d-h-43k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,ダウン量F(GSE25 4WD):0～-95<br>ダウン量R(GSE25 4WD):0～-80,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
レクサス,IS250/IS350,GSE25,,4WD,Type-2,91726,82861,242897,FK-BASIC-qq-e-h-120k,FK-BASIC-qq-e-d-h-120k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,ダウン量F(GSE25 4WD):0～-95<br>ダウン量R(GSE25 4WD):0～-80,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
レクサス,IS350,GSE31,,4WD車取付不可,Type-1,100590,91726,242582,FK-BASIC-qq-e-h-41k,FK-BASIC-qq-e-d-h-41k,FINAL KONNEXION,STEALTH Basic,固定式/別体式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,108000,2000,114200,105200
レクサス,IS350,GSE31,,4WD車取付不可,Type-2,100590,91726,242722,FK-BASIC-qq-e-h-118k,FK-BASIC-qq-e-d-h-118k,FINAL KONNEXION,STEALTH Basic,固定式/別体式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,108000,2000,114200,105200
レクサス,LS460,USF40,,4WD車取付不可<br>エアサス車取付可,Type-1,100590,91726,242933,FK-BASIC-qq-e-h-48k,FK-BASIC-qq-e-d-h-48k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,16/9,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,108000,2000,139200,130200
レクサス,RC F,USC10,,4WD車取付不可,Type-1,118317,109453,242929,FK-BASIC-qq-e-h-39k,FK-BASIC-qq-e-d-h-39k,FINAL KONNEXION,STEALTH Basic,固定式/別体式,正立式/正立式,14/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,128000,2000,132200,123200
レクサス,RC F,USC10,,4WD車取付不可,Type-2,118317,109453,242896,FK-BASIC-qq-e-h-116k,FK-BASIC-qq-e-d-h-116k,FINAL KONNEXION,STEALTH Basic,固定式/別体式,正立式/正立式,14/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,128000,2000,132200,123200
レクサス,RC Fスポーツ,AVC10,,4WD車取付不可,Type-1,118317,109453,242930,FK-BASIC-qq-e-h-40k,FK-BASIC-qq-e-d-h-40k,FINAL KONNEXION,STEALTH Basic,固定式/別体式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,128000,2000,132200,123200
