自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,ダウン量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,バネレート kg/mm(F/R),バンプカット量 (F/R),マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
トヨタ,RAV4,AXAH54,2019/04～,4WD,2500,ハイブリッド,,Fr：+20～+30mm<br>Rr：+25～+35mm,27100,,265495,AXAH54UK-qq-e-f1-198k,AXAH54UK-qq-e-d-198k,4511478257033,AXAH54UK,TANABE,DEVIDE UP210,1台分,3.2/4.0,純正バンプカット不要,ハイブリッドX,,,46000,43100
トヨタ,RAV4,MXAA54,2019/04～,4WD,2000,NA,,Fr：+30～+40mm<br>Rr：+30～+40mm,27100,,265497,AXAH54UK-qq-e-f1-199k,AXAH54UK-qq-e-d-199k,4511478257033,AXAH54UK,TANABE,DEVIDE UP210,1台分,3.2/4.0,純正バンプカット不要,アドベンチャー,,,46000,43100
トヨタ,ハリアー,ASU60W,2017/06～,FF,2000,ターボ,,データなし,25970,,265317,AVU65WUK-qq-e-f1-2,AVU65WUK-qq-e-d-2,4511478255916,AVU65WUK,TANABE,DEVIDE UP210,1台分,2.8/7.3,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,44000,41900
トヨタ,ハリアー,ASU65W,2017/06～,4WD,2000,ターボ,,Fr：+20～+30mm<br>Rr：+20～+30mm,25970,,265320,AVU65WUK-qq-e-f1-1,AVU65WUK-qq-e-d-1,4511478255916,AVU65WUK,TANABE,DEVIDE UP210,1台分,2.8/7.3,純正バンプカット不要,プログレス(MC後),,,44000,41900
トヨタ,ハリアー,ZSU60W,2013/12～,FF,2000,NA,,Fr：+35～+45mm<br>Rr：+20～+30mm,25970,,265310,AVU65WUK-qq-e-f1-4,AVU65WUK-qq-e-d-4,4511478255916,AVU65WUK,TANABE,DEVIDE UP210,1台分,2.8/7.3,純正バンプカット不要,エレガンス(MC前),,,44000,41900
トヨタ,ハリアー,ZSU65W,2013/12～,4WD,2000,NA,MC前装着可,Fr：+30～+40mm<br>Rr：+25～+35mm,25970,,265314,AVU65WUK-qq-e-f1-3,AVU65WUK-qq-e-d-3,4511478255916,AVU65WUK,TANABE,DEVIDE UP210,1台分,2.8/7.3,純正バンプカット不要,エレガンス(MC後),,,44000,41900,,
トヨタ,ハリアーハイブリッド,AVU65W,2014/01～2017/06,4WD,2500,ハイブリッド,,Fr：+20～+30mm<br>Rr：+20～+30mm,25970,,265323,AVU65WUK-qq-e-f1-1095,AVU65WUK-qq-e-d-1095,4511478255916,AVU65WUK,TANABE,DEVIDE UP210,1台分,2.8/7.3,純正バンプカット不要,プレミアム(MC前),,,44000,41900,,
トヨタ,ハリアーハイブリッド,AVU65W,2017/06～,4WD,2500,ハイブリッド,,Fr：+25～+35mm<br>Rr：+15～+25mm,25970,,265325,AVU65WUK-qq-e-f1-207k,AVU65WUK-qq-e-d-207k,4511478255916,AVU65WUK,TANABE,DEVIDE UP210,1台分,2.8/7.3,純正バンプカット不要,プログレス(MC後),,,44000,41900,,
トヨタ,ピクシスジョイ,LA250A,2016/08～,FF,660,NA,,データなし,17349,,265341,LA250SUK-qq-e-f1-253k,LA250SUK-qq-e-d-253k,4511478256166,LA250SUK,TANABE,DEVIDE UP210,1台分,2.1/2.5,,現車未確認,未計測の為、車高データなし,,29000,32700,,
トヨタ,ピクシスジョイ,LA260A,2016/08～,4WD,660,NA,,データなし,17349,,265337,LA260SUK-qq-e-f1-254k,LA260SUK-qq-e-d-254k,4511478256098,LA260SUK,TANABE,DEVIDE UP210,1台分,2.2/2.2,25/なし,現車未確認(Cシリーズ),未計測の為、車高データなし,,29000,32700,,
トヨタ,ライズ,A200A,2019/11～,FF,1000,ターボ,,データなし,20319,,265406,A200SUK-qq-e-f1-208k,A200SUK-qq-e-d-208k,4511478257545,A200SUK,TANABE,DEVIDE UP210,1台分,2.4/2.3,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,34000,35800,,
トヨタ,ライズ,A210A,2019/11～,4WD,1000,ターボ,,Fr：+25～+35mm<br>Rr：+25～+35mm,20319,,265408,A210AUK-qq-e-f1-209k,A210AUK-qq-e-d-209k,4511478257507,A210AUK,TANABE,DEVIDE UP210,1台分,2.3/3.4,純正バンプカット不要,G,,,34000,35800,,
