自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,車高調整幅,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,推奨車高 mm(F/R),バネレート kg/mm(F/R),仕様,フロントキャンバー調整,マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,スイフト,ZC71S,2007/05～2010/09,FF,1200,NA,,Fr：-4～-57mm<br>Rr：-6～-42mm,60346,,264316,CRZC31SK-qq-e-f1-154,CRZC31SK-qq-e-d-154,4511478354121,CRZC31SK,TANABE,SUSTEC PRO CR,-43/-33,3.0/3.0,減衰力固定式<br>ネジ式,,1.2XG,,,79800,74900,,
スズキ,スイフト,ZC72S,2010/09～2017/01,FF,1200,NA,,Fr：-4～-40mm<br>Rr：-6～-48mm,60346,,264321,CRZC32SK-qq-e-f1-156,CRZC32SK-qq-e-d-156,4511478354138,CRZC32SK,TANABE,SUSTEC PRO CR,-23/-29,4.0/4.0,減衰力固定式<br>ネジ式,,XG,,,79800,74900,,
スズキ,スイフト,ZD11S,2004/11～2010/09,4WD,1300,NA,,Fr：0～-45mm<br>Rr：-30～-69mm,60346,,264322,CRZD11SK-qq-e-f1-157,CRZD11SK-qq-e-d-157,4511478354145,CRZD11SK,TANABE,SUSTEC PRO CR,-23/-35,4.0/3.0,減衰力固定式<br>ネジ式,,1.3XG,,,79800,74900,,
スズキ,スイフト,ZD21S,2004/11～2010/09,4WD,1500,NA,,データなし,60346,,264617,CRZD11SK-qq-e-f1-138k,CRZD11SK-qq-e-d-138k,4511478354145,CRZD11SK,TANABE,SUSTEC PRO CR,データなし,3.0/3.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,スプラッシュ,XB32S,2008/10～2014/08,FF,1200,NA,,Fr：+1～-43mm<br>Rr：-13～-49mm,60346,,264319,CRZC31SK-qq-e-f1-160,CRZC31SK-qq-e-d-160,4511478354121,CRZC31SK,TANABE,SUSTEC PRO CR,-33/-49,3.0/3.0,減衰力固定式<br>ネジ式,,ベースグレード,,,79800,74900,,
スズキ,スペーシア,MK32S,2013/03～2015/05,FF,660,NA,,データなし,60346,,264646,CRMK32SK-qq-e-f1-167k,CRMK32SK-qq-e-d-167k,4511478354152,CRMK32SK,TANABE,SUSTEC PRO CR,データなし,3.0/3.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,スペーシアカスタム,MK32S,2013/06～2015/05,FF(4WD装着不可),660,ターボ,,Fr：-12～-50mm<br>Rr：-20～-47mm,60346,,264257,CRMK32SK-qq-e-f1-161,CRMK32SK-qq-e-d-161,4511478354152,CRMK32SK,TANABE,SUSTEC PRO CR,-30/-33,3.0/3.0,減衰力固定式<br>ネジ式,,TS,,,79800,74900,,
スズキ,スペーシアカスタム,MK53S,2017/12～,FF,660,ハイブリッド,,Fr：-26～-55mm<br>Rr：-39～-64mm,60346,,264647,CRMK53SK-qq-e-f1-168k,CRMK53SK-qq-e-d-168k,4511478356705,CRMK53SK,TANABE,SUSTEC PRO CR,-31/-47,3.0/3.0,,不可,ハイブリッドXS,フロント/リア共に純正アッパーマウント使用,,79800,74900,,
スズキ,スペーシアカスタムZ,MK42S,2016/12～2017/12,FF,660,ターボ,全グレード装着可,Fr：-9～-55mm<br>Rr：-34～-61mm,60346,,264648,CRMK42SK-qq-e-f1-169k,CRMK42SK-qq-e-d-169k,4511478356408,CRMK42SK,TANABE,SUSTEC PRO CR,-33/-42,3.0/3.0,減衰力固定式<br>ネジ式,,カスタムZ,,,79800,74900,,
スズキ,スペーシアギア,MK53S,2018/12～,4WD,660,ターボ,,Fr：-21～-49mm<br>Rr：-18～-45mm,60346,,264649,CRMK53SG4WDK-qq-e-f1-170k,CRMK53SG4WDK-qq-e-d-170k,4511478356767,CRMK53SG4WDK,TANABE,SUSTEC PRO CR,-28/-27,3.0/3.0,減衰力固定式<br>ネジ式,,ハイブリッドXZターボ,リア車高調整スペーサー式<br>フロント/リア共に純正アッパーマウント使用,,79800,74900,,
スズキ,セルボ,HG21S,2006/11～2009/12,FF(4WD装着可),660,NA,,Fr：-7～-54mm<br>Rr：-24～-50mm,60346,,264650,CRMH21SMCK-qq-e-f1-171k,CRMH21SMCK-qq-e-d-171k,4511478354213,CRMH21SMCK,TANABE,SUSTEC PRO CR,-41/-40,3.0/3.0,減衰力固定式<br>ネジ式,,G,,,79800,74900,,
スズキ,セルボ,HG21S,2006/11～2009/12,FF(4WD装着可),660,ターボ,,Fr：-15～-55mm<br>Rr：-22～-70mm,60346,,264249,CRMH21SMCK-qq-e-f1-162,CRMH21SMCK-qq-e-d-162,4511478354213,CRMH21SMCK,TANABE,SUSTEC PRO CR,-44/-40,3.0/3.0,減衰力固定式<br>ネジ式,,T,,,79800,74900,,
スズキ,ハスラー,MR31S,2014/01～,FF専用,660,NA,,Fr：-25～-60mm<br>Rr：-34～-60mm,60346,,264453,CRMR31SK-qq-e-f1-165,CRMR31SK-qq-e-d-165,4511478354169,CRMR31SK,TANABE,SUSTEC PRO CR,-38/-40,3.0/2.0,減衰力固定式<br>ネジ式,,G,リア車高調整スペーサー式,,79800,74900,,
スズキ,ハスラー,MR31S,2014/01～,FF専用,660,ターボ,,Fr：-21～-60mm<br>Rr：-34～-60mm,60346,,264259,CRMR31SK-qq-e-f1-166,CRMR31SK-qq-e-d-166,4511478354169,CRMR31SK,TANABE,SUSTEC PRO CR,-40/-40,3.0/2.0,減衰力固定式<br>ネジ式,,Xターボ,リア車高調整スペーサー式,,79800,74900,,
