自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,156スポーツワゴン,932B1,2001/01～2002/08,,2.5 V6 Qシステム,フロント,19763,,282732,MX72-EIP080-qq-e-3433k,出さない,,EIP080,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932B1,2001/01～2002/08,,2.5 V6 Qシステム,リア,19763,,282415,MX72-EIP115-qq-e-6892k,出さない,,EIP115,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,形状図要確認,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932B1,2001/01～2002/08,,2.5 V6 Qシステム,リア,19763,,282736,MX72-EIP081-qq-e-5895k,出さない,,EIP081,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,形状図要確認,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932B2,2000/04～2002/09,,2.0 TS/セレスピード,フロント,19763,,288379,MX72-EIP080-qq-e-3431k,出さない,,EIP080,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932B2,2000/04～2002/09,,2.0 TS/セレスピード,リア,19763,,287121,MX72-EIP115-qq-e-6890k,出さない,,EIP115,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,形状図要確認,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932B2,2000/04～2002/09,,2.0 TS/セレスピード,リア,19763,,290191,MX72-EIP081-qq-e-5893k,出さない,,EIP081,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,形状図要確認,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932BW,2002/09～,,2.5 V6 Qシステム,フロント,19763,,285451,MX72-EIP080-qq-e-3434k,出さない,,EIP080,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932BW,2002/09～,,2.5 V6 Qシステム,リア,19763,,281957,MX72-EIP081-qq-e-5896k,出さない,,EIP081,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,形状図要確認,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932BW,2002/09～,,2.5 V6 Qシステム,リア,19763,,283341,MX72-EIP115-qq-e-6893k,出さない,,EIP115,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,形状図要確認,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932BXB,2003/11～2006/04,,GTA(ローター径:φ304),フロント,19763,,286973,MX72-EIP112-qq-e-3435k,出さない,,EIP112,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932BXB,2003/11～2006/04,,GTA(ローター径:φ304),リア,19763,,288969,MX72-EIP115-qq-e-5897k,出さない,,EIP115,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932BXB,2004/12～,,GTA(ローター径:φ330),フロント,19763,,286968,MX72-EIP111-qq-e-3436k,出さない,,EIP111,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932BXB,2004/12～,,GTA(ローター径:φ330),リア,19763,,286047,MX72-EIP115-qq-e-5898k,出さない,,EIP115,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932BXW,2002/09～,,2.0 JTS,フロント,19763,,282731,MX72-EIP080-qq-e-3432k,出さない,,EIP080,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932BXW,2002/09～,,2.0 JTS,リア,19763,,286336,MX72-EIP081-qq-e-5894k,出さない,,EIP081,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,形状図要確認,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,156スポーツワゴン,932BXW,2002/09～,,2.0 JTS,リア,19763,,288045,MX72-EIP115-qq-e-6891k,出さない,,EIP115,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,形状図要確認,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,159,93932,2006/02～2011/07,,3.2 JTS Q4,フロント,19763,,282410,MX72-EIP111-qq-e-3437k,出さない,,EIP111,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,159スポーツワゴン,93932,2007/04～2011/03,,3.2 JTS Q4,フロント,19763,,289857,MX72-EIP111-qq-e-3438k,出さない,,EIP111,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,164,164K1H/164AG,1992/10～1999,,3.0i V6 24V Q4,リア,19763,,288380,MX72-EIP081-qq-e-5899k,出さない,,EIP081,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,166,936A1/936A2,1999/09～,,2.5 V6 24V/3.0 V6 24V(4POT),フロント,19763,,283334,MX72-EIP111-qq-e-3439k,出さない,,EIP111,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
