自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
スズキ,アルト/アルトハッスル,CS22S,H2/3～H6/9,660,4WD・DOHCターボ・3ドア・3型・No.100001～250000,リア,14578,,281203,TYPER-EP286-qq-e-8458k,TYPER-EP286-qq-e-d-8458k,4515693342864,EP286,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,アルト/アルトハッスル,CS22S,H2/3～H6/9,660,4WD・SOHC・DOHCターボ・3ドア・4型・No.250001～,フロント,14578,,281049,TYPER-EP237-qq-e-5866k,TYPER-EP237-qq-e-d-5866k,4515693342376,EP237,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,アルト/アルトハッスル,CS22S,H2/3～H6/9,660,4WD・SOHC・DOHCターボ・3ドア・4型・No.250001～,リア,14578,,281204,TYPER-EP286-qq-e-8459k,TYPER-EP286-qq-e-d-8459k,4515693342864,EP286,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,アルト/アルトハッスル,HA12S/HA12V/HA22S,H10/10～H17/1,660,四輪ディスク,リア,14578,,285104,TYPER-EP210-qq-e-9154k,出さない,4515693342109,EP210,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
スズキ,アルト/アルトハッスル,HA24S,H16/9～H21/12,660,,リア,14578,,287877,TYPER-EP210-qq-e-9155k,出さない,4515693342109,EP210,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
スズキ,アルト/アルトハッスル,HA36S,H27/3～,660,ターボRS,フロント,14578,,282452,TYPER-EP387-qq-e-8534k,出さない,4515693343878,EP387,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
スズキ,アルト/アルトワークス,HA22S,H10/10～H17/1,660,ワークス・RS/Z・4輪ディスク,リア,14578,,280953,TYPER-EP210-qq-e-8461k,TYPER-EP210-qq-e-d-8461k,4515693342109,EP210,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,アルトワークス,HA11S/HB11S,H6/9～H10/10,660,リアドラム,フロント,14578,,281050,TYPER-EP237-qq-e-5867k,TYPER-EP237-qq-e-d-5867k,4515693342376,EP237,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,アルトワークス,HA11S/HB11S/HA21S/HB21S,H6/9～H10/10,660,4輪ディスク,フロント,14578,,281051,TYPER-EP237-qq-e-5868k,TYPER-EP237-qq-e-d-5868k,4515693342376,EP237,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,アルトワークス,HA11S/HB11S/HA21S/HB21S,H6/9～H10/10,660,4輪ディスク,リア,14578,,281205,TYPER-EP286-qq-e-8460k,TYPER-EP286-qq-e-d-8460k,4515693342864,EP286,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,アルトワークス,HA36S,H27/12～,660,,フロント,14578,,281538,TYPER-EP387-qq-e-5869k,TYPER-EP387-qq-e-d-5869k,4515693343878,EP387,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,イグニス,FF21S,H26/12～,1300,,フロント,14578,,281539,TYPER-EP387-qq-e-5870k,TYPER-EP387-qq-e-d-5870k,4515693343878,EP387,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,エスクード/エスクードノマド,YD21S/YE21S,H27/10～,1600,,リア,14578,,281738,TYPER-EP488-qq-e-8463k,TYPER-EP488-qq-e-d-8463k,4515693344882,EP488,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,カプチーノ,EA11R/EA21R,H3/11～H10/10,660,,リア,14578,,281206,TYPER-EP286-qq-e-8464k,TYPER-EP286-qq-e-d-8464k,4515693342864,EP286,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,キザシ,RE91S/RF91S,H21/10～,2400,,リア,14578,,281316,TYPER-EP312-qq-e-8465k,TYPER-EP312-qq-e-d-8465k,4515693343120,EP312,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,シボレークルーズ,HR51S/HR81S,H13/10～H20/7,1300～1500,,フロント,14578,,288071,TYPER-EP387-qq-e-8535k,出さない,4515693343878,EP387,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
スズキ,スイフト,HT51S,H12/1～H17/5,1300,リアドラム,フロント,14578,,281540,TYPER-EP387-qq-e-5871k,TYPER-EP387-qq-e-d-5871k,4515693343878,EP387,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,スイフト,ZC11S/ZC21S,H16/11～H22/9,1300～1500,,フロント,14578,,281628,TYPER-EP430-qq-e-5873k,TYPER-EP430-qq-e-d-5873k,4515693344301,EP430,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
