自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,掛け,SET価格
スズキ,セルボ/セルボ・モード,CN22S,H3/9～H7/10,660,NA・3ドア・No.250001～370000,フロント,16672,,285698,SSM-EP259-qq-e-8079k,出さない,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,セルボ/セルボ・モード,CN22S,H3/9～H7/10,660,NA・5ドア・No.700001～870000,フロント,16672,,288498,SSM-EP259-qq-e-8080k,出さない,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,セルボ/セルボ・モード,CP22S,H3/9～H7/10,660,NA・3ドア・No.250001～370000,フロント,16672,,282880,SSM-EP259-qq-e-8081k,出さない,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,セルボ/セルボ・モード,CP22S,H3/9～H7/10,660,NA・5ドア・No.800001～870000,フロント,16672,,282881,SSM-EP259-qq-e-8082k,出さない,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
スズキ,ソリオ,MA15S,H23/2～H27/8,1300,,フロント,16672,,275052,SSM-EP430-qq-e-3651k,SSM-EP430-qq-e-d-3651k,4515693024302,EP430,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,ランディ,SC26/SNC26,H22/12～H28/8,2000,,フロント,16672,,275102,SSM-EP436-qq-e-3652k,SSM-EP436-qq-e-d-3652k,4515693024364,EP436,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,ランディ,SC26/SNC26,H22/12～H28/8,2000,,リア,16672,,275379,SSM-EP482-qq-e-8091k,SSM-EP482-qq-e-d-8091k,4515693024821,EP482,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,ワゴンR,CT21S,H5/9～H7/10,660,NA・No.100001～360000,フロント,16672,,274058,SSM-EP259-qq-e-3653k,SSM-EP259-qq-e-d-3653k,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スズキ,ワゴンR,CV21S,H5/9～H7/10,660,4WD・NA・No.100001～150000,フロント,16672,,274059,SSM-EP259-qq-e-3654k,SSM-EP259-qq-e-d-3654k,,EP259,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
スバル,BRZ,ZC6,H24/4～,2000,R/RA,フロント,16672,,274806,SSM-EP386-qq-e-3594k,SSM-EP386-qq-e-d-3594k,4515693023862,EP386,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,18500
