自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,164,164A/164AG/164B/168B/164K1P/164K1G/164KP,87/9～98/9,3.0i V6/3.0i V6 24V,リア,8000,,105419,ES1350451-qq-e-5319k,出さない,4547726421666,1350451,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,164,164K1H/164K1M/164K1C,94/2～99,3.0i V6 24V Q4,リア,8000,,102761,ES2551018-qq-e-5320k,出さない,4547726427101,2551018,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,164,,87/9～92,2.0 ターボ,リア,8000,,92322,ES1350451-qq-e-5317k,出さない,4547726421666,1350451,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,164,,92～,2.0 ツインスパーク,リア,8000,,85629,ES1350451-qq-e-5316k,出さない,4547726421666,1350451,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,164,,92～98/9,2.0i V6 ターボ,リア,8000,,105418,ES1350451-qq-e-5318k,出さない,4547726421666,1350451,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,166,936A1/936A2/936A11,99/9～,2.5 V6 24V/3.0 V6 24V<br>ブレンボ,リア,8000,,76836,ES2551018-qq-e-5321k,出さない,4547726427101,2551018,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,75,162/162B30,89/10～93,2.5i/3.0i V6<br>シングルセンサー車,フロント,9600,,120609,ES2510087-qq-e-5297k,出さない,4547726427026,2510087,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,75,162B40,89/10～93,1.8i ターボ/2.0i ツインスパーク<br>シングルセンサー車,フロント,9600,,113950,ES2510087-qq-e-5296k,出さない,4547726427026,2510087,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,GT,93720L,04/06～12/04,2.0 JTS,フロント,9600,,83358,ES2511007-qq-e-5326k,出さない,4547726427040,2511007,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,GT,93720L,04/06～12/04,2.0 JTS,リア,8000,,95418,ES2551685-qq-e-5327k,出さない,4547726427125,2551685,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,GT,93732L,04/06～12/04,3.2 GTA<br>ブレンボ,リア,8000,,82591,ES2551685-qq-e-5328k,出さない,4547726427125,2551685,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,GTV,91620G,04/07～,2.0 ツインスパーク/2.0 V6 ターボ<br>ATE,フロント,9600,,122378,ES2511007-qq-e-5335k,出さない,4547726427040,2511007,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,GTV,91620G,04/07～,2.0 ツインスパーク/2.0 V6 ターボ<br>ATE,リア,8000,,116043,ES2551472-qq-e-5336k,出さない,4547726427118,2551472,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,GTV,916C1/916C1B,95～98/02,3.0 V6<br>ブレンボ,フロント,12800,,102767,ES2910849-qq-e-5337k,出さない,4547726427248,2910849,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,16000,出さない
ALFAROMEO,GTV,916C1/916C1B,95～98/02,3.0 V6<br>ブレンボ,リア,8000,,82592,ES2650522-qq-e-5338k,出さない,4547726427187,2650522,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,GTV,916C1/916C1B,98/03～,3.0 V6<br>ブレンボ,フロント,12800,,116046,ES2910849-qq-e-5339k,出さない,4547726427248,2910849,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,16000,出さない
ALFAROMEO,GTV,916C1/916C1B,98/03～,3.0 V6<br>ブレンボ,リア,8000,,96223,ES2551472-qq-e-5340k,出さない,4547726427118,2551472,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,GTV,916C2A,95～98/1,2.0 ツインスパーク/2.0 V6 ターボ,リア,8000,,88930,ES2650522-qq-e-5332k,出さない,4547726427187,2650522,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,GTV,916C2A,95～98/1,2.0 ツインスパーク/2.0 V6 ターボ<br>ATE/BENDIX,フロント,9600,,89663,ES2511007-qq-e-5331k,出さない,4547726427040,2511007,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,GTV,916C2A,95～98/1,2.0 ツインスパーク/2.0 V6 ターボ<br>LUCAS,フロント,9600,,102768,ES2910856-qq-e-5330k,出さない,4547726427255,2910856,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,GTV,916C2A,98/2～,2.0 ツインスパーク/2.0 V6 ターボ<br>ATE,フロント,9600,,102752,ES2511007-qq-e-5333k,出さない,4547726427040,2511007,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,GTV,916C2A,98/2～,2.0 ツインスパーク/2.0 V6 ターボ<br>ATE,リア,8000,,102762,ES2551472-qq-e-5334k,出さない,4547726427118,2551472,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,GTV,916CXB,03/07～,3.2 V6 24V,フロント,12800,,96227,ES2910849-qq-e-5341k,出さない,4547726427248,2910849,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,16000,出さない
ALFAROMEO,GTV,916CXB,03/07～,3.2 V6 24V,リア,8000,,116044,ES2551472-qq-e-5342k,出さない,4547726427118,2551472,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,GTV,,81～83,2.5 V6,フロント,8000,,85619,ES1150018-qq-e-5329k,出さない,4547726421239,1150018,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,アルフェッタ,,72～83,GT(1.6/1.8/2.0),フロント,8000,,118309,ES1150018-qq-e-5322k,出さない,4547726421239,1150018,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,スパイダー,105/115,68～93,2000,フロント,9600,,100645,ES2510020-qq-e-5351k,出さない,4547726427019,2510020,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,スパイダー,105/115,68～93,2000,リア,8000,,109431,ES2550021-qq-e-5352k,出さない,4547726427088,2550021,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,スパイダー,916S1B/916SXB,01/09～06/09,3.0/3.2 V6 24V<br>ブレンボ,フロント,12800,,76839,ES2910849-qq-e-5361k,出さない,4547726427248,2910849,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,16000,出さない
ALFAROMEO,スパイダー,916S1B/916SXB,01/09～06/09,3.0/3.2 V6 24V<br>ブレンボ,リア,8000,,102764,ES2551472-qq-e-5362k,出さない,4547726427118,2551472,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,スパイダー,916S2/916S2B/91620S,95/01～95/05,2.0 ツインスパーク<br>フロント:LUCAS,フロント,9600,,96229,ES2910856-qq-e-5357k,出さない,4547726427255,2910856,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,スパイダー,916S2/916S2B/91620S,95/01～95/05,2.0 ツインスパーク<br>フロント:LUCAS,リア,8000,,121581,ES2650522-qq-e-5358k,出さない,4547726427187,2650522,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,スパイダー,916S2/916S2B/91620S,95/05～95/12,2.0 ツインスパーク<br>フロント:LUCAS,フロント,9600,,82280,ES2710459-qq-e-5359k,出さない,4547726427200,2710459,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,スパイダー,916S2/916S2B/91620S,95/05～95/12,2.0 ツインスパーク<br>フロント:LUCAS,リア,8000,,88931,ES2650522-qq-e-5360k,出さない,4547726427187,2650522,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,スパイダー,916S2/916S2B/91620S,95～98,2.0 ツインスパーク<br>フロント:ATE/BENDIX,リア,8000,,101978,ES2650522-qq-e-5354k,出さない,4547726427187,2650522,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,スパイダー,916S2/916S2B/91620S,95～98,2.0 ツインスパーク<br>フロント:ATE/BENDIX VET No.→6036408,フロント,9600,,83359,ES2511007-qq-e-5353k,出さない,4547726427040,2511007,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
