"自動車メーカー,車種,型式,エンジン,年式,適合詳細,ダウン量,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,バネレート【F/R】(kg/mm)	,定価,送料,SET価格"
トヨタ,アクア,NHP10,1NZ-FXE,11/12～,,Fr：40～50mm<br>Rr：35～45mm,,19001,,260262,H100HP1-qq-e-f1-1k,H100HP1-qq-e-d-1k,H100HP1,JIC,X-MAGIC,1台分,1.7/2.69,35000,1100,35300
トヨタ,アルファード,ANH20W,2AZ,08/5～,2WD/2.4L専用,Fr：30～40mm<br>Rr：40～50mm,,21859,,260264,H100H20-qq-e-f1-3k,H100H20-qq-e-d-3k,H100H20,JIC,X-MAGIC,1台分,3.8/7.2,41000,1100,38600
トヨタ,アルファード,MNH10W,1MZ-FE,02/5～,,Fr：35～45mm<br>Rr：35～45mm,,21145,,260263,H100700-qq-e-f1-2k,H100700-qq-e-d-2k,H100700,JIC,X-MAGIC,1台分,4.0/7.0,39500,1100,37800
トヨタ,イプサム,ACM21W,2AZ-FE,01/5～,,Fr：30～40mm<br>Rr：35～45mm,,18524,,260266,H100P00-qq-e-f1-5k,H100P00-qq-e-d-5k,H100P00,JIC,X-MAGIC,1台分,3.4/4.9,34000,1100,34700
トヨタ,ヴェルファイア,ANH20W,2AZ,08/5～,2WD/2.4L専用,Fr：30～40mm<br>Rr：40～50mm,,21859,,260267,H100H20-qq-e-f1-6k,H100H20-qq-e-d-6k,H100H20,JIC,X-MAGIC,1台分,3.8/7.2,41000,1100,38600
トヨタ,ヴォクシー,AZR60G,1AZ-FSE,01/11～07/05,MC前/MC後共通,Fr：45～55mm<br>Rr：45～55mm,,15998,,260268,H100O90-qq-e-f1-7k,H100O90-qq-e-d-7k,H100O90,JIC,X-MAGIC,1台分,3.4/4.9,29000,1100,32000
トヨタ,ヴォクシー,ZRR70G/ZRR70W,3ZR-FE,07/6～,,Fr：35～45mm<br>Rr：40～50mm,,18524,,260269,H100R70-qq-e-f1-8k,H100R70-qq-e-d-8k,H100R70,JIC,X-MAGIC,1台分,2.8/6.2,34000,1100,34700
トヨタ,ヴォクシーハイブリッド,ZWR80G,2ZR-5JM,14/2～,ハイブリッド車専用,Fr：30～40mm<br>Rr：50～60mm,,19953,,260270,H100WR8-qq-e-f1-9k,H100WR8-qq-e-d-9k,H100WR8,JIC,X-MAGIC,1台分,2.8/4.11,37000,1100,36400
トヨタ,エスクァイアハイブリッド,ZWR80G,2ZR-5JM,14/10～,ハイブリッド車専用,Fr：30～40mm<br>Rr：50～60mm,,19953,,260271,H100WR8-qq-e-f1-10k,H100WR8-qq-e-d-10k,H100WR8,JIC,X-MAGIC,1台分,2.8/4.11,37000,1100,36400
トヨタ,エスティマ,ACR30W,2AZ-FE,00/1～06/1,,Fr：20～30mm<br>Rr：20～30mm,,21145,,260274,H100682-qq-e-f1-13k,H100682-qq-e-d-13k,H100682,JIC,X-MAGIC,1台分,3.6/7.7,39500,1100,37800
トヨタ,エスティマ,ACR50W/GSR50W,2AZ-FE,06/1～,2WD用,Fr：30～40mm<br>Rr：35～45mm,GSR50W:ダウン量未確認,19715,,260276,H100686-qq-e-f1-15k,H100686-qq-e-d-15k,H100686,JIC,X-MAGIC,1台分,3.8/7.2,36500,1100,36100
トヨタ,エスティマ,GSR55W,2GR,06/1～,4WD/3.5L専用,Fr：45～55mm<br>Rr：35～45mm,,21859,,260277,H100H20-qq-e-f1-16k,H100H20-qq-e-d-16k,H100H20,JIC,X-MAGIC,1台分,3.8/7.2,41000,1100,38600
トヨタ,エスティマ,MCR30W,1MZ-FE,00/1～06/1,,Fr：40～50mm<br>Rr：40～50mm,,21145,,260272,H100680-qq-e-f1-11k,H100680-qq-e-d-11k,H100680,JIC,X-MAGIC,1台分,4.0/7.0,39500,1100,37800
トヨタ,エスティマ,MCR40W,1MZ-FE,00/1～06/1,,Fr：45～55mm<br>Rr：45～55mm,,20907,,260273,H100681-qq-e-f1-12k,H100681-qq-e-d-12k,H100681,JIC,X-MAGIC,1台分,4.0/7.7,39000,1100,37500
トヨタ,カローラスパシオ,AE111N/AE115N,4A-FE/7A-FE,97/1～,,Fr：35～45mm<br>Rr：30～45mm,,14724,,260280,H100720-qq-e-f1-19k,H100720-qq-e-d-19k,H100720,JIC,X-MAGIC,1台分,3.7/2.75,26500,1100,30600
トヨタ,カローラルミオン,ZRE152N,2ZR-FE,07/10～,2WD 1800cc,Fr：15～20mm<br>Rr：25～35mm,,16508,,260278,H100152-qq-e-f1-17k,H100152-qq-e-d-17k,H100152,JIC,X-MAGIC,1台分,2.12/2.56,30000,1100,32500
トヨタ,クラウンアスリート,GRS200,4GR-FSE,08/2～,2500cc,Fr：30～40mm<br>Rr：30～40mm,,16508,,260279,H100C20-qq-e-f1-18k,H100C20-qq-e-d-18k,H100C20,JIC,X-MAGIC,1台分,4.8/6.8,30000,1100,32500
トヨタ,セルシオ,UCF30,3UZ-FE,00/8～03/7,,Fr：30～40mm<br>Rr：30～40mm,,16508,,260281,H100313-qq-e-f1-20k,H100313-qq-e-d-20k,H100313,JIC,X-MAGIC,1台分,5.6/3.3,30000,1100,32500
トヨタ,ノア,AZR60G,1AZ-FSE,01/11～07/05,,Fr：45～55mm<br>Rr：45～55mm,,15998,,260282,H100O90-qq-e-f1-21k,H100O90-qq-e-d-21k,H100O90,JIC,X-MAGIC,1台分,3.4/4.9,29000,1100,32000
トヨタ,ノア,ZRR70G/ZRR70W,3ZR-FE,07/6～,,Fr：35～45mm<br>Rr：40～50mm,,18524,,260283,H100R70-qq-e-f1-22k,H100R70-qq-e-d-22k,H100R70,JIC,X-MAGIC,1台分,2.8/6.2,34000,1100,34700
トヨタ,ノアハイブリッド,ZWR80G,2ZR-5JM,14/2～,,Fr：30～40mm<br>Rr：50～60mm,,19953,,260284,H100WR8-qq-e-f1-23k,H100WR8-qq-e-d-23k,H100WR8,JIC,X-MAGIC,1台分,2.8/4.11,37000,1100,36400
トヨタ,ハリアー,MCU30W,1MZ-FE,03/2～13/7,,Fr：30～40mm<br>Rr：25～35mm,,18524,,260285,H100491-qq-e-f1-24k,H100491-qq-e-d-24k,H100491,JIC,X-MAGIC,1台分,3.4/3.0,34000,1100,34700
トヨタ,プリウス,ZVW30,2ZR-3JM,09/5～,2WD ツーリングセレクション専用,Fr：35～45mm<br>Rr：40～50mm,,17527,,260286,H100W30-qq-e-f1-25k,H100W30-qq-e-d-25k,H100W30,JIC,X-MAGIC,1台分,2.3/2.4,32000,1100,33600
トヨタ,マークIIクオリス,SXV25W/MCV25W,5S-FE/2MZ-FE,97/6～,,Fr：40～50mm<br>Rr：30～40mm,,15998,,260288,H100440-qq-e-f1-27k,H100440-qq-e-d-27k,H100440,JIC,X-MAGIC,1台分,3.0/3.3,29000,1100,32000
トヨタ,マークX,GRX120,4GR-FSE,04/11～,3000cc取付未確認,Fr：15～25mm<br>Rr：20～30mm,,13960,,260287,H100265-qq-e-f1-26k,H100265-qq-e-d-26k,H100265,JIC,X-MAGIC,1台分,4.5/6.8,25000,1100,29800
日産,180SX,RPS13,SR20DET,91/1～98/12,,Fr：30～40mm<br>Rr：25～35mm,,12176,,260290,H100773-qq-e-f1-29k,H100773-qq-e-d-29k,H100773,JIC,X-MAGIC,1台分,3.0/2.4,21500,1100,27900
日産,180SX,RS13,CA18DET,89/4～91/1,,Fr：30～40mm<br>Rr：25～35mm,,12176,,260289,H100772-qq-e-f1-28k,H100772-qq-e-d-28k,H100772,JIC,X-MAGIC,1台分,3.0/2.4,21500,1100,27900
日産,キューブ,BZ11,CR14DE,02/10～,,Fr：30～40mm<br>Rr：25～35mm,,13195,,260292,H100B62-qq-e-f1-31k,H100B62-qq-e-d-31k,H100B62,JIC,X-MAGIC,1台分,1.6/4.0,23500,1100,29000
日産,キューブ,Z10,CG13DE,98/2～,,Fr：35～45mm<br>Rr：40～50mm,,12838,,260291,H100B60-qq-e-f1-30k,H100B60-qq-e-d-30k,H100B60,JIC,X-MAGIC,1台分,2.8/2.6,22800,1100,28600
