自動車メーカー,車種,型式,年式,エンジン型式,備考,SET価格,Camp価格,メーカー品番
ホンダ,フィット,GK3,13/09～,L13B,ダミー,42440,41940,63512V
ホンダ,フィット,GK3,13/09～,L13B,,53960,53460,63511V
ホンダ,フィット,GK5,13/09～,L15B,ダミー,42440,41940,63512V
ホンダ,フィット,GK5,13/09～,L15B,,53960,53460,63511V
ホンダ,フィットハイブリッド,GP4,10/10～,LEA,,46760,46260,62066V
ホンダ,フィットハイブリッド,GP5,13/09～,LEB-H1,ダミー,42440,41940,63512V
ホンダ,フィットハイブリッド,GP5,13/09～,LEB-H1,,53960,53460,63511V
マツダ,CX-3,DK5AW,15/02～,S5-DPTS,,61160,60660,63164V
マツダ,CX-3,DK5FW,15/02～,S5-DPTS,,61160,60660,63163V
マツダ,CX-5,KE2AW,12/02～,SH-VPTS,,61160,60660,62131V
マツダ,CX-5,KE2FW,12/02～,SH-VPTS,,61160,60660,62131V
マツダ,RX-8,SE3P,03/04～08/03,13B-MSP,排ガス記号：ABA-,111560,111060,62034V
マツダ,RX-8,SE3P,03/04～08/03,13B-MSP,排ガス記号：LA-,111560,111060,62034V
マツダ,RX-8,SE3P,08/03～,13B-MSP,,111560,111060,62129V
マツダ,アクセラスポーツ,BM2FS,14/01～,SH-VPTR,,62600,62100,62134V
マツダ,アテンザ,GJ2FP,12/11～,SH-VPTR,,61160,60660,62132V
マツダ,デミオ,DJ5FS,14/10～,S5-DPTS,,69800,69300,63161V
マツダ,ロードスター,ND5RC,15/05～,P5-VP(RS)/P5-VPR(RS),Quad Model,118760,118260,62140V
マツダ,ロードスター,ND5RC,15/05～,P5-VP(RS)/P5-VPR(RS),,59000,58500,62139V
三菱,コルトラリーアートバージョンR,Z27AG,07/11～,4G15 MIVEC,Quad Model,134600,133800,62084V
三菱,コルトラリーアートバージョンR,Z27AG,07/11～,4G15 MIVEC,Quad Modelエアロ付、FRPデュフューザーセット,150560,149760,62184V
三菱,コルトラリーアートバージョンR,Z27AG,07/11～,4G15 MIVEC,Quad Modelエアロ付、カーボンデュフューザーセット,193760,192960,62185V
三菱,コルトラリーアートバージョンR,Z27AG,07/11～,4G15 MIVEC,,46760,46260,62081V
三菱,ランサーエボリューションIV,CN9A,96/08～98/01,4G63,,62600,62100,62114V
三菱,ランサーエボリューションV,CP9A,98/01～99/01,4G63,,62600,62100,62114V
三菱,ランサーエボリューションVI,CP9A,99/01～01/02,4G63,,62600,62100,62114V
三菱,ランサーエボリューションX,CZ4A,07/10～,4B11 MIVEC,,105800,105300,62072V
レクサス,CT200h,ZWA10,11/01～,2ZR-FXE,,147560,147060,62125V
レクサス,RC200t,ASC10,15/10～,8AR-FTS,,111560,111060,63527V
